date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,15.15,554500,14.80,15.15,14.80,116100,1400,1.7
2025-11-13,11/11/2025,14.75,464800,14.75,14.95,14.60,70100,11400,0.9
2025-11-13,10/11/2025,14.75,533800,14.75,15.05,14.60,76100,51000,0.4
2025-11-13,07/11/2025,14.75,599500,15.55,15.55,14.75,30500,175000,-2.2
2025-11-13,06/11/2025,15.40,596900,15.30,15.60,15.30,30800,19000,0.2
2025-11-13,05/11/2025,15.40,469100,15.40,15.50,15.30,600,52300,-0.8
2025-11-13,04/11/2025,15.40,1879000,15,15.60,14.25,295200,95700,2.9
2025-11-13,03/11/2025,15.10,1230600,15.55,16,15.10,29400,254100,-3.5
2025-11-13,31/10/2025,15.55,792400,15.65,16,15.55,52300,44400,0.1
2025-11-13,30/10/2025,15.65,580300,15.85,15.95,15.60,29300,19800,0.1
2025-11-13,29/10/2025,15.80,1145200,15.75,16.05,15.65,81400,30800,0.8
2025-11-13,28/10/2025,15.65,678400,15.80,15.80,15.20,15200,129800,-1.8
2025-11-13,27/10/2025,15.50,979700,15.55,15.80,15.10,79500,89400,-0.2
2025-11-13,24/10/2025,15.45,1083600,16,16,15.25,104800,149800,-0.7
2025-11-13,23/10/2025,15.85,710700,16,16.45,15.85,38700,54700,-0.3
2025-11-13,22/10/2025,16,962200,15.95,16.20,15.50,31100,126500,-1.5
2025-11-13,21/10/2025,15.90,3032600,16,16.60,15.55,320000,250000,1.0
2025-11-13,20/10/2025,16.25,2339200,17.10,17.70,16.25,31400,1100,0.5
2025-11-13,17/10/2025,17.45,2181900,17.55,17.95,17.40,189300,119300,1.2
2025-11-13,16/10/2025,17.40,1635600,17.05,17.50,17.05,250000,69200,3.1
2025-11-13,15/10/2025,17.10,1628200,17.40,17.40,16.95,3200,143000,-2.4
2025-11-13,14/10/2025,17.40,2120400,17.80,18,17.15,22600,43100,-0.4
2025-11-13,13/10/2025,17.50,1582800,17.20,17.50,17.05,165900,71200,1.6
2025-11-13,10/10/2025,17.35,1958400,17.40,17.80,17.30,140700,87800,0.9
2025-11-13,09/10/2025,17.20,831900,17.35,17.40,17.05,0,0,0
2025-11-13,08/10/2025,17.15,1139000,17.50,17.50,17.10,51000,105400,-0.9
2025-11-13,07/10/2025,17.10,1127600,17.60,17.70,17.10,48300,55400,-0.1
2025-11-13,06/10/2025,17.40,998100,16.75,17.45,16.75,91500,55800,0.6
2025-11-13,03/10/2025,16.70,1832200,17,17.20,16.65,146100,346400,-3.4
2025-11-13,02/10/2025,17.20,1424400,17.15,17.65,17.10,52300,116900,-1.1
2025-11-13,01/10/2025,17.40,1005200,17.45,17.65,17.35,26200,170900,-2.5
2025-11-13,30/09/2025,17.40,3846400,18.45,18.45,17.10,377300,517100,-2.6
2025-11-13,29/09/2025,18.30,2694800,18.90,19.35,18.15,67500,132200,-1.2
2025-11-13,26/09/2025,18.80,2834800,19.25,19.60,18.55,75600,25000,0.9
2025-11-13,25/09/2025,19.20,6746900,18.60,19.40,18.55,663900,865000,-3.9
2025-11-13,24/09/2025,18.50,1811000,18.15,18.65,18,131400,75300,1.0
2025-11-13,23/09/2025,18.15,1916700,18.75,18.90,18,8200,285700,-5.2
2025-11-13,22/09/2025,18.50,4764000,18,18.65,17.85,848500,224000,11.4
2025-11-13,19/09/2025,18,1579300,18.05,18.15,17.80,105800,30100,1.4
2025-11-13,18/09/2025,17.80,1478800,17.55,17.85,17.25,153100,144200,0.1
2025-11-13,17/09/2025,17.35,1355100,17.70,17.85,17.35,14700,130000,-2.0
2025-11-13,16/09/2025,17.80,2248600,18.45,18.45,17.65,19500,292100,-4.9
2025-11-13,15/09/2025,18.25,2213800,17.65,18.30,17.60,394900,63500,5.9
2025-11-13,12/09/2025,17.45,2083500,17.40,17.95,17.40,133100,287600,-2.8
2025-11-13,11/09/2025,17.25,2425000,16.80,17.40,16.30,289600,336000,-0.7
2025-11-13,10/09/2025,17,1099700,17.25,17.25,16.90,19800,235900,-3.7
2025-11-13,09/09/2025,17,1728000,16.90,17.30,16.80,93600,66400,0.4
2025-11-13,08/09/2025,17,3673400,17.80,17.90,17,195500,215400,-0.4
2025-11-13,05/09/2025,17.95,5144400,18.50,18.75,17.95,429600,3000,7.8
2025-11-13,04/09/2025,18.25,3005400,18.50,18.85,18.25,66400,360800,-5.5
2025-11-13,03/09/2025,18.30,2598100,17.80,18.50,17.80,214300,244700,-0.6
2025-11-13,29/08/2025,17.80,2720400,18.25,18.25,17.80,10200,246100,-4.3
2025-11-13,28/08/2025,18.05,3085300,17.80,18.15,17.65,221900,205269,0
2025-11-13,27/08/2025,17.65,2963800,17.90,18.10,17.65,129200,646500,-9.3
2025-11-13,26/08/2025,17.95,2443200,17,17.95,16.85,286100,124500,2.8
2025-11-13,25/08/2025,16.90,3568700,17.60,17.90,16.90,53500,935700,-15.3
2025-11-13,22/08/2025,17.80,4822900,17.05,18.20,17,607100,162600,7.7
2025-11-13,21/08/2025,17.50,3953400,18,18.20,17.50,415600,361200,0.9
