date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,33.85,774200,33.80,33.95,33.50,3500,92700,-3.0
2025-11-13,11/11/2025,33.45,643300,33.45,33.55,32.85,4500,15500,-0.4
2025-11-13,10/11/2025,32.95,1142700,32.75,34.05,32.75,107200,73500,1.1
2025-11-13,07/11/2025,33.20,1703900,34.60,34.90,33.15,185300,264400,-2.8
2025-11-13,06/11/2025,34.60,1067700,35,35.30,34.60,22000,177600,-5.4
2025-11-13,05/11/2025,35,1013200,35.30,35.65,35,12300,137700,-4.4
2025-11-13,04/11/2025,35.90,3770900,33.80,36.50,32.80,345300,206600,4.8
2025-11-13,03/11/2025,34.30,2060000,35,35.55,34.30,179800,40200,4.8
2025-11-13,31/10/2025,35,2842800,35.40,36.15,35,122600,495200,-13.4
2025-11-13,30/10/2025,35.35,2026700,35.10,35.45,34.75,205000,237300,-1.2
2025-11-13,29/10/2025,34.75,1726200,35.30,35.55,34.75,40300,73700,-1.2
2025-11-13,28/10/2025,35.40,1993900,34.70,35.50,34.55,50900,26100,0.9
2025-11-13,27/10/2025,34.45,4970700,33.40,35.05,33.15,643000,74200,19.0
2025-11-13,24/10/2025,32.80,1129400,33.15,33.15,32.20,90000,162400,-2.4
2025-11-13,23/10/2025,33.10,874500,34,34,33.10,0,94200,-3.2
2025-11-13,22/10/2025,34,1243900,33.75,34.10,32.80,27200,118600,-3.1
2025-11-13,21/10/2025,33.45,3162800,31.95,33.75,30.70,241300,272700,-1.2
2025-11-13,20/10/2025,31.95,2441500,34.05,34.55,31.95,91600,123400,-1.1
2025-11-13,17/10/2025,34.35,2036000,34.65,35.20,34.35,118600,193600,-2.6
2025-11-13,16/10/2025,34.40,1972900,34.75,34.80,34.35,281900,74500,7.2
2025-11-13,15/10/2025,34.75,2128400,35.30,35.40,34.60,75200,92100,-0.6
2025-11-13,14/10/2025,35.30,2677000,35.80,36.30,35.10,205400,61500,5.2
2025-11-13,13/10/2025,35.55,1734800,35.90,35.90,35.30,66500,172200,-3.8
2025-11-13,10/10/2025,36.05,1297300,36.05,36.40,35.90,44500,43600,0.0
2025-11-13,09/10/2025,35.85,1132900,36.05,36.35,35.75,0,0,0
2025-11-13,08/10/2025,36.10,1497300,36.95,36.95,36,134400,273700,-5.1
2025-11-13,07/10/2025,36.10,1738700,37.45,37.45,36,2500,45800,-1.6
2025-11-13,06/10/2025,37.10,3064100,35.30,37.15,35.20,85600,138000,-2.0
2025-11-13,03/10/2025,35,2588800,34.60,35.45,33.75,581800,43800,18.3
2025-11-13,02/10/2025,34.60,1566800,35.30,35.55,34.50,17300,29300,-0.4
2025-11-13,01/10/2025,35.30,2109100,35.95,36,35.20,81600,91300,-0.4
2025-11-13,30/09/2025,35.95,1777700,36.35,36.65,35.30,40400,29400,0.4
2025-11-13,29/09/2025,36.25,1176900,36.60,36.85,36.20,700,104400,-3.8
2025-11-13,26/09/2025,36.55,1117100,36.55,37.35,36.50,17900,32800,-0.6
2025-11-13,25/09/2025,36.70,977100,37.20,37.20,36.70,5900,31600,-1.0
2025-11-13,24/09/2025,36.95,1165700,36.40,36.95,36.05,37900,94600,-2.1
2025-11-13,23/09/2025,36.40,736000,36.60,36.80,36.35,131000,42700,3.2
2025-11-13,22/09/2025,36.20,1759000,37.20,37.40,36.20,1400,58500,-2.1
2025-11-13,19/09/2025,37.10,1350800,37.75,37.80,37.10,131800,277100,-5.3
2025-11-13,18/09/2025,37.40,1386200,37.85,38.10,37.20,1100,45200,-1.7
2025-11-13,17/09/2025,37.80,2420800,37.80,38.60,37.65,83900,9500,2.8
