date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,61.90,648800,61.50,62,60.60,145421,65251,4.9,
2025-11-13,11/11/2025,61.10,553500,61.30,62,60.90,46000,81400,-2.2,
2025-11-13,10/11/2025,61.20,738300,62.80,62.80,61,6100,234400,-14.2,
2025-11-13,07/11/2025,62.90,1225100,61.80,62.90,61,491500,200700,18.1,
2025-11-13,06/11/2025,62.10,626000,63.30,63.30,61.70,37300,221400,-11.5,
2025-11-13,05/11/2025,63,1680600,60.70,63.60,60.60,511800,67300,28.0,
2025-11-13,04/11/2025,60.50,1008600,62.10,62.20,60.10,51900,72500,-1.3,
2025-11-13,03/11/2025,61.50,1095100,62,62.90,61.50,147300,129100,1.1,
2025-11-13,31/10/2025,61.60,1173700,59.80,62.30,59.80,237400,34800,12.4,
2025-11-13,30/10/2025,59.70,460400,60.20,60.80,59.70,28000,22900,0.3,
2025-11-13,29/10/2025,60.20,639500,60.10,61.20,60,75600,6300,4.2,
2025-11-13,28/10/2025,60,660100,59.30,60.20,59.10,235900,18100,13.0,
2025-11-13,27/10/2025,59.30,512900,60.20,60.20,59.30,34800,137200,-6.1,
2025-11-13,24/10/2025,59.60,643300,60.40,60.80,59.60,16400,49300,-2.0,
2025-11-13,23/10/2025,59.80,554800,60,60.70,59.50,11400,35700,-1.5,
2025-11-13,22/10/2025,59,1023700,57.20,59,57.20,475200,232700,14.1,
2025-11-13,21/10/2025,56,837900,57.30,58.80,56,77000,243500,-9.3,
2025-11-13,20/10/2025,57,604700,58.60,59.50,57,4200,226300,-13.0,
2025-11-13,17/10/2025,58.60,320000,58.70,59.20,58.50,15500,9500,0.4,
2025-11-13,16/10/2025,58.70,956300,58.80,59.20,58.50,23500,276200,-14.9,
2025-11-13,15/10/2025,59,1271300,60,60.20,58.80,20200,259200,-14.2,
2025-11-13,14/10/2025,60,568000,60.90,60.90,60,10500,34700,-1.5,
2025-11-13,13/10/2025,60.60,516900,60.10,60.90,60.10,34500,18500,1.0,
2025-11-13,10/10/2025,60.90,592500,60.90,61.20,60.60,135400,102800,2.0,
2025-11-13,09/10/2025,60.90,363100,60.90,61.40,60.60,0,0,0,
2025-11-13,08/10/2025,60.90,379300,61.20,61.60,60.90,4700,16300,-0.7,
2025-11-13,07/10/2025,60.90,302600,61.10,61.10,60.60,8500,4600,0.2,
2025-11-13,06/10/2025,60.80,420400,61.10,61.10,60.20,18000,12100,0.4,
2025-11-13,03/10/2025,60.10,470400,60.20,60.50,60,18100,138100,-7.2,
2025-11-13,02/10/2025,60.30,454300,60.70,61,60.30,48700,23600,1.5,
2025-11-13,01/10/2025,60.60,211700,60.50,60.90,60.50,10000,54800,-2.7,
2025-11-13,30/09/2025,60.40,647500,61.50,61.70,60.40,18100,68000,-3.0,
2025-11-13,29/09/2025,61.50,381300,61.60,62,61.40,111500,17300,5.8,
2025-11-13,26/09/2025,61.50,265100,62.30,62.40,61.50,4900,2900,0.1,
2025-11-13,25/09/2025,61.90,550000,62,62.30,61.80,216600,83500,8.3,
2025-11-13,24/09/2025,61.60,558200,61.60,61.70,61.10,7600,239500,-14.3,
2025-11-13,23/09/2025,61.60,544500,61.90,62,61.20,23900,11100,0.8,
2025-11-13,22/09/2025,61.80,883600,62.40,62.50,61.20,12900,213000,-12.4,
2025-11-13,19/09/2025,62.50,658200,63.30,63.30,62.50,6600,235300,-14.3,
2025-11-13,18/09/2025,63,731300,64,64.10,62.90,29400,248400,-13.8,
2025-11-13,17/09/2025,64,1489100,62.80,64.30,62.80,363700,311700,3.3,
2025-11-13,16/09/2025,62.70,773700,63.60,63.60,62.70,23100,241500,-13.8,
