date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,8.50,200,8.50,8.50,8.50,0,0,0
2025-11-13,11/11/2025,8.50,100,8.50,8.50,8.50,0,0,0
2025-11-13,10/11/2025,9,0,9,9,9,0,0,0
2025-11-13,07/11/2025,9,1800,9,9,9,0,0,0
2025-11-13,06/11/2025,9.20,200,9.50,9.50,9.20,0,0,0
2025-11-13,05/11/2025,9,0,9,9,9,0,0,0
2025-11-13,04/11/2025,9,500,9,9,9,0,0,0
2025-11-13,03/11/2025,9,400,9.10,9.10,9,0,0,0
2025-11-13,31/10/2025,9,2100,9,9,9,0,0,0
2025-11-13,30/10/2025,9.50,1300,9,9.50,9,0,0,0
2025-11-13,29/10/2025,8.70,6600,10,10,8.20,0,0,0
2025-11-13,28/10/2025,8.80,5500,8.60,8.80,8.60,0,0,0
2025-11-13,27/10/2025,8.70,1200,8.70,8.70,8.70,0,0,0
2025-11-13,24/10/2025,10.10,0,10.10,10.10,10.10,0,0,0
2025-11-13,23/10/2025,9.60,3000,10.80,10.80,9.60,0,0,0
2025-11-13,22/10/2025,10.50,3900,10.60,12.10,10.50,0,0,0
2025-11-13,21/10/2025,12.20,3900,12.20,12.20,12.20,0,0,0
2025-11-13,20/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,17/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,16/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,15/10/2025,14.20,199700,15.90,15.90,14.20,0,0,0
2025-11-13,14/10/2025,14.30,300,14.40,14.40,14.30,0,0,0
2025-11-13,13/10/2025,14.50,1300,14.30,14.50,14.30,0,0,0
2025-11-13,10/10/2025,14.50,0,14.50,14.50,14.50,0,0,0
