date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,45.10,13683600,43.50,45.10,42.90,285000,708800,-18.4,
2025-11-13,11/11/2025,43.25,13594400,41.15,43.25,39.95,2941500,2426900,19.8,
2025-11-13,10/11/2025,40.90,14389700,43.10,43.80,40.90,1803400,1714900,2.9,
2025-11-13,07/11/2025,43.95,10500200,44.90,45.90,43.25,689200,2400200,-76.5,
2025-11-13,06/11/2025,45.10,10678200,45.30,45.30,43.05,562000,2168700,-71.8,
2025-11-13,05/11/2025,45.30,8632000,46.50,46.60,45.10,91400,2667600,-118.1,
2025-11-13,04/11/2025,47.15,14858900,44.75,47.15,43.30,148500,869300,-32.2,
2025-11-13,03/11/2025,44.10,16102600,44.20,44.70,42.50,2677200,2908700,-11.2,
2025-11-13,31/10/2025,44.05,27848100,47,47.25,44.05,4071900,2948900,48.4,
2025-11-13,30/10/2025,47.35,17555600,50.90,50.90,47.35,593300,1946200,-67.4,
2025-11-13,29/10/2025,50.90,10846000,51.50,51.50,49.50,850700,1505700,-33.5,
2025-11-13,28/10/2025,51,22852000,47.30,51,46,2848700,907400,91.8,
2025-11-13,27/10/2025,48,28387800,51.60,51.60,48,1411300,1886600,-23.5,
2025-11-13,24/10/2025,51.60,19050900,52.80,53.40,50.80,3290300,2673600,30.8,
2025-11-13,23/10/2025,53.50,14561100,55.40,56.70,53.50,1502700,2008200,-31.0,
2025-11-13,22/10/2025,55.50,15675800,56.60,56.60,52.30,1505300,834700,35.5,
2025-11-13,21/10/2025,56,33939300,56.20,56.70,53.20,4439300,1441600,163.5,
2025-11-13,20/10/2025,57.20,34359700,61.60,62.70,57.20,2919500,2499300,18.8,
2025-11-13,17/10/2025,61.50,26960500,65.70,65.70,61.50,2191800,1377000,50.4,
2025-11-13,16/10/2025,65.40,29485800,64.30,65.70,62.60,4351000,1221400,199.6,
2025-11-13,15/10/2025,62.90,29554100,60.90,62.90,59.90,3187600,3092000,5.8,
2025-11-13,14/10/2025,58.80,50224700,55.50,58.80,55,1716700,1362100,20.5,
2025-11-13,13/10/2025,55,13304100,55.20,55.40,54.20,831600,1168200,-18.4,
2025-11-13,10/10/2025,55.90,21396500,55.70,56.90,55,1220000,597800,34.7,
2025-11-13,09/10/2025,55.50,19735000,55.90,57.30,55.20,0,0,0,
2025-11-13,08/10/2025,55.20,14070200,55,55.20,53.70,5129200,298100,264.1,
2025-11-13,07/10/2025,54.60,7742900,55.80,55.80,53.20,2252400,538700,92.8,
2025-11-13,06/10/2025,55.20,6685200,53.30,55.20,52.60,1568700,775000,43.8,
2025-11-13,03/10/2025,52.50,8382500,54.10,54.10,52,598700,1632300,-54.3,
2025-11-13,02/10/2025,54.20,7935000,56.60,56.60,53.30,331700,1902500,-85.6,
2025-11-13,01/10/2025,56,13224600,56.20,58,55.70,1397200,2293300,-50.7,
2025-11-13,30/09/2025,55.50,6886000,55.80,55.80,54,755600,505700,13.7,
2025-11-13,29/09/2025,55.40,10053200,53.10,55.50,53,2291600,263500,110.3,
2025-11-13,26/09/2025,53,3227800,53.80,53.80,52.40,133500,368300,-12.5,
2025-11-13,25/09/2025,53.50,3823100,52.80,54.40,52.60,396400,126600,14.5,
2025-11-13,24/09/2025,52.50,4725600,52.80,53,51,197100,720200,-27.3,
2025-11-13,23/09/2025,52.80,4364100,54.80,54.90,52.80,86500,756500,-35.7,
2025-11-13,22/09/2025,54.80,9499400,55.40,55.40,51.80,2581900,1171500,74.9,
2025-11-13,19/09/2025,55,9792900,55,56.70,54.70,1770400,1263000,28.2,
2025-11-13,18/09/2025,54.60,5169800,54.80,54.90,53.80,1700300,433700,69.2,
2025-11-13,17/09/2025,54.40,4954900,54.20,54.90,53.80,1398500,480200,49.8,
2025-11-13,16/09/2025,54,6363500,56.10,56.20,54,1126800,908700,11.8,
