date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.70,0,4.70,4.70,4.70,0,0,0
2025-11-13,11/11/2025,4.70,0,4.70,4.70,4.70,0,0,0
2025-11-13,10/11/2025,4.70,0,4.70,4.70,4.70,0,0,0
2025-11-13,07/11/2025,4.70,3600,5.20,5.20,4.70,0,0,0
2025-11-13,06/11/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,05/11/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,04/11/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,03/11/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,31/10/2025,4.60,5600,4.40,4.60,4.40,0,0,0
2025-11-13,30/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,29/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,28/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,27/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,24/10/2025,4.40,4400,3.80,4.80,3.60,0,0,0
2025-11-13,23/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,22/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,21/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,20/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,17/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,16/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,15/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,14/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,13/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,10/10/2025,4.10,4700,4.50,4.50,4.10,0,0,0
2025-11-13,09/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,08/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,07/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,06/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,03/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,02/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,01/10/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,30/09/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,29/09/2025,4.80,0,4.80,4.80,4.80,0,0,0
2025-11-13,26/09/2025,4.80,21200,4.90,4.90,4.80,0,0,0
2025-11-13,25/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,24/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,23/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,22/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,19/09/2025,4.30,67000,4.30,4.30,4.20,0,0,0
2025-11-13,18/09/2025,3.80,0,3.80,3.80,3.80,0,0,0
2025-11-13,17/09/2025,3.80,0,3.80,3.80,3.80,0,0,0
2025-11-13,16/09/2025,3.80,0,3.80,3.80,3.80,0,0,0
2025-11-13,15/09/2025,3.80,0,3.80,3.80,3.80,0,0,0
2025-11-13,12/09/2025,4.60,4900,3.80,4.60,3.70,0,0,0
2025-11-13,11/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,10/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,09/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,08/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,05/09/2025,4.90,14800,4.90,4.90,4.20,0,0,0
2025-11-13,04/09/2025,4.90,0,4.90,4.90,4.90,0,0,0
2025-11-13,03/09/2025,4.90,0,4.90,4.90,4.90,0,0,0
2025-11-13,29/08/2025,5.10,10100,5.10,5.10,4.40,0,0,0
2025-11-13,28/08/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,27/08/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,26/08/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,25/08/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,22/08/2025,5.10,13700,5.10,5.10,5.10,0,0,0
2025-11-13,21/08/2025,6,0,6,6,6,0,0,0
2025-11-13,20/08/2025,6,0,6,6,6,0,0,0
2025-11-13,19/08/2025,6,0,6,6,6,0,0,0
2025-11-13,18/08/2025,6,0,6,6,6,0,0,0
2025-11-13,15/08/2025,6.70,47500,6.50,6.70,5.20,0,0,0
2025-11-13,14/08/2025,6.10,0,6.10,6.10,6.10,0,0,0
2025-11-13,13/08/2025,6.10,0,6.10,6.10,6.10,0,0,0
2025-11-13,12/08/2025,6.10,0,6.10,6.10,6.10,0,0,0
2025-11-13,11/08/2025,6.10,0,6.10,6.10,6.10,0,0,0
2025-11-13,08/08/2025,6.10,175000,6.10,6.80,6.10,0,0,0
2025-11-13,07/08/2025,7.10,0,7.10,7.10,7.10,0,0,0
