date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,21.50,100,21.50,21.50,21.50,0,0,0
2025-11-13,11/11/2025,21.80,100,21.80,21.80,21.80,0,0,0
2025-11-13,10/11/2025,20.20,200,22,22,20.20,0,0,0
2025-11-13,07/11/2025,22.20,800,20.60,22.20,20.60,0,0,0
2025-11-13,06/11/2025,20.60,1500,22.30,22.50,20.60,0,0,0
2025-11-13,05/11/2025,22.50,2600,22.80,22.80,20.40,0,0,0
2025-11-13,04/11/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,03/11/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,31/10/2025,22.50,12800,22.50,23.30,20.70,0,1200,-0.0
2025-11-13,30/10/2025,22.50,8200,22.40,23.20,22,0,0,0
2025-11-13,29/10/2025,21.80,100,21.80,21.80,21.80,0,0,0
2025-11-13,28/10/2025,21.50,13700,22,22,21.50,0,0,0
2025-11-13,27/10/2025,22,200,22.30,22.30,22,0,0,0
2025-11-13,24/10/2025,21.50,23900,22.40,22.40,21.50,0,0,0
2025-11-13,23/10/2025,21.90,2500,21.90,21.90,21.50,0,0,0
2025-11-13,22/10/2025,21.90,9400,20.50,22,20.50,0,0,0
2025-11-13,21/10/2025,22,100,22,22,22,0,0,0
2025-11-13,20/10/2025,20.50,2500,19.50,20.50,19.50,0,0,0
2025-11-13,17/10/2025,19.50,1900,22.50,22.50,19.50,0,0,0
2025-11-13,16/10/2025,21,2100,21.10,21.20,21,0,0,0
2025-11-13,15/10/2025,20,242800,19.10,21.20,19.10,0,0,0
2025-11-13,14/10/2025,21.20,0,21.20,21.20,21.20,0,0,0
2025-11-13,13/10/2025,21.20,100,21.20,21.20,21.20,0,0,0
2025-11-13,10/10/2025,21,0,21,21,21,0,0,0
2025-11-13,09/10/2025,21,1600,21,21,20.90,0,0,0
2025-11-13,08/10/2025,21,4300,21.10,21.90,21,0,0,0
2025-11-13,07/10/2025,21,3600,20.50,21,20.50,0,0,0
2025-11-13,06/10/2025,19.90,9100,18.90,19.90,18.90,0,0,0
2025-11-13,03/10/2025,18.10,0,18.10,18.10,18.10,0,0,0
2025-11-13,02/10/2025,18.10,2100,18,18.10,18,0,0,0
2025-11-13,01/10/2025,18,600,17.70,18,17.70,0,0,0
2025-11-13,30/09/2025,17.70,200,17.30,17.70,17.30,0,0,0
2025-11-13,29/09/2025,18.20,200,18.40,18.40,18.20,0,0,0
2025-11-13,26/09/2025,18.40,3200,18.30,18.40,17.80,0,0,0
2025-11-13,25/09/2025,17.70,4000,18.20,18.20,17.60,0,0,0
2025-11-13,24/09/2025,18.80,0,18.80,18.80,18.80,0,0,0
2025-11-13,23/09/2025,18.80,22600,18.10,18.90,18.10,0,0,0
2025-11-13,22/09/2025,17.20,4100,18.30,18.60,17.20,0,0,0
2025-11-13,19/09/2025,17.10,1000,17.10,17.10,17.10,0,0,0
2025-11-13,18/09/2025,17.90,4300,17.40,18.20,17.10,0,0,0
2025-11-13,17/09/2025,18.30,2300,17.90,18.30,17.80,0,0,0
2025-11-13,16/09/2025,17.80,500,18.50,18.50,17.80,0,0,0
2025-11-13,15/09/2025,17.70,10300,17.70,18,17.60,0,0,0
2025-11-13,12/09/2025,19,100,19,19,19,0,0,0
2025-11-13,11/09/2025,18.60,500,18.60,18.60,18.60,0,0,0
2025-11-13,10/09/2025,18.80,1000,19,19,18.80,0,0,0
2025-11-13,09/09/2025,18.20,0,18.20,18.20,18.20,0,0,0
2025-11-13,08/09/2025,18.20,300,18.20,19.70,18.20,0,0,0
2025-11-13,05/09/2025,19.70,9300,19.70,20.60,17.70,0,0,0
2025-11-13,04/09/2025,19,12400,18.80,19.10,18.50,0,0,0
2025-11-13,03/09/2025,17.40,22600,18.40,18.90,17.40,0,0,0
2025-11-13,29/08/2025,17.20,8600,19,19.40,17.20,0,0,0
2025-11-13,28/08/2025,19,800,18.50,19.40,18.50,0,0,0
2025-11-13,27/08/2025,19.30,300,19.20,19.30,19.20,0,0,0
2025-11-13,26/08/2025,18.50,300,19.40,19.40,18.50,0,0,0
2025-11-13,25/08/2025,18.50,3800,19,19.40,18.50,0,0,0
2025-11-13,22/08/2025,19.20,300,19.10,20.20,19.10,0,0,0
2025-11-13,21/08/2025,19.90,1100,19.90,19.90,19.50,0,0,0
2025-11-13,20/08/2025,19.60,104800,20.10,20.80,19.60,0,0,0
2025-11-13,19/08/2025,20.60,1500,21,21,20.20,0,0,0
2025-11-13,18/08/2025,20.30,300,20.30,21.20,20.30,0,0,0
2025-11-13,15/08/2025,20.30,8800,20.50,20.70,20.30,0,0,0
2025-11-13,14/08/2025,21.40,200,21.40,21.40,21.40,0,0,0
2025-11-13,13/08/2025,21.50,2800,21.60,21.90,21.50,0,0,0
2025-11-13,12/08/2025,22.10,400,22.30,22.30,21.60,0,0,0
2025-11-13,11/08/2025,21.60,800,22.40,22.40,21.50,0,0,0
2025-11-13,08/08/2025,22.50,5300,23,23,21,0,0,0
2025-11-13,07/08/2025,23,0,23,23,23,0,0,0
2025-11-13,06/08/2025,23,1000,22.90,23,22.90,0,0,0
2025-11-13,05/08/2025,21.90,700,21.90,22,21.90,0,0,0
2025-11-13,04/08/2025,22.70,0,22.70,22.70,22.70,0,0,0
2025-11-13,01/08/2025,22.70,400,22,22.70,22,0,0,0
2025-11-13,31/07/2025,22.80,0,22.80,22.80,22.80,0,0,0
2025-11-13,30/07/2025,22.80,0,22.80,22.80,22.80,0,0,0
2025-11-13,29/07/2025,22.80,1000,22,22.80,21.90,0,0,0
2025-11-13,28/07/2025,22.80,1500,22.80,22.80,22.80,0,0,0
2025-11-13,25/07/2025,22.70,3700,22.80,22.80,22.70,0,0,0
2025-11-13,24/07/2025,22.80,200,22.70,22.80,22.70,0,0,0
2025-11-13,23/07/2025,22.80,1500,22.80,22.80,22.80,0,0,0
2025-11-13,22/07/2025,22.80,2000,22,22.80,22,0,0,0
2025-11-13,21/07/2025,23,0,23,23,23,0,0,0
2025-11-13,18/07/2025,23,3000,22,22.70,22,0,0,0
2025-11-13,17/07/2025,22,400,22,22.20,22,0,0,0
2025-11-13,16/07/2025,22.20,300,21.80,22.20,21.80,0,0,0
2025-11-13,15/07/2025,22.40,800,22.80,22.80,22.10,0,0,0
2025-11-13,14/07/2025,22.90,900,23.10,23.10,22.90,0,0,0
2025-11-13,11/07/2025,21.60,5200,23.30,23.30,21.50,0,0,0
2025-11-13,10/07/2025,23.40,13500,22.50,23.70,22.50,0,0,0
2025-11-13,09/07/2025,22.50,1900,22,22.50,22,0,0,0
2025-11-13,08/07/2025,21.50,12700,21.80,22.40,19.80,0,0,0
2025-11-13,07/07/2025,21.80,700,23,23,21.80,0,0,0
2025-11-13,04/07/2025,23,5300,23,24.20,23,0,0,0
2025-11-13,03/07/2025,22.90,1700,19.30,23.30,19.30,0,0,0
2025-11-13,02/07/2025,21.20,49200,22,24.60,20.20,0,2600,-0.1
2025-11-13,01/07/2025,22.40,18400,24.20,24.20,22.40,0,0,0
2025-11-13,30/06/2025,24.80,18200,27.50,27.50,24.80,0,0,0
2025-11-13,27/06/2025,27.50,12200,30.60,30.60,27.50,0,0,0
2025-11-13,26/06/2025,30.50,16900,31,31,30.50,0,0,0
2025-11-13,25/06/2025,33.80,100,33.80,33.80,33.80,0,0,0
2025-11-13,24/06/2025,31.90,0,31.90,31.90,31.90,0,0,0
