date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,79.20,0,79.20,79.20,79.20,0,0,0,
2025-11-13,11/11/2025,79.20,200,79.20,79.20,79.20,0,0,0,
2025-11-13,10/11/2025,88.80,0,88.80,88.80,88.80,0,0,0,
2025-11-13,07/11/2025,88.80,0,88.80,88.80,88.80,0,0,0,
2025-11-13,06/11/2025,80,200,97.50,97.50,80,0,0,0,
2025-11-13,05/11/2025,84.80,0,84.80,84.80,84.80,0,0,0,
2025-11-13,04/11/2025,84.80,0,84.80,84.80,84.80,0,0,0,
2025-11-13,03/11/2025,84.80,0,84.80,84.80,84.80,0,0,0,
2025-11-13,31/10/2025,84.80,100,84.80,84.80,84.80,0,0,0,
2025-11-13,30/10/2025,78.10,0,78.10,78.10,78.10,0,0,0,
2025-11-13,29/10/2025,78,3800,83,84.50,77,0,0,0,
2025-11-13,28/10/2025,84.80,100,84.80,84.80,84.80,0,0,0,
2025-11-13,27/10/2025,78,0,78,78,78,0,0,0,
2025-11-13,24/10/2025,78,900,78,78,78,0,0,0,
2025-11-13,23/10/2025,78,2000,78,78,78,0,0,0,
2025-11-13,22/10/2025,79,3000,78,79,78,0,0,0,
2025-11-13,21/10/2025,79,3100,97.60,97.60,78,0,0,0,
2025-11-13,20/10/2025,84.90,0,84.90,84.90,84.90,0,0,0,
2025-11-13,17/10/2025,84.90,0,84.90,84.90,84.90,0,0,0,
2025-11-13,16/10/2025,84.90,0,84.90,84.90,84.90,0,0,0,
2025-11-13,15/10/2025,84.90,100,84.90,84.90,84.90,0,0,0,
2025-11-13,14/10/2025,79.60,0,79.60,79.60,79.60,0,0,0,
2025-11-13,13/10/2025,79.60,0,79.60,79.60,79.60,0,0,0,
2025-11-13,10/10/2025,79.60,0,79.60,79.60,79.60,0,0,0,
2025-11-13,09/10/2025,79.60,0,79.60,79.60,79.60,0,0,0,
2025-11-13,08/10/2025,79.60,200,79.60,79.60,79.60,0,0,0,
2025-11-13,07/10/2025,79.30,0,79.30,79.30,79.30,0,0,0,
2025-11-13,06/10/2025,79.60,2200,79,79.60,79,0,0,0,
2025-11-13,03/10/2025,74.10,200,74.10,74.10,74.10,0,0,0,
2025-11-13,02/10/2025,78.50,300,79.80,79.80,78.50,0,0,0,
2025-11-13,01/10/2025,80,0,80,80,80,0,0,0,
2025-11-13,30/09/2025,80,0,80,80,80,0,0,0,
2025-11-13,29/09/2025,80,200,80,80,80,0,0,0,
2025-11-13,26/09/2025,80,0,80,80,80,0,0,0,
2025-11-13,25/09/2025,80,200,80,80,80,0,0,0,
2025-11-13,24/09/2025,92.60,100,92.60,92.60,92.60,0,0,0,
2025-11-13,23/09/2025,80.60,0,80.60,80.60,80.60,0,0,0,
2025-11-13,22/09/2025,80.60,0,80.60,80.60,80.60,0,0,0,
2025-11-13,19/09/2025,80.60,300,80.50,80.60,80.50,0,0,0,
2025-11-13,18/09/2025,70.10,0,70.10,70.10,70.10,0,0,0,
2025-11-13,17/09/2025,70.10,0,70.10,70.10,70.10,0,0,0,
2025-11-13,16/09/2025,70.10,100,70.10,70.10,70.10,0,0,0,
2025-11-13,15/09/2025,80,0,80,80,80,0,0,0,
2025-11-13,12/09/2025,80,100,80,80,80,0,0,0,
2025-11-13,11/09/2025,80,0,80,80,80,0,0,0,
2025-11-13,10/09/2025,80,100,80,80,80,0,0,0,
2025-11-13,09/09/2025,74.80,0,74.80,74.80,74.80,0,0,0,
2025-11-13,08/09/2025,74.80,0,74.80,74.80,74.80,0,0,0,
2025-11-13,05/09/2025,74.80,100,74.80,74.80,74.80,0,0,0,
2025-11-13,04/09/2025,65.10,0,65.10,65.10,65.10,0,0,0,
2025-11-13,03/09/2025,65.10,0,65.10,65.10,65.10,0,0,0,
2025-11-13,29/08/2025,65.10,0,65.10,65.10,65.10,0,0,0,
2025-11-13,28/08/2025,65.10,100,65.10,65.10,65.10,0,0,0,
2025-11-13,27/08/2025,75.20,0,75.20,75.20,75.20,0,0,0,
2025-11-13,26/08/2025,75.20,100,75.20,75.20,75.20,0,0,0,
2025-11-13,25/08/2025,88,1100,88,90,88,0,600,-0.1,
2025-11-13,22/08/2025,83.40,100,83.40,83.40,83.40,0,0,0,
2025-11-13,21/08/2025,72.60,0,72.60,72.60,72.60,0,0,0,
2025-11-13,20/08/2025,72.60,400,72.60,72.60,72.60,0,0,0,
2025-11-13,19/08/2025,63.20,0,63.20,63.20,63.20,0,0,0,
2025-11-13,18/08/2025,63.20,0,63.20,63.20,63.20,0,0,0,
2025-11-13,15/08/2025,63.20,0,63.20,63.20,63.20,0,0,0,
2025-11-13,14/08/2025,63.20,0,63.20,63.20,63.20,0,0,0,
