date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,62.80,1940100,61.30,64,61.30,161500,180635,-1.2,
2025-11-13,11/11/2025,61.30,1659000,63,64.30,60.80,70700,508300,-27.2,
2025-11-13,10/11/2025,61.70,2394500,60.80,62.50,59.30,188000,292800,-6.3,
2025-11-13,07/11/2025,60.80,3122700,62.80,63.90,59.80,291000,434700,-9.1,
2025-11-13,06/11/2025,62.60,3006000,60.70,64,60.60,256700,157300,6.2,
2025-11-13,05/11/2025,60.90,1687000,62.50,62.50,60.30,72500,415100,-20.8,
2025-11-13,04/11/2025,62,4687100,61.20,62.70,58.30,791100,482200,18.7,
2025-11-13,03/11/2025,62.60,4291300,62.20,64.90,61.90,1501900,310900,75.8,
2025-11-13,31/10/2025,61.40,3543000,62.70,64.10,61.40,311800,142200,10.6,
2025-11-13,30/10/2025,62.70,4101100,62.90,64.50,62.50,1572400,179400,88.0,
2025-11-13,29/10/2025,62,5897800,60.90,63.70,60.40,808100,162800,40.0,
2025-11-13,28/10/2025,59.90,4479500,56.40,59.90,56.20,562100,322200,13.9,
2025-11-13,27/10/2025,56,3116200,58.50,61,56,276800,334500,-3.4,
2025-11-13,24/10/2025,58.40,1863400,58,58.60,57.10,228100,330400,-6.0,
2025-11-13,23/10/2025,58.70,5939700,55.20,58.80,55.20,406200,228000,10.2,
2025-11-13,22/10/2025,55,1337300,54.50,55,52.60,267200,95600,9.3,
2025-11-13,21/10/2025,54.50,2131400,53.80,54.50,51.70,200400,312300,-6.0,
2025-11-13,20/10/2025,53.40,2983000,55.70,55.70,52,275800,561700,-16.0,
2025-11-13,17/10/2025,55.60,1408700,56,56.60,55.30,43800,112300,-3.8,
2025-11-13,16/10/2025,55.80,1461500,56.40,56.70,55.50,151400,94500,3.2,
