date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,7.73,0,7.73,7.73,7.73,0,0,0
2025-11-13,11/11/2025,7.73,0,7.73,7.73,7.73,0,0,0
2025-11-13,10/11/2025,7.73,0,7.73,7.73,7.73,0,0,0
2025-11-13,07/11/2025,7.73,0,7.73,7.73,7.73,0,0,0
2025-11-13,06/11/2025,7.73,4600,7.80,7.80,7.73,0,0,0
2025-11-13,05/11/2025,8.30,100,8.30,8.30,8.30,0,0,0
2025-11-13,04/11/2025,8.33,0,8.33,8.33,8.33,0,0,0
2025-11-13,03/11/2025,8.33,0,8.33,8.33,8.33,0,0,0
2025-11-13,31/10/2025,8.33,0,8.33,8.33,8.33,0,0,0
2025-11-13,30/10/2025,8.33,0,8.33,8.33,8.33,0,0,0
2025-11-13,29/10/2025,8.33,100,8.33,8.33,8.33,0,0,0
2025-11-13,28/10/2025,8.12,0,8.12,8.12,8.12,0,0,0
2025-11-13,27/10/2025,8.12,100,8.12,8.12,8.12,0,0,0
2025-11-13,24/10/2025,7.60,600,7.60,7.60,7.60,0,0,0
2025-11-13,23/10/2025,7.60,0,7.60,7.60,7.60,0,0,0
2025-11-13,22/10/2025,7.60,0,7.60,7.60,7.60,0,0,0
2025-11-13,21/10/2025,7.60,200,7.70,7.70,7.60,0,0,0
2025-11-13,20/10/2025,7.80,100,7.80,7.80,7.80,0,0,0
2025-11-13,17/10/2025,8.15,0,8.15,8.15,8.15,0,0,0
2025-11-13,16/10/2025,8.15,0,8.15,8.15,8.15,0,0,0
2025-11-13,15/10/2025,8.15,200,8.15,8.15,8.15,0,0,0
2025-11-13,14/10/2025,7.80,200,7.80,7.80,7.80,0,0,0
2025-11-13,13/10/2025,7.44,0,7.44,7.44,7.44,0,0,0
2025-11-13,10/10/2025,7.44,300,7.45,7.45,7.44,0,0,0
2025-11-13,09/10/2025,8,100,8,8,8,0,0,0
2025-11-13,08/10/2025,8,0,8,8,8,0,0,0
2025-11-13,07/10/2025,8,500,8.40,8.40,8,0,0,0
2025-11-13,06/10/2025,8,0,8,8,8,0,0,0
2025-11-13,03/10/2025,8,100,8,8,8,0,0,0
2025-11-13,02/10/2025,8,100,8,8,8,0,0,0
2025-11-13,01/10/2025,8,400,8,8,7.98,0,0,0
2025-11-13,30/09/2025,8.58,100,8.58,8.58,8.58,0,0,0
2025-11-13,29/09/2025,8.10,200,8.10,8.10,8.10,0,0,0
2025-11-13,26/09/2025,8.10,0,8.10,8.10,8.10,0,0,0
2025-11-13,25/09/2025,8.10,0,8.10,8.10,8.10,0,0,0
2025-11-13,24/09/2025,8.10,100,8.10,8.10,8.10,0,0,0
2025-11-13,23/09/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,22/09/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,19/09/2025,8.60,0,8.60,8.60,8.60,0,0,0
2025-11-13,18/09/2025,8.60,100,8.60,8.60,8.60,0,0,0
2025-11-13,17/09/2025,8.70,0,8.70,8.70,8.70,0,0,0
2025-11-13,16/09/2025,8.70,100,8.70,8.70,8.70,0,0,0
2025-11-13,15/09/2025,8.85,0,8.85,8.85,8.85,0,0,0
2025-11-13,12/09/2025,8.85,0,8.85,8.85,8.85,0,0,0
2025-11-13,11/09/2025,8.85,0,8.85,8.85,8.85,0,0,0
2025-11-13,10/09/2025,8.85,0,8.85,8.85,8.85,0,0,0
2025-11-13,09/09/2025,8.85,0,8.85,8.85,8.85,0,0,0
2025-11-13,08/09/2025,8.85,200,8.85,8.85,8.85,0,0,0
2025-11-13,05/09/2025,8.50,300,8.50,8.50,8.50,0,0,0
2025-11-13,04/09/2025,8.30,400,8.33,8.33,8.30,0,0,0
2025-11-13,03/09/2025,7.80,900,7.80,7.80,7.80,0,0,0
2025-11-13,29/08/2025,8.30,0,8.30,8.30,8.30,0,0,0
