date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,11/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,10/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,07/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,06/11/2025,25.90,1100,25.90,25.90,25.90,0,0,0
2025-11-13,05/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,04/11/2025,25.90,300,25.90,25.90,25.90,0,0,0
2025-11-13,03/11/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,31/10/2025,25.90,100,25.90,25.90,25.90,0,0,0
2025-11-13,30/10/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,29/10/2025,25.90,0,25.90,25.90,25.90,0,0,0
2025-11-13,28/10/2025,25.90,100,25.90,25.90,25.90,0,0,0
2025-11-13,27/10/2025,26.50,100,26.50,26.50,26.50,0,0,0
2025-11-13,24/10/2025,26.50,200,26.50,26.50,26.50,0,0,0
2025-11-13,23/10/2025,26.50,200,26.50,26.50,26.50,0,0,0
2025-11-13,22/10/2025,26,0,26,26,26,0,0,0
2025-11-13,21/10/2025,26,0,26,26,26,0,0,0
2025-11-13,20/10/2025,26,0,26,26,26,0,0,0
2025-11-13,17/10/2025,26,0,26,26,26,0,0,0
2025-11-13,16/10/2025,26,17100,26,26,26,0,0,0
2025-11-13,15/10/2025,26.60,200,26.60,26.60,26.60,0,0,0
2025-11-13,14/10/2025,27,0,27,27,27,0,0,0
2025-11-13,13/10/2025,27,19000,27,27,27,0,0,0
2025-11-13,10/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,09/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,08/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,07/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,06/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,03/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,02/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,01/10/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,30/09/2025,28.60,0,28.60,28.60,28.60,0,0,0
2025-11-13,29/09/2025,28.50,300,28.70,28.70,28.50,0,0,0
2025-11-13,26/09/2025,25,2700,25,25,25,0,0,0
2025-11-13,25/09/2025,24,100,24,24,24,0,0,0
2025-11-13,24/09/2025,22.10,200,22.10,22.10,22.10,0,0,0
2025-11-13,23/09/2025,20,100,20,20,20,0,0,0
2025-11-13,22/09/2025,18.10,0,18.10,18.10,18.10,0,0,0
2025-11-13,19/09/2025,18.10,100,18.10,18.10,18.10,0,0,0
2025-11-13,18/09/2025,21,0,21,21,21,0,0,0
2025-11-13,17/09/2025,21,100,21,21,21,0,0,0
2025-11-13,16/09/2025,23.90,0,23.90,23.90,23.90,0,0,0
2025-11-13,15/09/2025,23.90,100,23.90,23.90,23.90,0,0,0
2025-11-13,12/09/2025,25,0,25,25,25,0,0,0
2025-11-13,11/09/2025,25,0,25,25,25,0,0,0
2025-11-13,10/09/2025,25,0,25,25,25,0,0,0
2025-11-13,09/09/2025,25,0,25,25,25,0,0,0
2025-11-13,08/09/2025,25,0,25,25,25,0,0,0
2025-11-13,05/09/2025,25,0,25,25,25,0,0,0
2025-11-13,04/09/2025,25,0,25,25,25,0,0,0
2025-11-13,03/09/2025,25,300,25,25,25,0,0,0
2025-11-13,29/08/2025,25,0,25,25,25,0,0,0
2025-11-13,28/08/2025,25,8400,25,25,25,0,0,0
2025-11-13,27/08/2025,24.50,100,24.50,24.50,24.50,0,0,0
2025-11-13,26/08/2025,24.90,0,24.90,24.90,24.90,0,0,0
2025-11-13,25/08/2025,24.90,0,24.90,24.90,24.90,0,0,0
2025-11-13,22/08/2025,24.80,200,25,25,24.80,0,0,0
2025-11-13,21/08/2025,25,100,25,25,25,0,0,0
2025-11-13,20/08/2025,25,600,25,25,25,0,0,0
2025-11-13,19/08/2025,25.70,300,26,26,25.70,0,0,0
2025-11-13,18/08/2025,25,200,25,25,25,0,0,0
2025-11-13,15/08/2025,25,0,25,25,25,0,0,0
2025-11-13,14/08/2025,25,500,25,25,25,0,0,0
2025-11-13,13/08/2025,25,0,25,25,25,0,0,0
2025-11-13,12/08/2025,25,5800,25,25,25,0,0,0
2025-11-13,11/08/2025,25,200,25,25,25,0,0,0
2025-11-13,08/08/2025,25,400,25,25,25,0,0,0
2025-11-13,07/08/2025,25,1800,25,25,25,0,0,0
2025-11-13,06/08/2025,25,1800,26.50,26.50,25,0,0,0
2025-11-13,05/08/2025,27,200,27,27,27,0,0,0
2025-11-13,04/08/2025,26,200,26,26,26,0,0,0
2025-11-13,01/08/2025,25,3400,25,25,25,0,0,0
2025-11-13,31/07/2025,26.50,300,26.50,26.50,26.50,0,0,0
2025-11-13,30/07/2025,25,1000,25,25,25,0,0,0
2025-11-13,29/07/2025,27,4400,25.90,27,25.90,0,0,0
2025-11-13,28/07/2025,24.40,200,24.40,24.40,24.40,0,0,0
2025-11-13,25/07/2025,25.80,1300,24.20,25.80,24,0,0,0
2025-11-13,24/07/2025,25.80,200,25.80,25.80,25.80,0,0,0
2025-11-13,23/07/2025,26,1000,26,26,26,0,0,0
2025-11-13,22/07/2025,27,100,27,27,27,0,0,0
2025-11-13,21/07/2025,26,100,26,26,26,0,0,0
2025-11-13,18/07/2025,25,1700,25,25,25,0,0,0
2025-11-13,17/07/2025,25,0,25,25,25,0,0,0
2025-11-13,16/07/2025,25,0,25,25,25,0,0,0
2025-11-13,15/07/2025,25,0,25,25,25,0,0,0
2025-11-13,14/07/2025,25,0,25,25,25,0,0,0
2025-11-13,11/07/2025,25,0,25,25,25,0,0,0
2025-11-13,10/07/2025,25,1000,25,25,25,0,0,0
2025-11-13,09/07/2025,23.50,0,23.50,23.50,23.50,0,0,0
2025-11-13,08/07/2025,25,1100,22,25,22,0,0,0
2025-11-13,07/07/2025,23,300,23.50,23.50,23,0,0,0
2025-11-13,04/07/2025,24.50,1000,24.50,24.50,24.50,0,0,0
2025-11-13,03/07/2025,25,0,25,25,25,0,0,0
2025-11-13,02/07/2025,25,0,25,25,25,0,0,0
2025-11-13,01/07/2025,25,1900,25,25,25,0,0,0
2025-11-13,30/06/2025,24.50,100,24.50,24.50,24.50,0,0,0
2025-11-13,27/06/2025,24,0,24,24,24,0,0,0
2025-11-13,26/06/2025,24,0,24,24,24,0,0,0
2025-11-13,25/06/2025,24,0,24,24,24,0,0,0
2025-11-13,24/06/2025,24,0,24,24,24,0,0,0
