date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,10.20,4600,10.50,10.50,9.60,0,0,0
2025-11-13,11/11/2025,10.50,100,10.50,10.50,10.50,0,0,0
2025-11-13,10/11/2025,10,100,10,10,10,0,0,0
2025-11-13,07/11/2025,9.60,3000,9.60,9.60,9.60,0,0,0
2025-11-13,06/11/2025,9.60,0,9.60,9.60,9.60,0,0,0
2025-11-13,05/11/2025,9.50,3200,9.80,9.80,9.50,0,0,0
2025-11-13,04/11/2025,9.80,200,9.80,9.80,9.80,0,0,0
2025-11-13,03/11/2025,11.40,5100,10.40,11.40,10,0,0,0
2025-11-13,31/10/2025,11.50,1200,11.30,11.50,11.30,0,0,0
2025-11-13,30/10/2025,11.40,3600,11.90,11.90,10.30,0,0,0
2025-11-13,29/10/2025,12,0,12,12,12,0,0,0
2025-11-13,28/10/2025,12,100,12,12,12,0,0,0
2025-11-13,27/10/2025,11.50,1900,10,11.60,10,0,0,0
2025-11-13,24/10/2025,10.10,400,10.10,10.10,10.10,0,0,0
2025-11-13,23/10/2025,10.70,6000,11,11,10.70,0,0,0
2025-11-13,22/10/2025,12.50,4200,12.50,12.50,12.50,0,0,0
2025-11-13,21/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,20/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,17/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,16/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,15/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,14/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,13/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,10/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,09/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,08/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,07/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,06/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,03/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,02/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,01/10/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,30/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,29/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,26/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,25/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,24/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,23/09/2025,14.70,0,14.70,14.70,14.70,0,0,0
2025-11-13,22/09/2025,14.70,100,14.70,14.70,14.70,0,0,0
2025-11-13,19/09/2025,13.80,0,13.80,13.80,13.80,0,0,0
2025-11-13,18/09/2025,13.80,100,13.80,13.80,13.80,0,0,0
2025-11-13,17/09/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,16/09/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,15/09/2025,12.70,100,12.70,12.70,12.70,0,0,0
2025-11-13,12/09/2025,11.20,1400,11.30,11.30,11.10,0,0,0
2025-11-13,11/09/2025,11,900,11.20,11.20,11,0,0,0
2025-11-13,10/09/2025,11.60,0,11.60,11.60,11.60,0,0,0
2025-11-13,09/09/2025,11.50,500,11.50,11.80,11.50,0,0,0
2025-11-13,08/09/2025,12.80,1500,12.80,13.80,12.80,0,0,0
2025-11-13,05/09/2025,15,0,15,15,15,0,0,0
2025-11-13,04/09/2025,15,0,15,15,15,0,0,0
2025-11-13,03/09/2025,15,0,15,15,15,0,0,0
2025-11-13,29/08/2025,15,0,15,15,15,0,0,0
2025-11-13,28/08/2025,15,0,15,15,15,0,0,0
2025-11-13,27/08/2025,15,0,15,15,15,0,0,0
2025-11-13,26/08/2025,15,100,15,15,15,0,0,0
2025-11-13,25/08/2025,14,100,14,14,14,0,0,0
2025-11-13,22/08/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,21/08/2025,12.80,4300,12.80,12.80,12,0,0,0
2025-11-13,20/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,19/08/2025,12.80,2700,12.80,12.80,12.80,0,0,0
2025-11-13,18/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,15/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,14/08/2025,12.80,500,12.80,12.80,12.80,0,0,0
2025-11-13,13/08/2025,13.20,4300,12.30,13.20,12.30,0,0,0
2025-11-13,12/08/2025,13.20,0,13.20,13.20,13.20,0,0,0
2025-11-13,11/08/2025,13.20,0,13.20,13.20,13.20,0,0,0
2025-11-13,08/08/2025,13.50,1800,12.60,13.50,12.50,0,0,0
2025-11-13,07/08/2025,13.80,0,13.80,13.80,13.80,0,0,0
2025-11-13,06/08/2025,13.80,0,13.80,13.80,13.80,0,0,0
2025-11-13,05/08/2025,13.80,100,13.80,13.80,13.80,0,0,0
2025-11-13,04/08/2025,13.70,200,12,13.70,12,0,0,0
2025-11-13,01/08/2025,13.80,200,13.80,13.80,13.80,0,0,0
2025-11-13,31/07/2025,12.20,500,12.20,12.20,12.20,0,0,0
2025-11-13,30/07/2025,13.60,0,13.60,13.60,13.60,0,0,0
2025-11-13,29/07/2025,13.60,500,13.60,13.60,13.60,0,0,0
2025-11-13,28/07/2025,14,3000,13.10,14,13.10,0,0,0
2025-11-13,25/07/2025,13.60,5100,12.80,13.60,12.80,0,0,0
2025-11-13,24/07/2025,13.60,200,12,13.60,12,0,0,0
2025-11-13,23/07/2025,13,500,12.90,13,12.80,0,0,0
2025-11-13,22/07/2025,11.90,100,11.90,11.90,11.90,0,0,0
2025-11-13,21/07/2025,11.90,0,11.90,11.90,11.90,0,0,0
2025-11-13,18/07/2025,11.90,0,11.90,11.90,11.90,0,0,0
2025-11-13,17/07/2025,11.90,6400,11.50,12,11.50,0,0,0
2025-11-13,16/07/2025,12.10,1200,12,12.10,12,0,0,0
2025-11-13,15/07/2025,13.60,0,13.60,13.60,13.60,0,0,0
2025-11-13,14/07/2025,13.60,0,13.60,13.60,13.60,0,0,0
2025-11-13,11/07/2025,13.60,100,13.60,13.60,13.60,0,0,0
2025-11-13,10/07/2025,13.60,100,13.60,13.60,13.60,0,0,0
2025-11-13,09/07/2025,12,3000,12,13,11.90,0,0,0
2025-11-13,08/07/2025,12.50,3500,11.80,12.50,11,0,0,0
2025-11-13,07/07/2025,12.20,0,12.20,12.20,12.20,0,0,0
2025-11-13,04/07/2025,12.20,0,12.20,12.20,12.20,0,0,0
2025-11-13,03/07/2025,12.20,0,12.20,12.20,12.20,0,0,0
2025-11-13,02/07/2025,12.20,0,12.20,12.20,12.20,0,0,0
2025-11-13,01/07/2025,12.20,600,12.20,12.20,12.20,0,0,0
2025-11-13,30/06/2025,12,5000,12.60,12.60,12,0,0,0
2025-11-13,27/06/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,26/06/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,25/06/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,24/06/2025,12.60,0,12.60,12.60,12.60,0,0,0
