date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,5.20,532900,4.94,5.20,4.94,500,0,0.0
2025-11-13,11/11/2025,4.95,112500,4.94,5.03,4.92,0,0,0
2025-11-13,10/11/2025,4.93,244500,5.12,5.12,4.89,0,500,-0.0
2025-11-13,07/11/2025,5.01,397200,5.15,5.18,4.97,0,0,0
2025-11-13,06/11/2025,5.07,344700,5.19,5.20,5.03,0,0,0
2025-11-13,05/11/2025,5.19,218800,5.20,5.22,5.08,0,0,0
2025-11-13,04/11/2025,5.15,559400,5.31,5.34,4.93,7600,0,0.0
2025-11-13,03/11/2025,5.30,974300,5.61,5.61,5.27,2300,6300,-0.0
2025-11-13,31/10/2025,5.26,1128900,5.25,5.26,5.22,0,4000,-0.0
2025-11-13,30/10/2025,4.92,174200,4.65,5.03,4.65,4000,0,0.0
2025-11-13,29/10/2025,4.71,78800,4.74,4.74,4.69,6300,0,0.0
2025-11-13,28/10/2025,4.67,53900,4.66,4.67,4.56,0,1000,-0.0
2025-11-13,27/10/2025,4.67,33300,4.67,4.67,4.60,0,100,-0.0
2025-11-13,24/10/2025,4.68,19100,4.65,4.69,4.60,0,0,0
2025-11-13,23/10/2025,4.64,24500,4.60,4.64,4.57,1000,0,0.0
2025-11-13,22/10/2025,4.57,11300,4.56,4.59,4.54,0,0,0
2025-11-13,21/10/2025,4.56,85700,4.52,4.64,4.49,0,0,0
2025-11-13,20/10/2025,4.55,226600,4.63,4.63,4.54,0,2900,-0.0
2025-11-13,17/10/2025,4.61,49600,4.60,4.67,4.57,0,0,0
2025-11-13,16/10/2025,4.66,12700,4.60,4.70,4.60,200,0,0.0
2025-11-13,15/10/2025,4.65,116000,4.64,4.69,4.59,0,0,0
2025-11-13,14/10/2025,4.65,64300,4.61,4.68,4.60,0,0,0
2025-11-13,13/10/2025,4.68,13300,4.60,4.70,4.60,0,0,0
2025-11-13,10/10/2025,4.70,60700,4.80,4.80,4.70,0,0,0
2025-11-13,09/10/2025,4.80,141100,4.66,4.81,4.63,0,0,0
2025-11-13,08/10/2025,4.66,126100,4.64,4.69,4.64,0,0,0
2025-11-13,07/10/2025,4.69,111700,4.68,4.78,4.65,0,100,-0.0
2025-11-13,06/10/2025,4.70,34800,4.68,4.74,4.64,0,0,0
2025-11-13,03/10/2025,4.68,106600,4.69,4.84,4.66,200,12900,-0.1
2025-11-13,02/10/2025,4.69,57300,4.71,4.77,4.69,0,100,-0.0
2025-11-13,01/10/2025,4.74,6700,4.76,4.76,4.70,0,0,0
2025-11-13,30/09/2025,4.73,23700,4.84,4.84,4.70,0,4300,-0.0
2025-11-13,29/09/2025,4.80,38200,4.81,4.84,4.74,0,2700,-0.0
2025-11-13,26/09/2025,4.80,211300,4.74,4.85,4.74,2000,700,0.0
2025-11-13,25/09/2025,4.75,14700,4.74,4.78,4.73,0,0,0
2025-11-13,24/09/2025,4.79,60500,4.82,4.83,4.74,0,400,-0.0
2025-11-13,23/09/2025,4.75,49900,4.81,4.81,4.71,0,42400,-0.2
2025-11-13,22/09/2025,4.75,25400,4.79,4.79,4.70,0,4400,-0.0
2025-11-13,19/09/2025,4.78,16000,4.75,4.83,4.75,0,0,0
2025-11-13,18/09/2025,4.75,18900,4.84,4.84,4.70,0,0,0
2025-11-13,17/09/2025,4.82,120000,4.89,4.89,4.72,0,0,0
2025-11-13,16/09/2025,4.87,160900,4.72,4.89,4.61,11500,2000,0.0
2025-11-13,15/09/2025,4.74,71500,4.70,4.79,4.67,0,5800,-0.0
2025-11-13,12/09/2025,4.70,51500,4.69,4.75,4.67,0,0,0
2025-11-13,11/09/2025,4.69,56600,4.80,4.80,4.63,100,12500,-0.1
2025-11-13,10/09/2025,4.69,29400,4.70,4.77,4.67,0,2500,-0.0
2025-11-13,09/09/2025,4.70,60800,4.70,4.73,4.66,0,0,0
2025-11-13,08/09/2025,4.73,82000,4.83,4.86,4.72,0,0,0
2025-11-13,05/09/2025,4.82,879900,4.74,4.99,4.68,31400,0,0.2
2025-11-13,04/09/2025,4.72,123200,4.72,4.74,4.70,0,0,0
2025-11-13,03/09/2025,4.72,283900,4.62,4.90,4.61,0,1000,-0.0
2025-11-13,29/08/2025,4.62,49300,4.55,4.65,4.55,0,500,-0.0
2025-11-13,28/08/2025,4.62,23900,4.61,4.69,4.59,0,800,0
2025-11-13,27/08/2025,4.64,9500,4.73,4.73,4.63,0,5700,-0.0
2025-11-13,26/08/2025,4.65,22200,4.65,4.68,4.50,0,2100,-0.0
2025-11-13,25/08/2025,4.60,32100,4.59,4.69,4.56,0,0,0
2025-11-13,22/08/2025,4.59,79200,4.68,4.70,4.50,0,1600,-0.0
2025-11-13,21/08/2025,4.69,211100,4.72,4.72,4.60,0,0,0
2025-11-13,20/08/2025,4.69,211200,4.72,4.74,4.62,0,11400,-0.1
