date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,14.40,2000,14.40,14.40,14.40,0,0,0
2025-11-13,11/11/2025,15.40,1000,15.40,15.40,15.40,0,0,0
2025-11-13,10/11/2025,15,1100,14.40,15,14.40,0,0,0
2025-11-13,07/11/2025,14,900,14,14,14,0,0,0
2025-11-13,06/11/2025,14.10,8200,12.70,14.10,12.70,0,0,0
2025-11-13,05/11/2025,12.90,600,12.80,12.90,12.80,0,0,0
2025-11-13,04/11/2025,12.90,500,12.80,12.90,12.80,0,0,0
2025-11-13,03/11/2025,12.90,1000,12.90,12.90,12.90,0,0,0
2025-11-13,31/10/2025,13.40,3200,13.70,13.70,13.40,0,0,0
2025-11-13,30/10/2025,13.80,2000,13.80,13.80,13.80,0,0,0
2025-11-13,29/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,28/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,27/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,24/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,23/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,22/10/2025,14.40,1000,14.40,14.40,14.40,0,0,0
2025-11-13,21/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,20/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,17/10/2025,14.30,0,14.30,14.30,14.30,0,0,0
2025-11-13,16/10/2025,14.30,2000,14.30,14.30,14.30,0,0,0
2025-11-13,15/10/2025,14.30,1000,14.30,14.30,14.30,0,0,0
2025-11-13,14/10/2025,14.20,2000,14.20,14.20,14.20,0,0,0
2025-11-13,13/10/2025,14.40,0,14.40,14.40,14.40,0,0,0
2025-11-13,10/10/2025,14.40,2500,13.80,14.40,13.80,0,0,0
2025-11-13,09/10/2025,13.80,0,13.80,13.80,13.80,0,0,0
2025-11-13,08/10/2025,13.80,1400,13.90,13.90,13.80,0,0,0
2025-11-13,07/10/2025,13.80,9700,13.80,14.40,13.60,0,0,0
2025-11-13,06/10/2025,13.70,1100,13.70,13.70,13.70,0,0,0
2025-11-13,03/10/2025,14,3700,13.70,14,13.70,0,0,0
2025-11-13,02/10/2025,13.70,3300,13.50,13.70,13.50,0,0,0
2025-11-13,01/10/2025,13.70,100,13.70,13.70,13.70,0,0,0
2025-11-13,30/09/2025,13.70,2000,13.60,13.70,13.60,0,0,0
2025-11-13,29/09/2025,13.60,0,13.60,13.60,13.60,0,0,0
2025-11-13,26/09/2025,13.60,1000,13.60,13.60,13.60,0,0,0
2025-11-13,25/09/2025,13.50,1000,13.50,13.50,13.50,0,0,0
2025-11-13,24/09/2025,13.40,1000,13.40,13.40,13.40,0,0,0
2025-11-13,23/09/2025,13.40,2000,13.40,13.50,13.40,0,0,0
2025-11-13,22/09/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,19/09/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,18/09/2025,13.40,200,13.40,13.40,13.40,0,0,0
2025-11-13,17/09/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,16/09/2025,13.40,0,13.40,13.40,13.40,0,0,0
2025-11-13,15/09/2025,13.40,4100,14,14,13.40,0,0,0
2025-11-13,12/09/2025,13.20,0,13.20,13.20,13.20,0,0,0
2025-11-13,11/09/2025,13.20,500,13.20,13.20,13.20,0,0,0
2025-11-13,10/09/2025,13,0,13,13,13,0,0,0
2025-11-13,09/09/2025,13,800,13,13,12.90,0,0,0
2025-11-13,08/09/2025,13,300,13,13,13,0,0,0
2025-11-13,05/09/2025,12.90,100,12.90,12.90,12.90,0,0,0
2025-11-13,04/09/2025,13,1900,11.90,13,11.90,0,0,0
2025-11-13,03/09/2025,11.90,200,11.10,11.90,11.10,0,0,0
2025-11-13,29/08/2025,11.10,1100,11.10,11.10,9.10,0,0,0
2025-11-13,28/08/2025,10.10,1600,10.20,12.30,10.10,0,0,0
2025-11-13,27/08/2025,11.20,1100,12.90,12.90,11.20,0,0,0
2025-11-13,26/08/2025,12.40,2400,12.40,12.40,12.30,0,0,0
2025-11-13,25/08/2025,12.40,14500,13.70,13.70,12.40,0,0,0
2025-11-13,22/08/2025,13.70,100,13.70,13.70,13.70,0,0,0
2025-11-13,21/08/2025,12.50,800,11.50,12.50,11.50,0,0,0
2025-11-13,20/08/2025,12.70,2700,11.40,12.70,11.40,0,0,0
2025-11-13,19/08/2025,12.60,100,12.60,12.60,12.60,0,0,0
2025-11-13,18/08/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,15/08/2025,12.50,100,12.50,12.50,12.50,0,0,0
2025-11-13,14/08/2025,12,100,12,12,12,0,0,0
2025-11-13,13/08/2025,11.50,8000,11.50,11.50,11.50,0,0,0
2025-11-13,12/08/2025,10.50,2000,10.50,10.50,10.50,0,0,0
2025-11-13,11/08/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,08/08/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,07/08/2025,9.90,9600,9.50,9.90,9.50,0,100,-0.0
2025-11-13,06/08/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,05/08/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,04/08/2025,9.90,0,9.90,9.90,9.90,0,0,0
2025-11-13,01/08/2025,9.90,300,8.20,9.90,8.20,0,0,0
2025-11-13,31/07/2025,9,200,9,9,9,0,0,0
2025-11-13,30/07/2025,10,0,10,10,10,0,0,0
2025-11-13,29/07/2025,10,100,10,10,10,0,0,0
2025-11-13,28/07/2025,10,100,10,10,10,0,0,0
2025-11-13,25/07/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,24/07/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,23/07/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,22/07/2025,9.40,1800,9.40,9.40,9.40,0,0,0
2025-11-13,21/07/2025,9.40,100,9.40,9.40,9.40,0,0,0
2025-11-13,18/07/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,17/07/2025,9.40,0,9.40,9.40,9.40,0,0,0
2025-11-13,16/07/2025,9.40,200,9.40,9.40,9.40,0,0,0
2025-11-13,15/07/2025,9.10,100,9.10,9.10,9.10,0,0,0
2025-11-13,14/07/2025,10.10,7000,10.10,10.10,10.10,0,0,0
2025-11-13,11/07/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,10/07/2025,10.40,0,10.40,10.40,10.40,0,0,0
2025-11-13,09/07/2025,10.40,5300,10.20,10.40,10.20,0,0,0
2025-11-13,08/07/2025,10.20,1100,10.20,10.20,10.20,0,0,0
2025-11-13,07/07/2025,10.40,3200,8.60,10.40,8.60,0,0,0
2025-11-13,04/07/2025,9.50,100,9.50,9.50,9.50,0,0,0
2025-11-13,03/07/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,02/07/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,01/07/2025,10.50,0,10.50,10.50,10.50,0,0,0
2025-11-13,30/06/2025,10.50,0,10.50,10.50,10.50,0,0,0
