date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,18.30,14600,18.10,18.30,18.10,0,0,0
2025-11-13,11/11/2025,18.10,32600,18.10,18.30,18,0,0,0
2025-11-13,10/11/2025,18.10,46800,18.40,18.40,18.10,0,7800,-0.1
2025-11-13,07/11/2025,18.60,31600,18.50,18.60,18.30,0,8200,-0.2
2025-11-13,06/11/2025,18.60,28700,18.60,18.60,18.30,0,0,0
2025-11-13,05/11/2025,18.50,8600,18.60,18.60,18.50,0,2700,-0.1
2025-11-13,04/11/2025,18.60,61100,18.40,18.60,18.20,0,10400,-0.2
2025-11-13,03/11/2025,18.40,36600,18.40,18.90,18.40,4000,1200,0.1
2025-11-13,31/10/2025,18.40,43900,18.30,18.40,18.10,0,0,0
2025-11-13,30/10/2025,18.30,50300,18.10,18.30,18,0,0,0
2025-11-13,29/10/2025,18.10,41700,18,18.10,18,0,0,0
2025-11-13,28/10/2025,17.70,197800,17.70,17.90,17.70,300,0,0.0
2025-11-13,27/10/2025,17.70,123400,17.90,18,17.70,0,500,-0.0
2025-11-13,24/10/2025,17.80,317500,18.20,18.20,17.70,0,19600,-0.4
2025-11-13,23/10/2025,18.20,50900,18.20,18.20,18.10,0,10000,-0.2
2025-11-13,22/10/2025,18.30,66800,17.80,18.30,17.70,0,0,0
2025-11-13,21/10/2025,17.90,110700,17.30,17.90,16.90,6800,900,0.1
2025-11-13,20/10/2025,17.50,146300,18.20,18.20,17.40,0,3000,-0.1
2025-11-13,17/10/2025,18.20,49400,19.50,19.50,18.10,0,600,-0.0
2025-11-13,16/10/2025,18,80100,17.90,18,17.80,1700,0,0.0
2025-11-13,15/10/2025,17.90,91100,18,18.10,17.70,0,0,0
2025-11-13,14/10/2025,17.90,112800,18,18,17.50,0,28000,-0.5
2025-11-13,13/10/2025,18.10,124900,18,18.10,17.90,2300,20800,-0.3
2025-11-13,10/10/2025,18,42700,17.90,18,17.80,0,0,0
2025-11-13,09/10/2025,17.90,68900,18.10,18.10,17.90,0,0,0
2025-11-13,08/10/2025,18.10,81400,18.10,18.10,17.90,0,0,0
2025-11-13,07/10/2025,18.10,36100,18.30,18.30,18,0,0,0
2025-11-13,06/10/2025,18.10,18800,18.10,18.20,18,0,200,-0.0
2025-11-13,03/10/2025,18,153500,18,18.20,17.80,0,117500,-2.1
2025-11-13,02/10/2025,18.10,53800,18.10,18.10,17.90,0,0,0
2025-11-13,01/10/2025,18.10,62500,18.10,18.10,18,0,8000,-0.1
2025-11-13,30/09/2025,18.10,164600,18,18.10,17.90,0,133700,-2.4
2025-11-13,29/09/2025,18,53100,18.30,18.40,18,0,8400,-0.2
2025-11-13,26/09/2025,18.30,33300,18.30,18.30,18.10,0,5900,-0.1
2025-11-13,25/09/2025,18.30,42900,18.30,18.30,18.10,0,10800,-0.2
2025-11-13,24/09/2025,18.30,84800,19.80,19.80,18.10,1200,0,0.0
2025-11-13,23/09/2025,18,53300,17.90,18,17.80,7000,0,0.1
2025-11-13,22/09/2025,17.80,56400,17.90,18,16.60,0,8000,-0.1
2025-11-13,19/09/2025,17.90,48300,17.90,17.90,17.70,0,0,0
2025-11-13,18/09/2025,17.90,66900,17.80,18,17.80,0,0,0
2025-11-13,17/09/2025,17.90,48600,17.90,17.90,17.80,0,0,0
2025-11-13,16/09/2025,17.90,102900,17.90,18.10,17.90,0,0,0
2025-11-13,15/09/2025,17.90,52800,18.10,18.10,17.90,0,0,0
2025-11-13,12/09/2025,18.10,105400,18,18.10,17.90,8000,39000,-0.6
2025-11-13,11/09/2025,18.10,98400,18,18.10,17.80,0,11000,-0.2
2025-11-13,10/09/2025,18.10,45900,18,18.10,17.90,0,6000,-0.1
2025-11-13,09/09/2025,18.10,48200,16.20,18.10,16.20,0,7000,-0.1
2025-11-13,08/09/2025,17.90,49200,18.20,18.20,17.90,0,3400,-0.1
2025-11-13,05/09/2025,18.20,97900,18.20,18.20,17.90,0,0,0
2025-11-13,04/09/2025,18.20,70000,18.30,18.50,18.10,7000,9300,-0.0
2025-11-13,03/09/2025,18.30,64300,18.30,18.50,18.10,0,0,0
2025-11-13,29/08/2025,18.20,61000,18.20,18.40,18,0,10900,-0.2
2025-11-13,28/08/2025,18.30,75500,18.40,18.40,18,0,0,0
2025-11-13,27/08/2025,18.50,62200,18.40,18.70,18.20,0,2800,-0.1
2025-11-13,26/08/2025,18.50,40900,18.10,18.50,18,900,8200,-0.1
2025-11-13,25/08/2025,18,109900,18,18,17.70,0,0,0
2025-11-13,22/08/2025,18,271300,18.50,18.70,17.70,5600,10100,-0.1
2025-11-13,21/08/2025,18.80,103400,18.90,18.90,18.40,0,0,0
2025-11-13,20/08/2025,18.90,76900,19.10,20,18.50,0,0,0
2025-11-13,19/08/2025,19.10,123400,19,19.10,18.70,5600,200,0.1
2025-11-13,18/08/2025,19,62900,18.80,19,18.40,0,3000,-0.1
2025-11-13,15/08/2025,18.80,112100,18.90,18.90,18.30,0,1700,-0.0
2025-11-13,14/08/2025,18.90,89100,19.70,19.70,18.50,200,3500,-0.1
2025-11-13,13/08/2025,19,108100,19.60,19.80,18,0,5100,-0.1
2025-11-13,12/08/2025,19.70,42200,19.70,19.70,19.40,0,8200,-0.2
2025-11-13,11/08/2025,19.80,62000,19.20,20,19,100,15800,-0.3
