date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13,200,13,13,13,0,0,0
2025-11-13,11/11/2025,14,0,14,14,14,0,0,0
2025-11-13,10/11/2025,14,0,14,14,14,0,0,0
2025-11-13,07/11/2025,14,200,14,14,14,0,0,0
2025-11-13,06/11/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,05/11/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,04/11/2025,12.70,1000,12.70,12.70,12.70,0,0,0
2025-11-13,03/11/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,31/10/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,30/10/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,29/10/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,28/10/2025,12.60,0,12.60,12.60,12.60,0,0,0
2025-11-13,27/10/2025,12.80,2000,12.50,12.80,12.50,0,0,0
2025-11-13,24/10/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,23/10/2025,12.80,600,12.50,12.80,12.50,0,0,0
2025-11-13,22/10/2025,12.50,900,12.50,12.50,12.50,0,0,0
2025-11-13,21/10/2025,12.50,2500,12,12.50,12,0,0,0
2025-11-13,20/10/2025,12,100,12,12,12,0,0,0
2025-11-13,17/10/2025,12,0,12,12,12,0,0,0
2025-11-13,16/10/2025,12,0,12,12,12,0,0,0
2025-11-13,15/10/2025,12,0,12,12,12,0,0,0
2025-11-13,14/10/2025,12,0,12,12,12,0,0,0
2025-11-13,13/10/2025,12,0,12,12,12,0,0,0
2025-11-13,10/10/2025,12,2800,12,12,12,0,0,0
2025-11-13,09/10/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,08/10/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,07/10/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,06/10/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,03/10/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,02/10/2025,12.50,1500,12.50,12.50,12.50,0,0,0
2025-11-13,01/10/2025,12.50,2300,12.50,12.50,12.50,0,0,0
2025-11-13,30/09/2025,13.30,1000,13.10,13.30,13.10,0,0,0
2025-11-13,29/09/2025,12.60,300,12.60,12.60,12.60,0,0,0
2025-11-13,26/09/2025,11.70,1700,11.70,11.70,11.70,0,0,0
2025-11-13,25/09/2025,12.20,1000,11.90,12.20,10.30,0,0,0
2025-11-13,24/09/2025,12,0,12,12,12,0,0,0
2025-11-13,23/09/2025,12,0,12,12,12,0,0,0
2025-11-13,22/09/2025,12,0,12,12,12,0,0,0
2025-11-13,19/09/2025,12,0,12,12,12,0,0,0
2025-11-13,18/09/2025,12,0,12,12,12,0,0,0
2025-11-13,17/09/2025,12,100,12,12,12,0,0,0
2025-11-13,16/09/2025,12.50,0,12.50,12.50,12.50,0,0,0
2025-11-13,15/09/2025,12.50,6200,12.50,12.50,12.50,0,0,0
2025-11-13,12/09/2025,12.50,16400,12.50,12.50,12.50,0,0,0
2025-11-13,11/09/2025,12,1300,12,12,12,0,0,0
2025-11-13,10/09/2025,12.80,47700,12,12.80,12,0,0,0
2025-11-13,09/09/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,08/09/2025,13.30,0,13.30,13.30,13.30,0,0,0
2025-11-13,05/09/2025,12.40,200,14.20,14.20,12.40,0,0,0
2025-11-13,04/09/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,03/09/2025,12.40,100,12.40,12.40,12.40,0,0,0
2025-11-13,29/08/2025,12.60,6300,12.60,12.60,12.60,0,0,0
2025-11-13,28/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,27/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,26/08/2025,12.80,100,12.80,12.80,12.80,0,0,0
2025-11-13,25/08/2025,12.80,0,12.80,12.80,12.80,0,0,0
2025-11-13,22/08/2025,12.80,200,12.80,12.80,12.80,0,0,0
2025-11-13,21/08/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,20/08/2025,12.70,1000,12.40,12.70,12.40,0,0,0
2025-11-13,19/08/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,18/08/2025,12.70,100,12.70,12.70,12.70,0,0,0
2025-11-13,15/08/2025,12.40,1000,12.90,12.90,12.40,0,0,0
2025-11-13,14/08/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,13/08/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,12/08/2025,12.90,1100,12.90,12.90,12.90,0,0,0
2025-11-13,11/08/2025,12.90,1600,12.70,12.90,12.70,0,0,0
2025-11-13,08/08/2025,12.80,1600,12.90,12.90,12.80,0,0,0
2025-11-13,07/08/2025,12.90,1300,12.90,12.90,12.90,0,0,0
2025-11-13,06/08/2025,14.10,100,14.10,14.10,14.10,0,0,0
2025-11-13,05/08/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,04/08/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,01/08/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,31/07/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,30/07/2025,12.40,0,12.40,12.40,12.40,0,0,0
2025-11-13,29/07/2025,12.80,5000,12.80,12.80,11.80,0,0,0
2025-11-13,28/07/2025,12.70,200,12.70,12.70,12.70,0,0,0
2025-11-13,25/07/2025,12.60,1200,12.60,12.90,12.60,0,0,0
2025-11-13,24/07/2025,13,3200,12.10,13,12.10,0,0,0
2025-11-13,23/07/2025,12.10,1000,12.10,12.10,12.10,0,0,0
2025-11-13,22/07/2025,12.50,500,12.50,12.50,12.50,0,0,0
2025-11-13,21/07/2025,12.90,1000,12.50,12.90,12.50,0,0,0
2025-11-13,18/07/2025,12.50,1000,12,12.50,12,0,0,0
2025-11-13,17/07/2025,13,2000,11.90,13,11.80,0,0,0
2025-11-13,16/07/2025,11.90,1100,12,12,11.90,0,0,0
2025-11-13,15/07/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,14/07/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,11/07/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,10/07/2025,12.90,0,12.90,12.90,12.90,0,0,0
2025-11-13,09/07/2025,12.70,1000,12.70,13,12.70,0,0,0
2025-11-13,08/07/2025,12.80,2300,12.50,12.80,12.40,0,0,0
2025-11-13,07/07/2025,12.50,200,12.50,12.50,12.50,0,0,0
2025-11-13,04/07/2025,12.50,300,12.50,12.50,12.50,0,0,0
2025-11-13,03/07/2025,13.30,1400,12,13.30,12,0,0,0
2025-11-13,02/07/2025,12,100,12,12,12,0,0,0
2025-11-13,01/07/2025,13,3000,12.20,13,12.20,0,0,0
2025-11-13,30/06/2025,12,2200,11.60,12,11.60,0,0,0
2025-11-13,27/06/2025,13.10,0,13.10,13.10,13.10,0,0,0
2025-11-13,26/06/2025,13.10,600,13.20,13.20,13.10,0,0,0
2025-11-13,25/06/2025,11.60,0,11.60,11.60,11.60,0,0,0
2025-11-13,24/06/2025,11.60,0,11.60,11.60,11.60,0,0,0
