date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,20.40,100,20.40,20.40,20.40,0,0,0
2025-11-13,11/11/2025,21.90,1300,20.10,21.90,20.10,0,0,0
2025-11-13,10/11/2025,23,1800,30,30,23,0,0,0
2025-11-13,07/11/2025,27,100,27,27,27,0,0,0
2025-11-13,06/11/2025,23.90,0,23.90,23.90,23.90,0,0,0
2025-11-13,05/11/2025,23.90,100,23.90,23.90,23.90,0,0,0
2025-11-13,04/11/2025,21,0,21,21,21,0,0,0
2025-11-13,03/11/2025,21,100,21,21,21,0,0,0
2025-11-13,31/10/2025,18.90,0,18.90,18.90,18.90,0,0,0
2025-11-13,30/10/2025,18.90,0,18.90,18.90,18.90,0,0,0
2025-11-13,29/10/2025,18.90,7200,18.50,18.90,18.50,0,0,0
2025-11-13,28/10/2025,21.70,0,21.70,21.70,21.70,0,0,0
2025-11-13,27/10/2025,21.70,100,21.70,21.70,21.70,0,0,0
2025-11-13,24/10/2025,19,0,19,19,19,0,0,0
2025-11-13,23/10/2025,19,0,19,19,19,0,0,0
2025-11-13,22/10/2025,19,0,19,19,19,0,0,0
2025-11-13,21/10/2025,19,100,19,19,19,0,0,0
2025-11-13,20/10/2025,18.60,1500,18.50,18.60,18.50,0,0,0
2025-11-13,17/10/2025,21.50,100,21.50,21.50,21.50,0,0,0
2025-11-13,16/10/2025,18.20,200,19.30,19.30,18.20,0,0,0
2025-11-13,15/10/2025,18.90,0,18.90,18.90,18.90,0,0,0
2025-11-13,14/10/2025,18.90,0,18.90,18.90,18.90,0,0,0
2025-11-13,13/10/2025,18.90,1000,18.90,18.90,18.90,0,0,0
2025-11-13,10/10/2025,18.70,100,18.70,18.70,18.70,0,0,0
2025-11-13,09/10/2025,18.80,0,18.80,18.80,18.80,0,0,0
2025-11-13,08/10/2025,18.80,100,18.80,18.80,18.80,0,0,0
2025-11-13,07/10/2025,18.40,600,18.40,18.40,18.40,0,0,0
2025-11-13,06/10/2025,18,2900,18.30,18.30,18,0,0,0
2025-11-13,03/10/2025,18,0,18,18,18,0,0,0
2025-11-13,02/10/2025,18,100,18,18,18,0,0,0
2025-11-13,01/10/2025,18,9800,18.30,18.30,18,0,0,0
2025-11-13,30/09/2025,19,10700,19.70,19.70,18,0,0,0
2025-11-13,29/09/2025,19.80,600,19.80,19.80,19.80,0,0,0
2025-11-13,26/09/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,25/09/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,24/09/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,23/09/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,22/09/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,19/09/2025,19.70,3500,19.70,23,19.70,0,0,0
2025-11-13,18/09/2025,23.10,100,23.10,23.10,23.10,0,0,0
2025-11-13,17/09/2025,20.20,0,20.20,20.20,20.20,0,0,0
2025-11-13,16/09/2025,19.90,200,20.40,20.40,19.90,0,0,0
2025-11-13,15/09/2025,19.90,100,19.90,19.90,19.90,0,0,0
2025-11-13,12/09/2025,18.90,600,21.50,21.50,18.90,0,0,0
2025-11-13,11/09/2025,18.80,4500,18.80,18.80,18.80,0,0,0
2025-11-13,10/09/2025,18.80,300,18.80,18.80,18.80,0,0,0
2025-11-13,09/09/2025,18.80,5000,18.80,18.80,18.80,0,0,0
2025-11-13,08/09/2025,18.80,700,18.70,18.80,18.50,0,0,0
2025-11-13,05/09/2025,18.80,5800,18.50,18.80,18.50,0,0,0
2025-11-13,04/09/2025,18.80,4800,18.80,18.80,18.80,0,0,0
2025-11-13,03/09/2025,18.70,100,18.70,18.70,18.70,0,0,0
