date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,11/11/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,10/11/2025,7.30,100,7.30,7.30,7.30,0,0,0
2025-11-13,07/11/2025,7.50,0,7.50,7.50,7.50,0,0,0
2025-11-13,06/11/2025,7.50,100,7.50,7.50,7.50,0,0,0
2025-11-13,05/11/2025,7.30,0,7.30,7.30,7.30,0,0,0
2025-11-13,04/11/2025,7.30,100,7.30,7.30,7.30,0,0,0
2025-11-13,03/11/2025,6.50,4200,6.50,6.50,6.50,0,0,0
2025-11-13,31/10/2025,6.50,3000,6.20,6.50,6.20,0,0,0
2025-11-13,30/10/2025,7,1900,7,7,7,0,0,0
2025-11-13,29/10/2025,7.30,2300,7.50,7.50,7.30,0,0,0
2025-11-13,28/10/2025,7.40,100,7.40,7.40,7.40,0,0,0
2025-11-13,27/10/2025,6.60,500,6.50,6.60,6.50,0,0,0
2025-11-13,24/10/2025,6.60,0,6.60,6.60,6.60,0,0,0
2025-11-13,23/10/2025,6.60,100,6.60,6.60,6.60,0,0,0
2025-11-13,22/10/2025,7.10,0,7.10,7.10,7.10,0,0,0
2025-11-13,21/10/2025,7.10,0,7.10,7.10,7.10,0,0,0
2025-11-13,20/10/2025,7.30,500,7,7.30,7,0,0,0
2025-11-13,17/10/2025,6.40,200,6.40,6.40,6.40,0,0,0
2025-11-13,16/10/2025,6.50,800,8.20,8.20,6.50,0,0,0
2025-11-13,15/10/2025,7.20,100,7.20,7.20,7.20,0,0,0
2025-11-13,14/10/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,13/10/2025,6.20,1200,7.30,7.30,6.20,0,0,0
2025-11-13,10/10/2025,6.40,600,6.30,6.40,6.30,0,0,0
2025-11-13,09/10/2025,7.20,100,7.20,7.20,7.20,0,0,0
2025-11-13,08/10/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,07/10/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,06/10/2025,6.30,100,6.30,6.30,6.30,0,0,0
2025-11-13,03/10/2025,7,0,7,7,7,0,0,0
2025-11-13,02/10/2025,7,100,7,7,7,0,0,0
2025-11-13,01/10/2025,6.80,6700,6.80,6.80,6.80,0,0,0
2025-11-13,30/09/2025,6.80,100,6.80,6.80,6.80,0,0,0
2025-11-13,29/09/2025,6.80,100,6.80,6.80,6.80,0,0,0
2025-11-13,26/09/2025,6.80,100,6.80,6.80,6.80,0,0,0
2025-11-13,25/09/2025,6.50,1000,6.50,6.60,6.50,0,0,0
2025-11-13,24/09/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,23/09/2025,6,300,6.60,6.60,6,0,0,0
2025-11-13,22/09/2025,5.90,1700,6,6,5.90,0,0,0
2025-11-13,19/09/2025,6.70,100,6.70,6.70,6.70,0,0,0
2025-11-13,18/09/2025,5.80,1000,6,6,5.80,0,0,0
2025-11-13,17/09/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,16/09/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,15/09/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,12/09/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,11/09/2025,6.70,100,6.70,6.70,6.70,0,0,0
2025-11-13,10/09/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,09/09/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,08/09/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,05/09/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,04/09/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,03/09/2025,6.50,1300,6.50,6.50,6.50,0,0,0
2025-11-13,29/08/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,28/08/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,27/08/2025,6.50,100,6.50,6.50,6.50,0,0,0
2025-11-13,26/08/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,25/08/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,22/08/2025,6.50,0,6.50,6.50,6.50,0,0,0
2025-11-13,21/08/2025,6.50,1700,6.50,6.50,6.50,0,0,0
2025-11-13,20/08/2025,6.60,100,6.60,6.60,6.60,0,0,0
2025-11-13,19/08/2025,6.60,10200,6.80,6.80,6.60,0,0,0
2025-11-13,18/08/2025,6.80,1600,6.80,6.80,6.80,0,0,0
2025-11-13,15/08/2025,6.80,0,6.80,6.80,6.80,0,0,0
2025-11-13,14/08/2025,6.80,3100,6.80,6.80,6.80,0,0,0
2025-11-13,13/08/2025,6.60,200,6.30,6.60,6.30,0,0,0
2025-11-13,12/08/2025,6.60,11800,6.20,6.60,6.20,0,0,0
2025-11-13,11/08/2025,6.60,0,6.60,6.60,6.60,0,0,0
2025-11-13,08/08/2025,6.50,800,6.90,6.90,6.50,0,0,0
2025-11-13,07/08/2025,6.50,700,6.50,6.50,6.50,0,0,0
2025-11-13,06/08/2025,6.60,100,6.60,6.60,6.60,0,0,0
2025-11-13,05/08/2025,6.80,200,6.80,6.80,6.80,0,0,0
2025-11-13,04/08/2025,6.90,0,6.90,6.90,6.90,0,0,0
