date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,24.35,36600,24,24.45,23.80,500,300,0.0
2025-11-13,11/11/2025,23.90,52700,24.05,24.05,23.80,0,100,-0.0
2025-11-13,10/11/2025,24,77000,23.95,24.20,23.80,4400,200,0.1
2025-11-13,07/11/2025,23.85,64500,23.70,24,23.70,6700,800,0.1
2025-11-13,06/11/2025,23.70,23200,24,24,23.50,100,5400,-0.1
2025-11-13,05/11/2025,23.80,31600,23.85,23.85,23.60,3900,200,0.1
2025-11-13,04/11/2025,23.90,78200,23.50,23.95,23,800,4800,-0.1
2025-11-13,03/11/2025,23.80,51100,24.30,24.45,23.80,10100,1000,0.2
2025-11-13,31/10/2025,23.90,153300,23.70,24.80,23.50,14200,6200,0.2
2025-11-13,30/10/2025,23.40,38800,23.50,23.50,23.10,8500,0,0.2
2025-11-13,29/10/2025,23.60,57800,23.75,23.75,23.45,28600,0,0.7
2025-11-13,28/10/2025,23.65,123300,23.65,23.75,23.35,42400,100,1.0
2025-11-13,27/10/2025,23.40,60800,23.50,23.65,23.35,23300,0,0.5
2025-11-13,24/10/2025,23.45,112100,23.30,23.60,23.10,49900,5000,1.0
2025-11-13,23/10/2025,23.25,54200,23.30,23.70,23.20,8400,0,0.2
2025-11-13,22/10/2025,23.10,137800,22.80,23.15,22.60,26300,0,0.6
2025-11-13,21/10/2025,22.85,117600,22.85,22.95,22.40,9900,16600,-0.2
2025-11-13,20/10/2025,22.85,175600,23.80,23.80,22.70,500,6900,-0.1
2025-11-13,17/10/2025,23.80,92900,23.90,23.95,23.35,30200,3900,0.6
2025-11-13,16/10/2025,23.65,228200,24.20,24.30,23.55,2500,12000,-0.2
2025-11-13,15/10/2025,24.45,188600,25.20,25.20,24.20,4000,3500,0.0
2025-11-13,14/10/2025,24.50,281900,23.60,24.90,23.30,4100,900,0.1
2025-11-13,13/10/2025,23.55,87400,23.25,23.70,23.10,6500,0,0.2
2025-11-13,10/10/2025,23.75,56300,23.40,23.95,23.40,8100,0,0.2
2025-11-13,09/10/2025,23.40,90000,23.35,23.55,23.35,0,0,0
2025-11-13,08/10/2025,23.35,39700,23.55,23.55,23.20,2600,4000,-0.0
2025-11-13,07/10/2025,23.25,54200,23.40,23.45,23.20,200,0,0.0
2025-11-13,06/10/2025,23.40,103100,23.20,23.50,23.10,4300,0,0.1
2025-11-13,03/10/2025,23.15,48100,23.45,23.45,23.10,800,2900,-0.0
2025-11-13,02/10/2025,23.45,40000,23.55,23.70,23.45,3200,12500,-0.2
2025-11-13,01/10/2025,23.50,30900,23.30,23.50,23.20,200,800,-0.0
2025-11-13,30/09/2025,23.30,50400,23.60,23.60,23.05,1300,400,0.0
2025-11-13,29/09/2025,23.50,97000,23.55,23.85,23.15,7900,8900,-0.0
2025-11-13,26/09/2025,23.55,83800,24,24,23.50,12400,0,0.3
2025-11-13,25/09/2025,23.85,60800,23.35,24.35,23.35,7500,4600,0.1
2025-11-13,24/09/2025,23.65,87500,23.50,23.75,23.45,6400,10700,-0.1
2025-11-13,23/09/2025,23.30,53800,23.15,23.90,23.15,8600,0,0.2
2025-11-13,22/09/2025,23.15,198500,24,24,23.10,39800,500,0.9
2025-11-13,19/09/2025,24,243600,25.05,25.70,24,33700,1000,0.8
2025-11-13,18/09/2025,25,345900,24.40,25.60,23.80,128200,26500,2.5
2025-11-13,17/09/2025,24.30,516200,23,24.40,22.90,12400,69900,-1.4
2025-11-13,16/09/2025,22.85,45000,23,23,22.80,5500,0,0.1
2025-11-13,15/09/2025,22.80,87500,22.25,22.85,22.25,12400,800,0.3
2025-11-13,12/09/2025,22.25,63500,22.45,22.45,22.20,3100,1100,0.0
2025-11-13,11/09/2025,22.25,57300,22.35,22.35,21.95,6900,4200,0.1
2025-11-13,10/09/2025,22.35,48300,22.35,22.45,22.30,22000,0,0.5
2025-11-13,09/09/2025,22.35,167300,22.40,22.40,22,23900,30900,-0.2
2025-11-13,08/09/2025,22.40,142500,22.90,22.90,22.40,24400,7200,0.4
2025-11-13,05/09/2025,22.90,95100,23.35,23.35,22.90,20000,8700,0.3
2025-11-13,04/09/2025,23.25,149800,22.50,23.30,22.45,34000,21900,0.3
2025-11-13,03/09/2025,22.50,55200,22.40,22.65,22.40,34100,13000,0.5
2025-11-13,29/08/2025,22.40,71000,22.55,22.55,22.35,0,3100,-0.1
2025-11-13,28/08/2025,22.55,24500,22.55,22.55,22.40,0,1243,0
2025-11-13,27/08/2025,22.55,111300,22.45,22.75,22.40,17400,48400,-0.7
2025-11-13,26/08/2025,22.45,95000,22.50,22.55,22.10,1600,38400,-0.8
2025-11-13,25/08/2025,22.20,57700,22.60,22.60,22.20,0,17700,-0.4
