date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.70,1000,4.70,4.70,4.70,0,0,0
2025-11-13,11/11/2025,4.70,100,4.70,4.70,4.70,0,0,0
2025-11-13,10/11/2025,4.70,100,4.70,4.70,4.70,0,0,0
2025-11-13,07/11/2025,4.70,100,4.70,4.70,4.70,0,0,0
2025-11-13,06/11/2025,4.70,0,4.70,4.70,4.70,0,0,0
2025-11-13,05/11/2025,4.60,800,4.60,4.90,4.60,0,0,0
2025-11-13,04/11/2025,4.60,100,4.60,4.60,4.60,0,0,0
2025-11-13,03/11/2025,4.60,100,4.60,4.60,4.60,0,0,0
2025-11-13,31/10/2025,4.40,1100,4.80,4.80,4.40,0,0,0
2025-11-13,30/10/2025,4.90,200,4.80,4.90,4.80,0,0,0
2025-11-13,29/10/2025,4.80,1900,4.80,4.90,4.80,0,0,0
2025-11-13,28/10/2025,4.90,3900,5.40,5.40,4.90,0,0,0
2025-11-13,27/10/2025,5,29700,5.20,5.80,5,0,0,0
2025-11-13,24/10/2025,5.20,36000,5,5.20,5,0,0,0
2025-11-13,23/10/2025,5,1200,5,5,4.50,0,0,0
2025-11-13,22/10/2025,4.50,100,4.50,4.50,4.50,0,0,0
2025-11-13,21/10/2025,4.90,5000,4.90,4.90,4.90,0,0,0
2025-11-13,20/10/2025,5.10,3500,4.90,5.10,4.90,0,0,0
2025-11-13,17/10/2025,4.90,500,4.90,4.90,4.90,0,0,0
2025-11-13,16/10/2025,5,100,5,5,5,0,0,0
2025-11-13,15/10/2025,5,27700,5,5,5,0,0,0
2025-11-13,14/10/2025,5,500,5,5,5,0,0,0
2025-11-13,13/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,10/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,09/10/2025,5.10,1700,5.10,5.10,5.10,0,0,0
2025-11-13,08/10/2025,5.10,1000,5.10,5.10,5.10,0,0,0
2025-11-13,07/10/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,06/10/2025,5.10,100,5.10,5.10,5.10,0,0,0
2025-11-13,03/10/2025,5,30600,5,5,4.70,0,0,0
2025-11-13,02/10/2025,5,0,5,5,5,0,0,0
2025-11-13,01/10/2025,5,3100,5,5,5,0,0,0
2025-11-13,30/09/2025,5.10,16300,5,5.10,5,0,0,0
2025-11-13,29/09/2025,5,5400,5.10,5.10,5,0,0,0
2025-11-13,26/09/2025,5,16000,5,5,5,0,0,0
2025-11-13,25/09/2025,5,0,5,5,5,0,0,0
2025-11-13,24/09/2025,5,0,5,5,5,0,0,0
2025-11-13,23/09/2025,5,5000,5,5,5,0,0,0
2025-11-13,22/09/2025,5,24200,5,5,5,0,0,0
2025-11-13,19/09/2025,5,3900,5.10,5.10,5,0,0,0
2025-11-13,18/09/2025,5.10,200,5.10,5.10,5.10,0,0,0
2025-11-13,17/09/2025,5.10,1200,5.10,5.10,5.10,0,0,0
2025-11-13,16/09/2025,5,1500,5,5,5,0,0,0
2025-11-13,15/09/2025,5.10,10100,5.10,5.10,5.10,0,0,0
2025-11-13,12/09/2025,5.10,2200,5,5.10,5,0,0,0
2025-11-13,11/09/2025,5,5100,5,5,5,0,0,0
2025-11-13,10/09/2025,5,0,5,5,5,0,0,0
2025-11-13,09/09/2025,5,7100,5,5,5,0,0,0
2025-11-13,08/09/2025,5,0,5,5,5,0,0,0
2025-11-13,05/09/2025,5,11800,5,5,5,0,0,0
2025-11-13,04/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,03/09/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,29/08/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,28/08/2025,5.40,0,5.40,5.40,5.40,0,0,0
2025-11-13,27/08/2025,5.40,100,5.40,5.40,5.40,0,0,0
2025-11-13,26/08/2025,5,0,5,5,5,0,0,0
2025-11-13,25/08/2025,5,2200,5,5,5,0,0,0
2025-11-13,22/08/2025,5,4700,5,5.10,5,0,0,0
2025-11-13,21/08/2025,5.10,0,5.10,5.10,5.10,0,0,0
2025-11-13,20/08/2025,5.20,600,5,5.20,5,0,0,0
2025-11-13,19/08/2025,5.30,0,5.30,5.30,5.30,0,0,0
2025-11-13,18/08/2025,5.30,100,5.30,5.30,5.30,0,0,0
2025-11-13,15/08/2025,5.20,10500,5.10,5.20,5,0,0,0
