date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,2.72,4900,2.72,2.73,2.70,0,0,0
2025-11-13,11/11/2025,2.72,1400,2.63,2.72,2.62,0,0,0
2025-11-13,10/11/2025,2.63,34900,2.65,2.68,2.50,0,0,0
2025-11-13,07/11/2025,2.65,10400,2.60,2.65,2.55,0,0,0
2025-11-13,06/11/2025,2.65,4600,2.70,2.70,2.64,0,0,0
2025-11-13,05/11/2025,2.72,13100,2.82,2.82,2.70,0,0,0
2025-11-13,04/11/2025,2.65,26700,2.63,2.65,2.63,0,0,0
2025-11-13,03/11/2025,2.80,20700,2.64,2.80,2.62,0,0,0
2025-11-13,31/10/2025,2.80,25200,2.81,2.82,2.71,0,0,0
2025-11-13,30/10/2025,2.88,22400,3,3,2.82,0,0,0
2025-11-13,29/10/2025,2.90,41900,3.05,3.05,2.75,0,0,0
2025-11-13,28/10/2025,2.90,37500,3.19,3.19,2.90,600,0,0.0
2025-11-13,27/10/2025,3.07,123400,3.07,3.07,3.07,500,0,0.0
2025-11-13,24/10/2025,2.87,50500,2.87,2.87,2.85,0,12200,-0.0
2025-11-13,23/10/2025,2.69,14900,2.70,2.72,2.43,0,0,0
2025-11-13,22/10/2025,2.60,17300,2.72,2.72,2.51,0,400,-0.0
2025-11-13,21/10/2025,2.56,2200,2.57,2.57,2.51,0,100,-0.0
2025-11-13,20/10/2025,2.57,11900,2.57,2.57,2.57,0,700,-0.0
2025-11-13,17/10/2025,2.57,8500,2.62,2.62,2.55,0,0,0
2025-11-13,16/10/2025,2.62,9700,2.65,2.70,2.62,0,0,0
2025-11-13,15/10/2025,2.73,4400,2.74,2.74,2.71,0,0,0
2025-11-13,14/10/2025,2.74,9300,2.75,2.75,2.72,0,0,0
2025-11-13,13/10/2025,2.75,2200,2.79,2.79,2.70,300,0,0.0
2025-11-13,10/10/2025,2.80,7200,2.81,2.81,2.75,0,0,0
2025-11-13,09/10/2025,2.80,3600,2.79,2.80,2.79,0,0,0
2025-11-13,08/10/2025,2.80,3100,2.73,2.82,2.73,0,0,0
2025-11-13,07/10/2025,2.80,5400,2.80,2.80,2.72,0,0,0
2025-11-13,06/10/2025,2.80,2900,2.83,2.83,2.80,0,0,0
2025-11-13,03/10/2025,2.80,4300,2.83,2.98,2.75,0,0,0
2025-11-13,02/10/2025,2.80,800,2.85,2.85,2.80,0,0,0
2025-11-13,01/10/2025,2.85,4900,2.81,2.86,2.81,0,0,0
2025-11-13,30/09/2025,2.81,5000,2.88,2.88,2.77,0,0,0
2025-11-13,29/09/2025,2.86,5100,2.85,2.90,2.80,0,0,0
