date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,18,3500,18,18,17.60,0,0,0
2025-11-13,11/11/2025,18,1300,18,18,17.90,0,0,0
2025-11-13,10/11/2025,18,2200,18.10,18.10,17.30,200,200,-0.0
2025-11-13,07/11/2025,18.10,300,18.10,18.10,18.10,0,0,0
2025-11-13,06/11/2025,18.70,500,18,18.70,18,0,0,0
2025-11-13,05/11/2025,18.70,1300,19,19,18.70,100,0,0.0
2025-11-13,04/11/2025,18.50,6500,18.10,18.50,18.10,500,0,0.0
2025-11-13,03/11/2025,18.50,36200,18.50,19,17,200,0,0.0
2025-11-13,31/10/2025,18.50,4400,19,19.20,18.30,0,0,0
2025-11-13,30/10/2025,17.60,92700,16.20,17.60,16,0,0,0
2025-11-13,29/10/2025,16,9300,16,16,15.90,0,0,0
2025-11-13,28/10/2025,16,6100,16,16,15.50,0,0,0
2025-11-13,27/10/2025,16,10500,16.40,16.40,15.90,0,0,0
2025-11-13,24/10/2025,16,31100,15.10,16.20,14.90,0,0,0
2025-11-13,23/10/2025,15.10,9800,14.90,15.20,14.90,0,0,0
2025-11-13,22/10/2025,14.90,13800,14.90,14.90,14.70,0,0,0
2025-11-13,21/10/2025,14.90,7400,15.50,15.50,14.90,0,0,0
2025-11-13,20/10/2025,14.90,11400,14.90,15.50,14.80,0,0,0
2025-11-13,17/10/2025,14.90,1600,14.60,14.90,14,0,0,0
2025-11-13,16/10/2025,14.70,2100,14.70,14.70,14.70,0,0,0
2025-11-13,15/10/2025,14.70,4900,14.50,14.70,14.50,0,0,0
2025-11-13,14/10/2025,14.90,6000,15.20,15.30,14.50,0,0,0
2025-11-13,13/10/2025,15.40,4800,14.70,15.40,14.20,0,0,0
2025-11-13,10/10/2025,15.40,39600,15.60,15.60,14.50,0,0,0
2025-11-13,09/10/2025,15.70,32100,15.50,15.70,14.60,0,0,0
