date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,10.80,9700,10.50,10.80,10.50,0,0,0,
2025-11-13,11/11/2025,10.50,5700,10.60,10.70,10.20,0,0,0,
2025-11-13,10/11/2025,10.40,26400,11.10,11.10,10.20,0,0,0,
2025-11-13,07/11/2025,11,11200,11.10,11.10,11,0,0,0,
2025-11-13,06/11/2025,11.20,12000,11.10,11.20,10.90,0,0,0,
2025-11-13,05/11/2025,10.90,25900,11.50,11.50,10.80,0,0,0,
2025-11-13,04/11/2025,11.30,31900,11.40,11.40,11,0,0,0,
2025-11-13,03/11/2025,11.40,10600,11.40,11.60,11.30,0,0,0,
2025-11-13,31/10/2025,11.40,23500,11.60,11.60,11.20,0,0,0,
2025-11-13,30/10/2025,11.50,37400,11.60,11.60,11.20,0,0,0,
2025-11-13,29/10/2025,11.60,24700,12,12,11.40,0,0,0,
2025-11-13,28/10/2025,11.50,22400,11.60,12.50,11.30,0,0,0,
2025-11-13,27/10/2025,11.50,29800,11.50,11.60,11.30,0,0,0,
2025-11-13,24/10/2025,11.60,10700,11.50,11.70,11.30,0,0,0,
2025-11-13,23/10/2025,11.70,23500,11.50,12.20,11.40,0,0,0,
2025-11-13,22/10/2025,11.90,85100,11.90,11.90,11.30,0,0,0,
2025-11-13,21/10/2025,11.90,76500,12.50,12.80,11.70,0,0,0,
2025-11-13,20/10/2025,12.10,88800,12.80,13.50,12,0,0,0,
2025-11-13,17/10/2025,12.60,155700,12,13.20,12,0,9000,-0.1,
2025-11-13,16/10/2025,12,69000,11.60,12,11.30,0,0,0,
2025-11-13,15/10/2025,11.60,70000,12.50,12.50,11.30,0,0,0,
2025-11-13,14/10/2025,12.30,117400,14,14.30,12,0,6000,-0.1,
2025-11-13,13/10/2025,12.60,139000,11.40,12.60,11.40,0,3000,-0.0,
2025-11-13,10/10/2025,10.90,28000,10.80,11.20,10.80,0,0,0,
2025-11-13,09/10/2025,10.70,12000,10.90,11.10,10.60,0,0,0,
2025-11-13,08/10/2025,10.60,8600,10.90,11,10.60,0,100,-0.0,
