date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,109.60,25300,108.50,109.60,106.10,0,100,-0.0
2025-11-13,11/11/2025,108.70,13800,104.20,108.80,104.20,0,0,0
2025-11-13,10/11/2025,107.60,1800,105,107.60,105,0,0,0
2025-11-13,07/11/2025,104.60,9700,106.10,106.10,104.10,0,0,0
2025-11-13,06/11/2025,107.90,7700,108.60,108.60,107,0,0,0
2025-11-13,05/11/2025,109.70,14500,109,109.80,108,0,0,0
2025-11-13,04/11/2025,110.60,46600,108,112,105,400,0,0.0
2025-11-13,03/11/2025,108,9000,108.70,108.80,104.40,0,0,0
2025-11-13,31/10/2025,105,17600,104,109.50,104,0,0,0
2025-11-13,30/10/2025,106,13400,106.50,108,104,0,0,0
2025-11-13,29/10/2025,107.20,65000,100,109,100,0,0,0
2025-11-13,28/10/2025,102,27500,100,102.50,98.80,0,0,0
2025-11-13,27/10/2025,101.40,9600,101.20,102.10,98.50,0,0,0
2025-11-13,24/10/2025,101.20,3700,104.10,104.10,101.20,0,0,0
2025-11-13,23/10/2025,104.20,43300,99.80,104.90,99.30,0,0,0
2025-11-13,22/10/2025,99.90,13800,99.50,101,99.10,0,0,0
2025-11-13,21/10/2025,99.90,63500,98,99.90,97.50,0,0,0
2025-11-13,20/10/2025,98,44900,97,100,96,1000,0,0.1
2025-11-13,17/10/2025,97.90,32000,96.90,98,96.50,0,0,0
2025-11-13,16/10/2025,97.30,56600,98.50,98.50,96,800,0,0.1
2025-11-13,15/10/2025,97.70,44000,96.80,98,95.10,0,300,-0.0
2025-11-13,14/10/2025,96.50,70100,94.80,97,92,900,0,0.1
2025-11-13,13/10/2025,94.90,25500,94.70,95.90,93.90,1000,0,0.1
2025-11-13,10/10/2025,94.70,19100,96,96,94.70,0,0,0
2025-11-13,09/10/2025,96.50,9400,95,96.50,95,0,0,0
2025-11-13,08/10/2025,96,10000,95,96.50,95,0,0,0
2025-11-13,07/10/2025,96,5400,96,96.10,94.90,100,0,0.0
2025-11-13,06/10/2025,96.90,19100,95.80,96.90,95.80,0,0,0
2025-11-13,03/10/2025,95.90,48200,95.50,97.50,93,200,0,0.0
2025-11-13,02/10/2025,95.10,73400,93.60,98,93.60,0,0,0
2025-11-13,01/10/2025,94.40,2900,94.70,94.70,93.80,0,0,0
2025-11-13,30/09/2025,93.80,4400,94.50,94.50,92.20,0,0,0
2025-11-13,29/09/2025,93.10,18200,93.20,95.60,93.10,0,2500,-0.2
2025-11-13,26/09/2025,94.80,22300,94.10,95.10,93,0,3300,-0.3
2025-11-13,25/09/2025,95.40,19100,94.10,95.40,93.90,0,2600,-0.2
2025-11-13,24/09/2025,95.90,35100,94,96.90,93.10,0,6200,-0.6
2025-11-13,23/09/2025,95,18700,95,95.30,94,0,3800,-0.4
2025-11-13,22/09/2025,95,22500,94,95,93.40,0,0,0
2025-11-13,19/09/2025,94.10,3600,94.50,95.30,94,0,600,-0.1
2025-11-13,18/09/2025,95,10000,95.50,98,94,1000,600,0.0
2025-11-13,17/09/2025,95.90,22200,97.50,97.60,94,1400,1000,0.0
2025-11-13,16/09/2025,96.80,140400,103,103,88.60,11100,700,1.0
2025-11-13,15/09/2025,98.40,87200,94.40,98.50,94,6300,0,0.6
2025-11-13,12/09/2025,94.60,29300,95.60,96.90,94.60,1700,700,0.1
2025-11-13,11/09/2025,97.40,8400,95.50,97.40,94.80,100,0,0.0
2025-11-13,10/09/2025,98.20,21700,96.10,98.50,94.70,2000,0,0.2
2025-11-13,09/09/2025,98,27100,95.30,98.40,95.30,400,0,0.0
2025-11-13,08/09/2025,98.40,16400,97,99.50,96,500,0,0.0
2025-11-13,05/09/2025,99.50,27500,101.90,101.90,97.70,0,0,0
2025-11-13,04/09/2025,99.90,106400,94.10,101,94.10,0,0,0
2025-11-13,03/09/2025,96,38200,98.60,98.60,96,0,0,0
2025-11-13,29/08/2025,99.90,18200,100,101.50,98.20,0,0,0
2025-11-13,28/08/2025,100,39100,101.50,102.50,98.20,0,0,0
2025-11-13,27/08/2025,101,3300,100,101,99.10,0,0,0
2025-11-13,26/08/2025,101.50,31100,99.20,101.50,99,0,0,0
2025-11-13,25/08/2025,99.10,35800,100,103.50,98,0,0,0
2025-11-13,22/08/2025,100,17200,103,103,100,0,0,0
2025-11-13,21/08/2025,103.40,13600,101.30,103.40,100.10,0,0,0
2025-11-13,20/08/2025,104,39800,106.80,107.90,100.10,0,0,0
2025-11-13,19/08/2025,104,118600,107,108,102,0,0,0
2025-11-13,18/08/2025,102.20,42700,104.30,106,102,0,0,0
2025-11-13,15/08/2025,104,122500,103.90,105,100.50,0,900,-0.1
2025-11-13,14/08/2025,103.90,76500,109.40,109.40,102,0,1300,-0.1
2025-11-13,13/08/2025,109.40,85700,108.30,114.90,108,0,600,-0.1
2025-11-13,12/08/2025,108.30,244400,99,108.30,95,900,0,0.1
2025-11-13,11/08/2025,98.50,105100,97.90,100,97,1300,400,0.1
2025-11-13,08/08/2025,96.90,95100,95,98,92,0,0,0
2025-11-13,07/08/2025,94.40,67400,94.90,95,92,100,500,-0.0
2025-11-13,06/08/2025,94.90,65700,93.60,95.70,90.70,1000,0,0.1
2025-11-13,05/08/2025,95,150200,92.30,99,88.40,0,0,0
2025-11-13,04/08/2025,91,87200,89.80,91.60,88,0,400,-0.0
2025-11-13,01/08/2025,89.80,50100,90,92.40,87,2100,0,0.2
2025-11-13,31/07/2025,87,74500,89.80,91,86.20,0,2100,-0.2
2025-11-13,30/07/2025,89,60800,90,92.30,86.50,400,1400,-0.1
2025-11-13,29/07/2025,86.50,95300,85.90,92.50,85.90,0,0,0
2025-11-13,28/07/2025,84.50,280200,78.50,84.50,78.50,2100,2500,-0.0
2025-11-13,25/07/2025,76.90,26000,77.70,77.70,74.90,0,0,0
2025-11-13,24/07/2025,76.50,19400,76.50,77.90,75,0,0,0
2025-11-13,23/07/2025,76,68900,74.80,78,74.70,2400,100,0.2
