date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,12.55,104700,11.90,12.55,11.90,3100,0,0.0
2025-11-13,11/11/2025,11.85,98000,11.70,12.05,11.40,1800,0,0.0
2025-11-13,10/11/2025,11.70,195800,11.20,11.85,11.10,2000,200,0.0
2025-11-13,07/11/2025,11.70,134500,12.10,12.45,11.70,0,26100,-0.3
2025-11-13,06/11/2025,12.20,117900,12.70,12.70,12.20,0,2000,-0.0
2025-11-13,05/11/2025,12.60,263400,12.50,13.20,12.35,100,5300,-0.1
2025-11-13,04/11/2025,12.90,545900,12.65,13,11.80,26200,3700,0.3
2025-11-13,03/11/2025,12.65,867800,13.40,13.55,12.65,0,11500,-0.1
2025-11-13,31/10/2025,13.60,842800,14.80,14.80,13.60,7300,21800,-0.2
2025-11-13,30/10/2025,13.85,148700,14,14,13.70,3700,2600,0.0
2025-11-13,29/10/2025,14,126600,13.80,14.20,13.80,10400,0,0.1
2025-11-13,28/10/2025,13.80,219200,13,13.90,13,22300,300,0.3
2025-11-13,27/10/2025,13.20,132900,13.40,13.60,13.20,2300,23600,-0.3
2025-11-13,24/10/2025,13.30,51700,13.40,13.50,12.95,0,25000,-0.3
2025-11-13,23/10/2025,13.50,144900,12.85,13.70,12.55,0,11500,-0.2
2025-11-13,22/10/2025,12.85,149100,13,13,12.40,2800,2900,-0.0
2025-11-13,21/10/2025,12.90,329300,13.10,13.35,12.30,19200,4900,0.2
2025-11-13,20/10/2025,13.10,445200,13.80,14.10,13.10,10200,12100,-0.0
2025-11-13,17/10/2025,14.05,362100,14.30,14.50,13.90,8500,6200,0.0
2025-11-13,16/10/2025,14.40,305700,14.50,14.85,14.30,0,9600,-0.1
2025-11-13,15/10/2025,14.40,365300,14.25,15,13.80,5600,53800,-0.7
2025-11-13,14/10/2025,14.15,654500,14.30,15.30,14.15,17600,86300,-1.0
