date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,34.50,497800,34.60,34.75,34.35,0,25900,-0.9,
2025-11-13,11/11/2025,34.60,555800,34.65,34.80,34.35,0,33800,-1.2,
2025-11-13,10/11/2025,34.60,516400,34.60,34.65,34.40,3800,48500,-1.5,
2025-11-13,07/11/2025,34.60,559100,34.65,34.85,34.50,0,76000,-2.6,
2025-11-13,06/11/2025,34.70,510400,34.75,34.85,34.45,17700,60600,-1.5,
2025-11-13,05/11/2025,34.75,528000,34.60,34.90,34.45,31400,50800,-0.7,
2025-11-13,04/11/2025,34.65,637000,34.80,35,34,5300,138400,-4.6,
2025-11-13,03/11/2025,34.85,565700,34.90,35.10,34.75,25600,53200,-1.0,
2025-11-13,31/10/2025,34.95,610200,34.80,35.10,34.65,29100,36900,-0.3,
2025-11-13,30/10/2025,34.85,529600,34.80,35.05,34.45,55700,3500,1.8,
2025-11-13,29/10/2025,34.70,633200,34.55,34.85,34.30,93000,21200,2.5,
2025-11-13,28/10/2025,34.50,620100,34.65,34.95,34.35,50500,73900,-0.8,
2025-11-13,27/10/2025,34.60,690200,34.25,34.80,34.10,141800,1600,4.8,
2025-11-13,24/10/2025,34.20,545300,34.25,34.45,34.05,53600,43700,0.3,
2025-11-13,23/10/2025,34.20,661300,33.95,34.20,33.70,336600,5100,11.2,
2025-11-13,22/10/2025,33.85,521700,33.60,34.10,33.50,174100,4600,5.7,
2025-11-13,21/10/2025,33.65,658100,33.30,33.80,33.05,324300,0,10.8,
2025-11-13,20/10/2025,33.30,650700,33.70,33.90,33.30,77100,22800,1.8,
2025-11-13,17/10/2025,33.70,757200,34.05,34.20,33.70,0,157800,-5.4,
2025-11-13,16/10/2025,34,534100,34.30,34.45,34,3300,51400,-1.6,
