date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,8,560100,8,8.20,7.80,0,0,0,
2025-11-13,11/11/2025,8,551000,8,8.20,7.60,0,20000,-0.2,
2025-11-13,10/11/2025,8,1635600,8.60,8.80,8,0,500,-0.0,
2025-11-13,07/11/2025,8.80,437700,9.30,9.50,8.70,0,5000,-0.0,
2025-11-13,06/11/2025,9.20,3753300,7.70,9.30,7.70,0,33600,-0.3,
2025-11-13,05/11/2025,8.50,1194100,8.50,8.50,8.50,0,0,0,
2025-11-13,04/11/2025,9.40,613200,9.70,9.70,9.40,0,0,0,
2025-11-13,03/11/2025,10.40,1593600,11.50,11.50,10.40,0,16100,-0.2,
2025-11-13,31/10/2025,11.50,703200,11.30,11.50,11.20,0,42700,-0.5,
2025-11-13,30/10/2025,11.50,417900,11.80,11.80,11.40,0,13200,-0.2,
2025-11-13,29/10/2025,12.10,377900,12.20,12.20,11.50,12300,37500,-0.3,
2025-11-13,28/10/2025,12.20,1408600,11.70,12.20,10.60,169700,16900,1.8,
2025-11-13,27/10/2025,11.70,950000,13,13.10,11.70,39300,0,0.5,
2025-11-13,24/10/2025,13,734600,12.90,13.30,12.50,46800,43300,0.0,
2025-11-13,23/10/2025,13.10,894300,12.50,13.10,12.30,24900,2000,0.3,
2025-11-13,22/10/2025,12.50,539000,12.50,12.60,12.20,200,0,0.0,
2025-11-13,21/10/2025,12.40,885400,12.60,12.90,12.30,45100,12500,0.4,
2025-11-13,20/10/2025,12.60,715700,12.40,12.70,12.20,0,32600,-0.4,
2025-11-13,17/10/2025,12.40,297400,12.70,12.80,12.40,2100,8000,-0.1,
2025-11-13,16/10/2025,12.70,346400,12.90,13,12.70,0,4900,-0.1,
2025-11-13,15/10/2025,12.90,947100,12.90,12.90,12.50,2400,41600,-0.5,
2025-11-13,14/10/2025,12.70,585000,13.10,13.10,12.70,14400,0,0.2,
2025-11-13,13/10/2025,13,761800,13,13.30,12.60,13400,27200,-0.2,
2025-11-13,10/10/2025,13,1422700,13,13.10,12.40,47900,30100,0.2,
2025-11-13,09/10/2025,13,255500,13,13,12.70,0,0,0,
2025-11-13,08/10/2025,13,673300,13.20,13.50,12.70,6100,23300,-0.2,
2025-11-13,07/10/2025,13.20,419500,13.20,13.20,12.80,0,24900,-0.3,
2025-11-13,06/10/2025,13.20,184200,13.30,13.40,13,0,24600,-0.3,
2025-11-13,03/10/2025,13.40,763500,12.90,13.70,12.70,27500,16900,0.1,
2025-11-13,02/10/2025,12.90,155300,13.10,13.10,12.90,0,7900,-0.1,
2025-11-13,01/10/2025,13.20,691300,12.70,13.20,12.70,82600,15000,0.9,
2025-11-13,30/09/2025,12.70,510300,12.80,12.90,12.40,2000,71600,-0.9,
2025-11-13,29/09/2025,12.90,273600,12.90,12.90,12.70,0,300,-0.0,
2025-11-13,26/09/2025,12.90,507000,12.80,12.90,12.70,3300,21000,-0.2,
2025-11-13,25/09/2025,12.90,307200,12.90,12.90,12.70,500,1500,-0.0,
2025-11-13,24/09/2025,12.90,468200,12.90,13,12.80,0,100,-0.0,
2025-11-13,23/09/2025,13,262900,13,13,12.90,0,11200,-0.1,
2025-11-13,22/09/2025,13,415600,13.10,13.10,12.80,0,24000,-0.3,
2025-11-13,19/09/2025,13.20,534900,12.90,13.20,12.70,0,12500,-0.2,
2025-11-13,18/09/2025,12.90,267200,12.80,12.90,12.60,0,27400,-0.3,
2025-11-13,17/09/2025,12.90,615000,13,13.10,12.80,100,13900,-0.2,
2025-11-13,16/09/2025,13.10,945500,13.20,13.20,12.90,1000,48700,-0.6,
2025-11-13,15/09/2025,13.20,712100,13.40,13.40,12.90,2800,16600,-0.2,
2025-11-13,12/09/2025,13.40,633600,13.20,13.40,13,0,7000,-0.1,
2025-11-13,11/09/2025,13.30,727800,13.50,13.60,13,3700,22400,-0.3,
2025-11-13,10/09/2025,13.50,848100,13.10,13.50,12.90,148400,15600,1.7,
2025-11-13,09/09/2025,13.10,275600,13,13.10,12.80,0,24700,-0.3,
2025-11-13,08/09/2025,13.20,351800,13.50,13.50,12.90,400,32300,-0.4,
2025-11-13,05/09/2025,13.50,442600,13.60,13.60,13.20,2000,29600,-0.4,
2025-11-13,04/09/2025,13.60,477000,13.60,13.90,13.30,12300,44800,-0.4,
2025-11-13,03/09/2025,13.80,261300,13.40,13.80,13.30,0,46800,-0.6,
2025-11-13,29/08/2025,13.40,917600,13.90,14.10,13.30,33600,78700,-0.6,
2025-11-13,28/08/2025,13.90,553900,14.20,14.20,13.60,5000,28100,0,
2025-11-13,27/08/2025,14.20,681000,14.50,14.50,13.80,4000,37800,-0.5,
2025-11-13,26/08/2025,14.50,1147300,13.40,14.50,13.20,83800,11400,1.0,
2025-11-13,25/08/2025,13.40,948100,14.60,15.10,13.40,99600,97600,-0.0,
2025-11-13,22/08/2025,14.60,866200,16,16.20,14.60,41900,56000,-0.3,
2025-11-13,21/08/2025,16.10,653100,16.50,16.50,16,600,59400,-1.0,
2025-11-13,20/08/2025,16.50,1545400,16.90,16.90,16.10,114900,108200,0.1,
2025-11-13,19/08/2025,16.90,1596300,15.40,16.90,15.10,135000,58700,1.1,
2025-11-13,18/08/2025,15.40,1964800,14.90,15.40,14.80,185200,125800,0.9,
2025-11-13,15/08/2025,14.80,1229300,14.60,14.90,14.50,110800,70500,0.6,
2025-11-13,14/08/2025,14.60,879500,15,15,14.60,45200,8900,0.5,
2025-11-13,13/08/2025,15,912200,15.20,15.30,14.60,3400,120600,-1.8,
2025-11-13,12/08/2025,15.10,979300,14.70,15.10,14.50,42300,68100,-0.4,
2025-11-13,11/08/2025,15,676700,15.20,15.20,14.50,17200,14700,0.0,
2025-11-13,08/08/2025,15.20,1012000,15.30,15.30,14.70,700,54000,-0.8,
2025-11-13,07/08/2025,15.30,1408300,14.90,15.30,14.60,23500,41500,-0.3,
2025-11-13,06/08/2025,14.90,1484900,14.10,15,13.90,100000,45200,0.8,
2025-11-13,05/08/2025,14.10,1414900,14.20,14.30,13.90,25200,68400,-0.6,
2025-11-13,04/08/2025,14.20,660800,14.30,14.30,13.80,33500,62900,-0.4,
2025-11-13,01/08/2025,14.30,1146700,14.50,14.60,14.20,27400,21200,0.1,
2025-11-13,31/07/2025,14.50,2096900,13.60,14.60,13.40,155200,45500,1.5,
2025-11-13,30/07/2025,13.60,1477600,12.70,13.60,12.60,71100,83800,-0.2,
2025-11-13,29/07/2025,12.70,436300,13.10,13.10,12.70,17400,25800,-0.1,
2025-11-13,28/07/2025,13.10,400900,13.10,13.20,12.90,49500,0,0.6,
2025-11-13,25/07/2025,13.10,304900,13.20,13.20,12.90,11900,0,0.2,
2025-11-13,24/07/2025,13.20,309000,13.20,13.20,12.90,0,4000,-0.1,
2025-11-13,23/07/2025,13.20,424300,12.90,13.20,12.80,16800,27400,-0.1,
2025-11-13,22/07/2025,12.80,341600,13,13,12.80,5000,13200,-0.1,
2025-11-13,21/07/2025,13,513200,13.10,13.30,13,23900,9000,0.2,
2025-11-13,18/07/2025,13.10,260900,13.20,13.40,13.20,8000,16500,-0.1,
2025-11-13,17/07/2025,13.50,1073400,13.30,13.30,13,21800,15600,0.1,
2025-11-13,16/07/2025,13.50,779100,13.40,13.40,13.10,53200,2700,0.7,
2025-11-13,15/07/2025,13.50,715800,13.10,13.50,13,41600,1000,0.5,
2025-11-13,14/07/2025,13.20,419100,13.20,13.20,13,700,1400,-0.0,
2025-11-13,11/07/2025,13.30,452500,13.60,13.60,13.10,7700,0,0.1,
2025-11-13,10/07/2025,13.60,355000,13.60,13.70,13.40,0,0,0,
2025-11-13,09/07/2025,13.70,573700,13.10,13.60,13,0,6100,-0.1,
2025-11-13,08/07/2025,13.30,458500,13.30,13.30,12.90,0,29900,-0.4,
2025-11-13,07/07/2025,13.30,296500,13.30,13.30,13,700,34100,-0.4,
2025-11-13,04/07/2025,13.30,574000,13.30,13.30,13,2400,17900,-0.2,
2025-11-13,03/07/2025,13.50,687700,13.40,13.40,13.10,13500,7600,0.1,
2025-11-13,02/07/2025,13.50,287000,13.20,13.30,13.10,0,8700,-0.1,
2025-11-13,01/07/2025,13.30,396900,13.30,13.40,13.10,0,14100,-0.2,
2025-11-13,30/06/2025,13.40,705400,13.50,13.70,13.20,0,32400,-0.4,
2025-11-13,27/06/2025,13.50,822100,13.50,13.60,13.30,58800,5500,0.7,
2025-11-13,26/06/2025,13.40,409800,13.90,13.90,13.30,0,49700,-0.7,
2025-11-13,"25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)","25/06/2025: ThÆ°á»ng cá» phiáº¿u / Chia tÃ¡ch cá» phiáº¿u: 100/8 (Volume + 8%, Ratio=0.08)"
2025-11-13,25/06/2025,13.90,773700,13.30,13.30,12.80,10600,13100,-0.0,
2025-11-13,24/06/2025,13.15,971200,13.43,13.43,13.06,2500,23800,-0.3,
