date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,12,24100,12,12,11.70,0,23500,-0.3
2025-11-13,11/11/2025,12,400,12,12,12,0,300,-0.0
2025-11-13,10/11/2025,12,1000,12,12,12,0,0,0
2025-11-13,07/11/2025,12,6000,12,12,12,0,0,0
2025-11-13,06/11/2025,12,3200,12,12,12,0,0,0
2025-11-13,05/11/2025,12,500,12,12,12,0,0,0
2025-11-13,04/11/2025,12,0,12,12,12,0,0,0
2025-11-13,03/11/2025,12,7000,12,12,11.90,0,0,0
2025-11-13,31/10/2025,12,700,12,12,12,0,0,0
2025-11-13,30/10/2025,12,1700,12,12,11.90,0,0,0
2025-11-13,29/10/2025,12.30,100,12.30,12.30,12.30,0,0,0
2025-11-13,28/10/2025,12.10,1000,12.10,12.10,12.10,0,0,0
2025-11-13,27/10/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,24/10/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,23/10/2025,12.70,0,12.70,12.70,12.70,0,0,0
2025-11-13,22/10/2025,12.50,3300,12.20,13,12.20,0,0,0
2025-11-13,21/10/2025,12.10,900,12,12.10,12,0,0,0
2025-11-13,20/10/2025,12,35900,12,12,12,0,0,0
2025-11-13,17/10/2025,12,7900,12.20,12.20,12,0,0,0
2025-11-13,16/10/2025,12.20,0,12.20,12.20,12.20,0,0,0
2025-11-13,15/10/2025,12.20,600,12.20,12.20,12.20,0,0,0
2025-11-13,14/10/2025,12.10,1000,12.10,12.10,12.10,0,0,0
2025-11-13,13/10/2025,12.40,1100,12,12.40,12,0,0,0
2025-11-13,10/10/2025,12,5200,12.30,12.30,12,0,0,0
2025-11-13,09/10/2025,12.40,4000,12.40,12.40,12.40,0,0,0
2025-11-13,08/10/2025,12,14800,12,12,12,0,0,0
2025-11-13,07/10/2025,12,2500,12,12,12,0,0,0
2025-11-13,06/10/2025,11.90,6500,12,12,11.90,0,0,0
2025-11-13,03/10/2025,12,10000,12,12,12,0,0,0
2025-11-13,02/10/2025,12,52000,12,12,11.90,0,0,0
2025-11-13,01/10/2025,12,32000,12,12,12,0,0,0
