date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,59.50,500,59.50,59.50,59.50,0,0,0
2025-11-13,11/11/2025,59.10,3500,59,59.20,59,0,0,0
2025-11-13,10/11/2025,59,5300,59,59.10,59,0,0,0
2025-11-13,07/11/2025,59,28100,59.50,60,57,0,0,0
2025-11-13,06/11/2025,56.30,1000,56.30,56.30,56.30,0,0,0
2025-11-13,05/11/2025,56.10,0,56.10,56.10,56.10,0,0,0
2025-11-13,04/11/2025,56.10,3700,57.20,57.20,56.10,0,0,0
2025-11-13,03/11/2025,57.20,20600,59.50,59.50,57.10,0,0,0
2025-11-13,31/10/2025,57.40,600,57.40,57.40,57,0,0,0
2025-11-13,30/10/2025,57,3600,57.10,57.40,57,800,0,0.0
2025-11-13,29/10/2025,57.40,1200,57.40,57.40,57.40,0,0,0
2025-11-13,28/10/2025,57.40,900,57.40,57.40,57.40,100,0,0.0
2025-11-13,27/10/2025,57.40,11700,52.80,57.40,52.80,0,0,0
2025-11-13,24/10/2025,57.40,0,57.40,57.40,57.40,0,0,0
2025-11-13,23/10/2025,57.40,1200,57.60,57.60,57.40,0,0,0
2025-11-13,22/10/2025,57.90,300,57.90,57.90,57.90,0,0,0
2025-11-13,21/10/2025,58,19500,56.20,58,56.20,0,0,0
2025-11-13,20/10/2025,60.20,12900,58,60.50,58,300,0,0.0
2025-11-13,17/10/2025,59.70,14100,59,59.70,59,0,0,0
2025-11-13,16/10/2025,54.30,1500,57.70,57.80,54.30,0,0,0
2025-11-13,15/10/2025,54.40,1700,55,59.10,54.40,0,0,0
2025-11-13,14/10/2025,53.80,1500,53.80,53.80,53.80,0,0,0
2025-11-13,13/10/2025,58.90,67700,58,58.90,53.60,500,1000,-0.0
2025-11-13,10/10/2025,53.60,100,53.60,53.60,53.60,0,0,0
2025-11-13,09/10/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,08/10/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,07/10/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,06/10/2025,57.60,6100,53,57.60,53,0,0,0
2025-11-13,03/10/2025,57.60,1200,53.20,59,53.20,0,0,0
2025-11-13,02/10/2025,57.80,0,57.80,57.80,57.80,0,0,0
2025-11-13,01/10/2025,57.80,0,57.80,57.80,57.80,0,0,0
2025-11-13,30/09/2025,57.80,28000,58,58,57.80,0,0,0
2025-11-13,29/09/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,26/09/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,25/09/2025,57.60,0,57.60,57.60,57.60,0,0,0
2025-11-13,24/09/2025,57.60,5700,58,60,57.60,0,1000,-0.1
2025-11-13,23/09/2025,57.90,0,57.90,57.90,57.90,0,0,0
2025-11-13,22/09/2025,57.90,0,57.90,57.90,57.90,0,0,0
2025-11-13,19/09/2025,57.90,4800,57.50,60,57.50,0,0,0
2025-11-13,18/09/2025,57.20,100,57.20,57.20,57.20,0,0,0
2025-11-13,17/09/2025,59.50,600,57.60,59.50,57.60,0,0,0
2025-11-13,16/09/2025,57.50,1600,59.90,60,57.50,0,0,0
2025-11-13,15/09/2025,60.20,3200,60,61,60,200,0,0.0
2025-11-13,12/09/2025,60,5000,59,60,59,0,0,0
2025-11-13,11/09/2025,57.20,1200,57.50,57.50,57.20,0,0,0
2025-11-13,10/09/2025,57.50,2900,57.50,57.70,57.50,600,0,0.0
2025-11-13,09/09/2025,59.90,5200,57,60,57,0,0,0
2025-11-13,08/09/2025,57,1200,59.10,59.20,56.70,0,0,0
2025-11-13,05/09/2025,59.20,5700,59.10,59.20,59,0,0,0
2025-11-13,04/09/2025,59.50,1400,57.50,59.50,57.50,100,0,0.0
2025-11-13,03/09/2025,57.50,13900,56.70,57.50,56.50,300,0,0.0
2025-11-13,29/08/2025,56.70,0,56.70,56.70,56.70,0,0,0
2025-11-13,28/08/2025,56.70,2400,56.50,56.70,56.50,0,0,0
2025-11-13,27/08/2025,56.20,8800,58.30,58.40,56.20,0,0,0
2025-11-13,26/08/2025,53.10,0,53.10,53.10,53.10,0,0,0
2025-11-13,25/08/2025,53.10,10000,53.10,53.10,53.10,0,0,0
2025-11-13,22/08/2025,52.80,10000,57.20,57.20,52.80,0,0,0
2025-11-13,21/08/2025,52,5000,52,52,52,0,0,0
2025-11-13,20/08/2025,55.10,2600,55.70,55.70,54.90,0,0,0
2025-11-13,19/08/2025,55.20,4300,56,56,55.20,0,0,0
2025-11-13,18/08/2025,55.20,8500,56,56.60,55.20,0,0,0
2025-11-13,15/08/2025,55.70,11400,55.40,60.90,55,300,0,0.0
2025-11-13,14/08/2025,55.40,18500,55.50,55.60,55.40,0,0,0
2025-11-13,13/08/2025,55.40,233600,55,60,55,100,0,0.0
2025-11-13,12/08/2025,59.70,1700,59.60,59.70,59.60,0,0,0
2025-11-13,11/08/2025,59.70,7600,58.50,59.90,58.50,0,0,0
