date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,20.35,239100,20,20.50,19.90,17900,11100,0.1
2025-11-13,11/11/2025,20,123700,20.10,20.10,19.60,4800,10500,-0.1
2025-11-13,10/11/2025,19.85,122700,20,20.50,19.75,2000,32100,-0.6
2025-11-13,07/11/2025,20.05,185400,20.65,20.90,20,8900,38700,-0.6
2025-11-13,06/11/2025,20.65,124100,20.45,20.85,20.40,6500,900,0.1
2025-11-13,05/11/2025,20.60,162900,21,21,20.45,1800,8300,-0.1
2025-11-13,04/11/2025,21.10,494100,20,21.20,19.35,72600,39400,0.7
2025-11-13,03/11/2025,20.10,290900,21.10,21.10,20.10,900,41800,-0.8
2025-11-13,31/10/2025,20.80,251800,21.05,21.10,20.80,9200,20300,-0.2
2025-11-13,30/10/2025,21.05,215400,21,21.35,20.85,9000,24300,-0.3
2025-11-13,29/10/2025,21,203400,21.20,21.20,20.80,18800,16400,0.0
2025-11-13,28/10/2025,20.75,298700,20.40,20.75,20.20,23700,53400,-0.6
2025-11-13,27/10/2025,20.50,278800,20.85,21,20.50,1700,38700,-0.8
2025-11-13,24/10/2025,20.70,305000,20.80,20.95,20.50,26900,65200,-0.8
2025-11-13,23/10/2025,20.85,240400,21.40,21.40,20.85,17600,54500,-0.8
2025-11-13,22/10/2025,21.35,782300,21.35,21.35,20.30,34200,150000,-2.4
2025-11-13,21/10/2025,20.85,811800,21.75,21.80,20.50,49100,74000,-0.6
2025-11-13,20/10/2025,21.65,1290500,23.30,23.85,21.65,135600,24400,2.5
2025-11-13,17/10/2025,23.25,1573200,23.25,23.50,23,179300,45600,3.1
2025-11-13,16/10/2025,22.60,829800,21.75,22.80,21.75,70700,90700,-0.4
2025-11-13,15/10/2025,21.75,405400,21.75,21.95,21.50,500,14500,-0.3
2025-11-13,14/10/2025,21.75,769500,22.75,22.75,21.75,1400,40600,-0.9
2025-11-13,13/10/2025,22.55,917300,21.50,22.75,21.50,139900,16400,2.7
2025-11-13,10/10/2025,21.95,389400,21.75,22.70,21.75,0,100,-0.0
2025-11-13,09/10/2025,21.70,365200,21.70,21.95,21.40,0,0,0
2025-11-13,08/10/2025,21.60,365100,22.10,22.10,21.25,16400,43300,-0.6
2025-11-13,07/10/2025,21.65,304400,22.40,22.40,21.65,0,500,-0.0
2025-11-13,06/10/2025,22.20,317400,21.35,22.25,21.35,10400,0,0.2
2025-11-13,03/10/2025,21.25,508600,21.55,21.65,21.05,43600,51600,-0.2
2025-11-13,02/10/2025,21.80,531300,22.40,22.50,21.65,500,49800,-1.1
2025-11-13,01/10/2025,22.30,236900,22.15,22.55,22.10,0,37700,-0.8
2025-11-13,30/09/2025,22.35,934300,22.95,23.20,21.85,49300,97700,-1.1
2025-11-13,29/09/2025,23,747600,24,24,23,51800,76300,-0.6
2025-11-13,26/09/2025,23.90,621600,23.90,24.50,23.80,38900,0,0.9
2025-11-13,25/09/2025,24.20,1278000,23.80,24.50,23.60,91700,70800,0.5
2025-11-13,24/09/2025,23.45,537800,23.10,23.60,22.70,82300,10200,1.7
2025-11-13,23/09/2025,22.85,163200,23.10,23.25,22.85,0,33600,-0.8
2025-11-13,22/09/2025,23.05,724800,23.40,23.70,23,70800,24800,1.1
2025-11-13,19/09/2025,23.30,397700,22.90,23.35,22.90,9600,30200,-0.5
2025-11-13,18/09/2025,22.85,398700,22.60,22.95,22.40,34700,37400,-0.1
2025-11-13,17/09/2025,22.55,550200,23,23.10,22.55,12700,28500,-0.4
2025-11-13,16/09/2025,23,567200,23.80,23.80,23,15800,107600,-2.1
2025-11-13,15/09/2025,23.35,438400,23.20,23.65,23.10,36200,18100,0.4
2025-11-13,12/09/2025,23.20,500100,23.20,23.50,23.10,46900,25000,0.5
2025-11-13,11/09/2025,22.95,801500,22.40,22.95,21.80,101000,156600,-1.2
2025-11-13,10/09/2025,22.35,679400,23.15,23.15,22.35,21300,88800,-1.5
2025-11-13,09/09/2025,22.90,755200,22.60,22.90,22.45,7700,48100,-0.9
2025-11-13,08/09/2025,22.55,1647600,23.60,23.95,22.55,175200,65800,2.5
2025-11-13,05/09/2025,24,1204100,25.05,25.30,23.50,82500,39900,1.1
2025-11-13,04/09/2025,24.80,1369100,25.50,25.75,24.75,62400,60600,0.1
2025-11-13,03/09/2025,24.80,826500,24,24.85,23.90,59300,35600,0.6
2025-11-13,29/08/2025,23.80,826100,23.80,24.30,23.70,4900,30100,-0.6
2025-11-13,28/08/2025,23.50,502500,23.30,23.65,23.25,28900,74900,0
2025-11-13,27/08/2025,23,1201500,24,24.80,23,0,132100,-3.2
2025-11-13,26/08/2025,24,708200,22.70,24.10,22.70,51100,35200,0.4
2025-11-13,25/08/2025,23,1054800,24,24,22.85,92900,115100,-0.5
2025-11-13,22/08/2025,23.45,2375500,24.80,25,23.45,142400,64200,1.8
2025-11-13,21/08/2025,25.20,1485700,25.85,26.20,25.15,14400,179100,-4.2
2025-11-13,20/08/2025,25.80,2093500,27.40,27.75,25.75,66700,18400,1.2
2025-11-13,19/08/2025,27.65,2143300,28,28.90,27.25,133400,40000,2.7
2025-11-13,18/08/2025,27.05,2496100,25.70,27.05,24.75,179100,79400,2.6
2025-11-13,15/08/2025,25.30,1639700,26.80,27,25.05,18100,97100,-2.1
2025-11-13,14/08/2025,26.55,1424900,27,27,26,37800,172500,-3.6
