date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,11.40,30400,11.30,11.40,11.30,0,0,0
2025-11-13,11/11/2025,11.30,31300,11.25,11.45,11.20,0,500,-0.0
2025-11-13,10/11/2025,11.20,95300,11.45,11.50,11.20,0,5300,-0.1
2025-11-13,07/11/2025,11.50,66400,11.65,11.65,11.45,0,0,0
2025-11-13,06/11/2025,11.60,36400,11.55,11.65,11.55,0,0,0
2025-11-13,05/11/2025,11.55,64500,11.70,11.70,11.50,0,0,0
2025-11-13,04/11/2025,11.70,127600,11.55,11.70,11.40,6200,0,0.1
2025-11-13,03/11/2025,11.60,91100,11.70,11.70,11.55,0,0,0
2025-11-13,31/10/2025,11.70,98200,11.75,11.80,11.55,7900,0,0.1
2025-11-13,30/10/2025,11.75,55400,11.90,11.90,11.60,1000,0,0.0
2025-11-13,29/10/2025,11.75,143900,11.50,11.75,11.50,0,0,0
2025-11-13,28/10/2025,11.35,44000,11.25,11.40,11.20,0,0,0
2025-11-13,27/10/2025,11.30,63500,11.45,11.45,11.25,0,0,0
2025-11-13,24/10/2025,11.20,41300,11.20,11.30,11.20,0,0,0
2025-11-13,23/10/2025,11.25,82100,11.20,11.50,11.20,0,1400,-0.0
2025-11-13,22/10/2025,11.20,127600,11.40,11.40,11.05,0,2200,-0.0
2025-11-13,21/10/2025,11.25,122900,11.40,11.40,11.10,0,2200,-0.0
2025-11-13,20/10/2025,11.15,206800,11.60,11.70,11.15,0,11800,-0.1
2025-11-13,17/10/2025,11.45,133000,11.50,11.75,11.35,0,1200,-0.0
2025-11-13,16/10/2025,11.50,111400,11.40,11.55,11.35,800,1900,-0.0
2025-11-13,15/10/2025,11.40,233600,11.85,11.85,11.15,900,5700,-0.1
2025-11-13,14/10/2025,11.75,157000,11.90,12.05,11.70,100,2000,-0.0
2025-11-13,13/10/2025,11.90,116100,11.80,12,11.80,12300,0,0.1
2025-11-13,10/10/2025,11.95,77300,11.80,12,11.80,5300,500,0.1
2025-11-13,09/10/2025,11.95,42700,11.85,11.95,11.80,0,0,0
2025-11-13,08/10/2025,11.85,72300,11.90,11.90,11.75,0,2100,-0.0
2025-11-13,07/10/2025,11.85,99700,12.15,12.15,11.80,1300,0,0.0
2025-11-13,06/10/2025,12.10,130600,11.90,12.15,11.75,5000,2200,0.0
2025-11-13,03/10/2025,11.85,67900,11.90,11.95,11.80,0,8100,-0.1
2025-11-13,02/10/2025,11.90,79200,12.05,12.10,11.90,0,8800,-0.1
2025-11-13,01/10/2025,12,100000,12.25,12.25,11.95,2300,4000,-0.0
2025-11-13,30/09/2025,12.25,171700,12.40,12.40,11.85,5300,16200,-0.1
2025-11-13,29/09/2025,12.40,122400,12.75,12.75,12.25,0,2800,-0.0
2025-11-13,26/09/2025,12.50,359900,12.20,12.75,12.20,9800,11000,-0.0
2025-11-13,25/09/2025,12.20,180800,12.05,12.35,11.95,11000,0,0.1
2025-11-13,24/09/2025,12,87000,12.10,12.10,11.90,0,5700,-0.1
2025-11-13,23/09/2025,12,46100,12,12,11.85,8800,700,0.1
2025-11-13,22/09/2025,12,110600,12.25,12.25,11.85,0,31300,-0.4
2025-11-13,19/09/2025,12.20,122600,12.20,12.25,12.10,900,400,0.0
2025-11-13,18/09/2025,12.20,47400,12.20,12.20,12.10,300,2600,-0.0
2025-11-13,17/09/2025,12.20,116600,12.20,12.40,12.10,1000,0,0.0
2025-11-13,16/09/2025,12.20,157000,12.30,12.30,12.10,30800,200,0.4
2025-11-13,15/09/2025,12.25,68000,12.15,12.30,12.10,6400,0,0.1
2025-11-13,12/09/2025,12.10,109500,12,12.25,11.95,5600,3900,0.0
2025-11-13,11/09/2025,12,90400,12.15,12.15,11.75,300,4800,-0.1
2025-11-13,10/09/2025,12.15,44100,12.25,12.25,11.90,0,8700,-0.1
