date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,21,100,21,21,21,0,0,0,
2025-11-13,11/11/2025,20,4200,21.20,21.20,19.50,0,0,0,
2025-11-13,10/11/2025,21.90,1100,19.50,21.90,19.50,0,0,0,
2025-11-13,07/11/2025,19.50,3900,19.60,20,19.50,0,0,0,
2025-11-13,06/11/2025,22.50,100,22.50,22.50,22.50,0,0,0,
2025-11-13,05/11/2025,21.20,0,21.20,21.20,21.20,0,0,0,
2025-11-13,04/11/2025,21.30,2300,21,21.30,21,0,0,0,
2025-11-13,03/11/2025,19.50,6200,20,21,19.50,0,0,0,
2025-11-13,31/10/2025,21.60,300,20.50,21.60,20.50,0,0,0,
2025-11-13,30/10/2025,23.70,1300,23.70,23.70,23.70,0,0,0,
2025-11-13,29/10/2025,23.70,1800,22.60,24.20,22.60,0,0,0,
2025-11-13,28/10/2025,22.50,3100,23.30,23.30,22.50,0,0,0,
2025-11-13,27/10/2025,23.10,4700,26.90,26.90,21.70,0,0,0,
2025-11-13,24/10/2025,25.90,2500,27.50,27.50,24.80,0,0,0,
2025-11-13,23/10/2025,25.10,4400,28,28,24.80,0,0,0,
2025-11-13,22/10/2025,27.80,1500,26.40,27.80,26.40,0,0,0,
2025-11-13,21/10/2025,26,1700,27.60,28.70,26,0,0,0,
2025-11-13,20/10/2025,28.80,100,28.80,28.80,28.80,0,0,0,
2025-11-13,17/10/2025,28.90,4100,28,29.30,26.40,0,0,0,
2025-11-13,16/10/2025,28,1800,29.80,29.80,28,0,0,0,
2025-11-13,15/10/2025,29.40,1500,29.40,29.60,29.40,0,0,0,
2025-11-13,14/10/2025,29.60,1500,30,30,28,0,0,0,
2025-11-13,13/10/2025,29.80,3100,28,29.80,28,0,0,0,
2025-11-13,10/10/2025,29.60,200,31,31,29.60,0,0,0,
2025-11-13,09/10/2025,28,8900,29.70,29.80,28,0,0,0,
2025-11-13,08/10/2025,28.70,600,30.10,31.60,28.70,0,0,0,
2025-11-13,07/10/2025,29,1400,32.80,32.80,28.50,0,0,0,
2025-11-13,06/10/2025,30.90,2300,30.40,31,30.40,0,0,0,
2025-11-13,03/10/2025,30.50,100,30.50,30.50,30.50,0,0,0,
2025-11-13,02/10/2025,29.90,1200,29.80,29.90,29.80,0,0,0,
2025-11-13,01/10/2025,30,500,29.70,30,29.70,0,0,0,
2025-11-13,30/09/2025,30.20,3400,29.80,30.20,29.50,0,0,0,
2025-11-13,29/09/2025,29.50,300,31.70,31.70,29.50,0,0,0,
2025-11-13,26/09/2025,28,900,30,30,28,0,0,0,
2025-11-13,25/09/2025,30.70,2100,28.70,30.70,28.60,0,0,0,
2025-11-13,24/09/2025,31.90,2600,30.30,31.90,27.70,0,0,0,
2025-11-13,23/09/2025,32.50,600,29.50,32.50,29.50,0,0,0,
2025-11-13,22/09/2025,31.20,600,31.20,32.90,31.20,0,0,0,
2025-11-13,19/09/2025,33,100,33,33,33,0,0,0,
2025-11-13,18/09/2025,32,1000,33,33.90,32,0,0,0,
2025-11-13,17/09/2025,33,1600,32,33,32,0,0,0,
2025-11-13,16/09/2025,32,12700,31.50,32,31.50,0,0,0,
2025-11-13,15/09/2025,31.40,1900,34,34,31.40,0,0,0,
2025-11-13,12/09/2025,34,6800,34.50,34.50,33.70,0,0,0,
2025-11-13,11/09/2025,33,12800,35,35.30,33,0,0,0,
2025-11-13,10/09/2025,34.40,22700,35.30,35.50,33,0,0,0,
2025-11-13,09/09/2025,33.50,6900,35.30,36,33,0,0,0,
2025-11-13,08/09/2025,34,25900,35,37.50,33.80,0,0,0,
2025-11-13,05/09/2025,35,39500,40.90,40.90,34.90,0,0,0,
2025-11-13,04/09/2025,35,41200,35,41,35,0,0,0,
2025-11-13,03/09/2025,40,70700,35.80,41,35,0,0,0,
2025-11-13,29/08/2025,40.50,76000,35.20,41,34.60,0,0,0,
2025-11-13,28/08/2025,35.60,21900,35,39.50,35,0,0,0,
2025-11-13,27/08/2025,35,40600,38.90,41.50,34.20,0,0,0,
2025-11-13,26/08/2025,42.80,16100,42.80,42.80,33,0,0,0,
2025-11-13,25/08/2025,43.50,93100,35,44.50,33,0,0,0,
2025-11-13,22/08/2025,35,17500,38,41.60,35,0,0,0,
2025-11-13,21/08/2025,41.50,16900,38.40,43,34,0,0,0,
2025-11-13,20/08/2025,39.90,21700,37,39.90,37,0,0,0,
2025-11-13,19/08/2025,32.20,2300,33.60,38,32.20,0,0,0,
2025-11-13,18/08/2025,38,16900,30.50,39,30.50,0,0,0,
2025-11-13,15/08/2025,35.50,19800,31.90,36.60,31.50,0,0,0,
2025-11-13,14/08/2025,31.50,13900,32,32.10,31.50,0,0,0,
2025-11-13,13/08/2025,37,12500,37.20,40.80,32.50,0,0,0,
2025-11-13,12/08/2025,37.20,21000,36,37.40,31.50,0,0,0,
2025-11-13,11/08/2025,37.20,31000,36,37.20,29,0,0,0,
2025-11-13,08/08/2025,31,24000,33,35,30.80,0,0,0,
2025-11-13,07/08/2025,39,13600,32.80,41,32.80,0,0,0,
2025-11-13,06/08/2025,39,23700,38.50,39,32.80,0,0,0,
