date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.05,6254200,12.30,13.05,12.25,1504700,177821,16.6
2025-11-13,11/11/2025,12.20,10978400,12.40,12.50,12.05,2064600,3923800,-22.8
2025-11-13,10/11/2025,12.30,12955700,12.90,13,12.30,1485200,3971000,-31.6
2025-11-13,07/11/2025,13,8439500,13.50,13.60,12.95,370600,896500,-7.0
2025-11-13,06/11/2025,13.50,4045700,13.75,13.75,13.50,118300,353100,-3.2
2025-11-13,05/11/2025,13.75,11134600,13.60,13.85,13.45,2059000,2583500,-7.0
2025-11-13,04/11/2025,13.40,17601500,12.90,13.45,12.50,3450200,2786600,8.4
2025-11-13,03/11/2025,12.90,12425600,13.40,13.65,12.90,1349900,767500,7.6
2025-11-13,31/10/2025,13.65,5331300,13.80,13.80,13.60,43900,821000,-10.7
2025-11-13,30/10/2025,13.80,6206100,13.60,14.10,13.60,561000,117700,6.1
2025-11-13,29/10/2025,13.55,8466700,13.40,13.90,13.25,254500,102500,2.0
2025-11-13,28/10/2025,13.40,29814200,13.80,13.80,12.90,3676100,5631400,-26.4
2025-11-13,27/10/2025,13.80,14413700,14.40,14.50,13.80,229700,652400,-6.1
2025-11-13,24/10/2025,14.30,19337200,14.25,14.50,14.10,369500,876300,-7.2
2025-11-13,23/10/2025,14.20,13101800,14.05,14.50,14.05,481100,308400,2.5
2025-11-13,22/10/2025,14,48486500,14.50,15.15,13.55,1868100,5302600,-49.9
2025-11-13,21/10/2025,14.40,29857200,14.60,14.90,14.40,767900,1029000,-4.0
2025-11-13,20/10/2025,15.45,70812600,15.45,15.80,15.45,1321600,1319300,-0.0
2025-11-13,17/10/2025,16.60,32460400,16.25,16.95,16.05,2223000,2923600,-11.4
2025-11-13,16/10/2025,16.25,28947600,15.70,16.45,15.70,3816000,915000,46.7
2025-11-13,15/10/2025,15.60,8842700,15.75,15.75,15.45,399000,389600,0.1
2025-11-13,14/10/2025,15.50,17237400,16.15,16.20,15.45,771500,3949200,-50.1
2025-11-13,13/10/2025,16,22278600,15.40,16.20,15.25,2823500,1402000,22.4
2025-11-13,10/10/2025,15.60,15221600,15.45,16,15.45,2123000,1993000,2.0
2025-11-13,09/10/2025,15.30,7295400,15.30,15.55,15.25,0,0,0
2025-11-13,08/10/2025,15.30,12924900,15.65,15.70,15.10,1532000,1922100,-6.0
2025-11-13,07/10/2025,15.40,7025600,15.85,15.85,15.40,360900,343900,0.2
2025-11-13,06/10/2025,15.80,12694100,15.25,15.90,15.25,2257900,859900,21.8
2025-11-13,03/10/2025,15.10,13085400,15.40,15.45,15.10,2177600,2514200,-5.1
2025-11-13,02/10/2025,15.50,7259300,15.70,15.70,15.40,2120900,1311000,12.7
2025-11-13,01/10/2025,15.65,8156500,15.25,15.70,15.25,3207400,1421600,27.8
2025-11-13,30/09/2025,15.25,14861000,15.75,15.75,15,801500,3065400,-34.6
2025-11-13,29/09/2025,15.60,9393900,15.65,15.90,15.55,693700,1767500,-16.8
2025-11-13,26/09/2025,15.60,13750900,16,16,15.60,642400,1917100,-20.2
2025-11-13,25/09/2025,16,13426200,16.20,16.35,15.90,713500,2958300,-36.3
2025-11-13,24/09/2025,16.15,13557100,15.85,16.30,15.65,841300,3231200,-37.8
2025-11-13,23/09/2025,15.65,9063100,15.80,16.20,15.65,874400,1375700,-8.0
2025-11-13,22/09/2025,15.60,16669000,16.15,16.20,15.55,2423600,3614300,-18.8
2025-11-13,19/09/2025,15.95,27260400,15.25,16.15,15.10,5692900,5327600,5.2
2025-11-13,18/09/2025,15.10,21066600,15.50,15.70,15,875500,3599300,-41.3
2025-11-13,17/09/2025,15.50,10506300,15.70,15.90,15.50,128000,1821400,-26.5
2025-11-13,16/09/2025,15.70,13651100,16,16.15,15.65,287300,2560400,-36.0
2025-11-13,15/09/2025,15.65,16655400,15.40,15.85,15.40,1049700,4218400,-49.6
2025-11-13,12/09/2025,15.75,12710000,15.90,16.25,15.75,151900,564000,-6.6
2025-11-13,11/09/2025,15.70,19300500,15.75,15.80,15.10,1767500,4275600,-38.8
2025-11-13,10/09/2025,15.80,23533600,16.45,16.45,15.55,237000,10210500,-157.9
2025-11-13,09/09/2025,16.25,20833700,16.20,16.45,15.85,621200,662800,-0.8
2025-11-13,08/09/2025,16.20,28861200,17.20,17.50,16.20,439300,4593600,-69.9
