date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,3.80,500,3.80,3.80,3.80,0,0,0
2025-11-13,11/11/2025,3.80,10300,3.80,3.90,3.80,0,0,0
2025-11-13,10/11/2025,3.70,900,3.70,3.70,3.70,0,0,0
2025-11-13,07/11/2025,3.80,100,3.80,3.80,3.80,0,0,0
2025-11-13,06/11/2025,3.60,1000,3.60,3.70,3.60,0,0,0
2025-11-13,05/11/2025,3.60,1400,3.60,3.60,3.60,0,0,0
2025-11-13,04/11/2025,3.60,2400,3.90,3.90,3.60,0,0,0
2025-11-13,03/11/2025,3.90,22100,3.70,4,3.50,0,0,0
2025-11-13,31/10/2025,3.60,1900,3.70,3.70,3.60,0,0,0
2025-11-13,30/10/2025,3.60,4600,3.70,3.70,3.60,0,0,0
2025-11-13,29/10/2025,3.90,1700,3.80,3.90,3.50,0,0,0
2025-11-13,28/10/2025,3.40,36100,3.60,3.80,3.20,0,0,0
2025-11-13,27/10/2025,3.80,8400,3.70,3.80,3.50,0,0,0
2025-11-13,24/10/2025,3.90,500,3.90,3.90,3.40,0,0,0
2025-11-13,23/10/2025,3.90,100,3.90,3.90,3.90,0,0,0
2025-11-13,22/10/2025,3.90,500,4.30,4.30,3.90,0,0,0
2025-11-13,21/10/2025,3.90,900,4,4,3.90,0,0,0
2025-11-13,20/10/2025,3.40,2200,4,4,3.40,0,0,0
2025-11-13,17/10/2025,4,4200,4.40,4.40,4,0,0,0
2025-11-13,16/10/2025,4,1500,4,4,4,0,0,0
2025-11-13,15/10/2025,4,900,4,4,3.90,0,0,0
2025-11-13,14/10/2025,4.10,2500,4.50,4.50,3.90,0,0,0
2025-11-13,13/10/2025,3.90,200,4.10,4.10,3.90,0,0,0
2025-11-13,10/10/2025,3.90,3700,4,4,3.80,0,0,0
2025-11-13,09/10/2025,4.30,1600,4.30,4.30,4,0,0,0
2025-11-13,08/10/2025,4,3900,4.30,4.40,4,0,0,0
2025-11-13,07/10/2025,4.40,6400,3.90,4.40,3.90,0,0,0
2025-11-13,06/10/2025,3.90,6200,4.60,4.60,3.90,0,0,0
2025-11-13,03/10/2025,3.90,11200,4.70,4.70,3.90,0,0,0
2025-11-13,02/10/2025,4.40,600,4.40,4.40,4.40,0,0,0
