date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,3.81,186000,3.81,3.87,3.78,10700,13300,-0.0
2025-11-13,11/11/2025,3.81,210600,3.85,3.85,3.74,0,22100,-0.1
2025-11-13,10/11/2025,3.77,348800,3.87,3.90,3.75,5700,8300,-0.0
2025-11-13,07/11/2025,3.90,416900,3.92,3.95,3.87,18100,2300,0.1
2025-11-13,06/11/2025,3.93,183900,3.95,3.96,3.89,27900,0,0.1
2025-11-13,05/11/2025,3.92,442700,3.98,3.98,3.89,8200,2200,0.0
2025-11-13,04/11/2025,3.98,405300,3.91,3.99,3.80,5000,2500,0.0
2025-11-13,03/11/2025,3.93,374800,4,4.01,3.90,1300,4900,-0.0
2025-11-13,31/10/2025,3.94,1214000,4.06,4.19,3.94,6500,4000,0.0
2025-11-13,30/10/2025,3.94,395700,3.99,4.08,3.90,0,1100,-0.0
2025-11-13,29/10/2025,3.96,807200,3.77,3.96,3.73,4900,4900,0.0
2025-11-13,28/10/2025,3.71,185200,3.70,3.71,3.60,3300,0,0.0
2025-11-13,27/10/2025,3.70,382900,3.76,3.78,3.69,0,0,0
2025-11-13,24/10/2025,3.70,311700,3.68,3.75,3.60,100,3200,-0.0
2025-11-13,23/10/2025,3.68,390900,3.85,3.85,3.68,13400,500,0.0
2025-11-13,22/10/2025,3.64,360000,3.75,3.77,3.60,7900,0,0.0
2025-11-13,21/10/2025,3.68,350700,3.68,3.72,3.64,5100,0,0.0
2025-11-13,20/10/2025,3.68,438000,3.89,3.90,3.68,2300,0,0.0
2025-11-13,17/10/2025,3.89,705200,3.95,3.96,3.85,2300,0,0.0
2025-11-13,16/10/2025,3.94,253400,3.95,3.99,3.91,200,4700,-0.0
2025-11-13,15/10/2025,3.91,297000,3.93,4,3.91,0,0,0
2025-11-13,14/10/2025,3.93,1132100,4.02,4.10,3.93,0,55800,-0.2
2025-11-13,13/10/2025,4.03,320000,4.10,4.14,4.03,1000,100,0.0
2025-11-13,10/10/2025,4.10,319800,4.14,4.15,4.09,0,5300,-0.0
2025-11-13,09/10/2025,4.14,291200,4.15,4.18,4.06,0,0,0
2025-11-13,08/10/2025,4.12,632000,4.15,4.19,4.11,700,27000,-0.1
2025-11-13,07/10/2025,4.15,532000,4.19,4.20,4.10,0,27900,-0.1
2025-11-13,06/10/2025,4.19,528100,4.17,4.22,4.15,3600,18600,-0.1
