date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,22,9400,22.10,22.55,21.95,0,0,0
2025-11-13,11/11/2025,22.65,400,22,22.65,22,0,0,0
2025-11-13,10/11/2025,22.80,1000,22.70,22.80,22.70,0,0,0
2025-11-13,07/11/2025,22.50,6100,22.60,22.60,22.50,0,0,0
2025-11-13,06/11/2025,22.55,0,22.55,22.55,22.55,0,0,0
2025-11-13,05/11/2025,22.55,3500,22.05,22.55,22.05,0,0,0
2025-11-13,04/11/2025,22.55,0,22.55,22.55,22.55,0,0,0
2025-11-13,03/11/2025,22.55,200,22,22.55,22,0,0,0
2025-11-13,31/10/2025,22.70,700,22.70,22.70,22.70,0,0,0
2025-11-13,30/10/2025,22,0,22,22,22,0,0,0
2025-11-13,29/10/2025,22,3100,22,22.05,22,0,0,0
2025-11-13,28/10/2025,22,200,22,22,22,0,0,0
2025-11-13,27/10/2025,22.15,2000,22.20,22.20,22.15,0,0,0
2025-11-13,24/10/2025,22.20,1800,22.20,22.20,22.20,0,0,0
2025-11-13,23/10/2025,22.25,0,22.25,22.25,22.25,0,0,0
2025-11-13,22/10/2025,22.25,3700,22.50,22.50,22.20,0,0,0
2025-11-13,21/10/2025,22.25,12300,22,22.25,22,0,0,0
2025-11-13,20/10/2025,22.25,1400,22.40,22.40,22.25,0,0,0
2025-11-13,17/10/2025,22.40,2400,22.50,22.50,22.40,0,0,0
2025-11-13,16/10/2025,22.45,0,22.45,22.45,22.45,0,0,0
2025-11-13,15/10/2025,22.45,800,22.50,22.50,22.45,0,0,0
2025-11-13,14/10/2025,22.50,1200,22.50,22.50,22.35,0,0,0
2025-11-13,13/10/2025,22.50,500,22.50,22.50,22.50,0,0,0
2025-11-13,10/10/2025,22.50,2300,22.45,22.50,22.45,0,0,0
2025-11-13,09/10/2025,22.45,5800,22.40,22.50,22.20,0,0,0
2025-11-13,08/10/2025,22.40,6200,22.50,22.50,22.30,0,0,0
2025-11-13,07/10/2025,22.40,4100,22.50,22.50,22.40,0,0,0
2025-11-13,06/10/2025,22.50,2200,22.50,22.50,22.50,0,0,0
2025-11-13,03/10/2025,22.50,1000,22.70,22.70,22.50,0,0,0
2025-11-13,02/10/2025,22.70,6100,22.20,22.75,22.20,0,0,0
2025-11-13,01/10/2025,22.75,100,22.75,22.75,22.75,0,0,0
2025-11-13,30/09/2025,22.75,5300,22.45,22.75,22.40,0,0,0
2025-11-13,29/09/2025,22.40,100,22.40,22.40,22.40,0,0,0
2025-11-13,26/09/2025,22.90,1200,22.90,22.90,22.90,0,0,0
2025-11-13,25/09/2025,22.85,200,22.50,22.85,22.50,0,0,0
2025-11-13,24/09/2025,22.40,4500,22.50,22.50,22.40,0,0,0
2025-11-13,23/09/2025,22.50,2300,22.60,22.60,22.50,0,0,0
2025-11-13,22/09/2025,22.60,11300,22.60,22.80,22.60,0,0,0
2025-11-13,19/09/2025,22.70,700,22.60,22.80,22.60,0,0,0
2025-11-13,18/09/2025,22.80,7600,22.80,22.80,22.60,0,0,0
2025-11-13,17/09/2025,22.80,2000,22.80,22.80,22.80,0,0,0
2025-11-13,16/09/2025,22.80,7400,22.80,22.80,22.70,0,0,0
2025-11-13,15/09/2025,22.80,2600,22.70,22.80,22.70,0,0,0
2025-11-13,12/09/2025,22.90,3400,22.70,22.90,22.70,0,0,0
2025-11-13,11/09/2025,22.80,5700,22.55,22.80,22.55,0,0,0
2025-11-13,10/09/2025,22.55,4300,22.90,22.90,22.55,0,0,0
2025-11-13,09/09/2025,22.90,4200,22.90,22.90,22.90,0,0,0
2025-11-13,08/09/2025,22.60,6200,22.95,22.95,22.60,0,0,0
2025-11-13,05/09/2025,22.95,1100,22.95,22.95,22.90,0,0,0
2025-11-13,04/09/2025,22.90,1700,22.90,22.95,22.80,0,0,0
2025-11-13,03/09/2025,22.90,3000,22.75,23,22.50,0,0,0
2025-11-13,29/08/2025,23,6800,23,23,23,0,0,0
2025-11-13,28/08/2025,23,300,23,23,23,0,0,0
2025-11-13,27/08/2025,23.10,6200,22.50,23.10,22.50,0,6000,-0.1
2025-11-13,26/08/2025,22.50,2200,22.90,22.90,22.50,0,0,0
2025-11-13,25/08/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,22/08/2025,22.50,9300,23.20,23.20,22.50,0,0,0
2025-11-13,21/08/2025,23,15800,22.80,23,22.60,0,0,0
2025-11-13,20/08/2025,22.85,2500,23,23,22.85,0,0,0
2025-11-13,19/08/2025,23,2900,23.20,23.20,23,0,0,0
2025-11-13,18/08/2025,23.50,1300,23.85,23.85,22.65,0,0,0
2025-11-13,15/08/2025,22.90,1300,22.95,22.95,22.90,0,0,0
2025-11-13,14/08/2025,22.95,1500,23.90,23.90,22.95,0,0,0
2025-11-13,13/08/2025,22.90,4100,23.05,23.05,22.90,0,0,0
2025-11-13,12/08/2025,23.05,1400,23.05,23.05,23.05,0,0,0
2025-11-13,11/08/2025,23.05,1600,23.40,23.80,23,0,0,0
2025-11-13,08/08/2025,23.10,3400,23.50,23.50,22.80,0,0,0
2025-11-13,07/08/2025,23.50,2400,23.20,23.50,23.20,0,0,0
2025-11-13,06/08/2025,23.20,900,23.20,23.20,23.20,0,0,0
2025-11-13,05/08/2025,22.90,1900,22.85,23.30,22.85,0,0,0
2025-11-13,04/08/2025,23,3000,23,23,22.80,0,0,0
2025-11-13,01/08/2025,23.15,1100,23.10,23.15,22.70,0,0,0
2025-11-13,31/07/2025,23,9200,23.35,23.35,22.80,0,0,0
2025-11-13,30/07/2025,23.35,2700,23.45,23.45,23.25,0,0,0
2025-11-13,29/07/2025,23.45,500,23.45,23.45,23.45,0,0,0
2025-11-13,28/07/2025,23.45,1400,24.50,24.50,23.45,0,0,0
2025-11-13,25/07/2025,23.45,7100,23.50,23.55,23.30,0,0,0
2025-11-13,24/07/2025,23.55,2800,24,24,23.50,0,0,0
2025-11-13,23/07/2025,23.45,5400,23.50,23.60,23.45,0,0,0
2025-11-13,22/07/2025,23.50,3600,23.50,23.50,23.40,0,0,0
2025-11-13,21/07/2025,23.45,5300,23.60,23.60,23.45,0,2200,-0.1
2025-11-13,18/07/2025,23.80,100,23.80,23.80,23.80,0,0,0
2025-11-13,17/07/2025,23.80,7900,24.50,24.50,23.55,0,0,0
2025-11-13,16/07/2025,24,2400,24.35,24.40,24,0,0,0
2025-11-13,15/07/2025,24.45,4200,24.45,24.50,23.80,0,0,0
2025-11-13,14/07/2025,24.50,400,24.85,24.85,24.50,0,0,0
2025-11-13,11/07/2025,24,4100,23.60,24,23.60,0,0,0
2025-11-13,10/07/2025,23.60,3600,23.65,23.65,23.60,0,0,0
2025-11-13,09/07/2025,23.60,6500,24.05,24.05,23.60,0,0,0
2025-11-13,08/07/2025,25.20,7100,23.05,25.40,23.05,0,0,0
2025-11-13,07/07/2025,23.90,8100,23.75,23.90,23.75,0,0,0
2025-11-13,04/07/2025,23.80,5500,23.75,23.85,23.60,0,0,0
2025-11-13,03/07/2025,23.55,3200,23.80,23.90,23.55,0,0,0
2025-11-13,02/07/2025,23.80,9500,23.70,23.90,23.40,0,0,0
2025-11-13,01/07/2025,23.80,6400,23.75,23.85,23.60,0,0,0
2025-11-13,30/06/2025,23.80,6900,23.70,23.90,23.60,0,0,0
2025-11-13,27/06/2025,23.60,800,23.70,23.70,23.60,0,0,0
2025-11-13,26/06/2025,23.60,4100,23.80,23.80,23.60,0,0,0
2025-11-13,25/06/2025,23.15,7400,23.60,23.75,23.15,0,0,0
2025-11-13,24/06/2025,23.20,3200,23.75,23.75,23.05,0,0,0
