date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,105,33000,105.90,106.60,104.50,100,100,-0
2025-11-13,11/11/2025,105.70,68500,103.90,107.60,103.90,0,0,0
2025-11-13,10/11/2025,103.30,38500,103,103.50,102.30,0,0,0
2025-11-13,07/11/2025,102.90,31400,102.50,103,102,300,0,0.0
2025-11-13,06/11/2025,101.80,14800,101.20,102.30,101.20,0,0,0
2025-11-13,05/11/2025,101.50,10600,101,102,100.60,0,0,0
2025-11-13,04/11/2025,102,31400,101.80,102,99,0,1100,-0.1
2025-11-13,03/11/2025,101.20,40800,102.20,102.60,101.20,0,0,0
2025-11-13,31/10/2025,101.70,16900,101.40,101.90,100.80,0,0,0
2025-11-13,30/10/2025,101.80,29500,102.40,103,100,0,0,0
2025-11-13,29/10/2025,102.40,49100,98.70,104.90,98.70,0,0,0
2025-11-13,28/10/2025,99.20,30400,101,101.40,98,0,0,0
2025-11-13,27/10/2025,99,42700,101,103.90,98.90,100,0,0.0
2025-11-13,24/10/2025,101,67500,96.60,101.90,96.60,0,100,-0.0
2025-11-13,23/10/2025,97,57800,95,99,95,0,0,0
2025-11-13,22/10/2025,94.80,23600,95.20,95.60,93.70,0,0,0
2025-11-13,21/10/2025,94.50,42800,96.20,99.10,93,100,1700,-0.2
2025-11-13,20/10/2025,92.70,18700,93,94.20,92.70,0,0,0
2025-11-13,17/10/2025,93.60,9800,94,94,93.50,0,0,0
2025-11-13,16/10/2025,94,12000,93.90,94,93.70,0,0,0
2025-11-13,15/10/2025,93.90,4900,94.40,94.50,93.80,100,0,0.0
2025-11-13,14/10/2025,94,15400,94,94.80,93.70,0,0,0
2025-11-13,13/10/2025,94,31300,93.70,94.50,92.80,0,5200,-0.5
2025-11-13,10/10/2025,93.70,2100,93.70,93.80,93.60,0,600,-0.1
2025-11-13,09/10/2025,93.80,17500,94,94,93.30,0,0,0
2025-11-13,08/10/2025,93.40,27200,94.40,94.40,93.30,0,3100,-0.3
2025-11-13,07/10/2025,94.10,11300,94.40,94.50,94.10,0,0,0
