date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,6.80,141200,6.30,7,6.30,0,0,0,
2025-11-13,11/11/2025,6.40,107700,6.30,6.50,6.30,0,0,0,
2025-11-13,10/11/2025,6.40,35100,6.20,6.40,6.10,0,0,0,
2025-11-13,07/11/2025,6.30,7400,6.30,6.30,6.20,0,0,0,
2025-11-13,06/11/2025,6.30,33500,6.40,6.50,6.20,0,0,0,
2025-11-13,05/11/2025,6.50,71700,6.30,6.60,6.30,0,0,0,
2025-11-13,04/11/2025,6.30,148000,5.80,6.40,5.80,0,0,0,
2025-11-13,03/11/2025,6.20,85300,6.10,6.30,6.10,0,0,0,
2025-11-13,31/10/2025,6.10,74800,5.90,6.20,5.80,0,0,0,
2025-11-13,30/10/2025,5.90,7200,5.90,5.90,5.90,0,0,0,
2025-11-13,29/10/2025,5.90,13500,5.90,5.90,5.80,0,0,0,
2025-11-13,28/10/2025,5.80,16800,5.80,5.90,5.70,0,0,0,
2025-11-13,27/10/2025,5.80,28100,5.90,5.90,5.70,0,0,0,
2025-11-13,24/10/2025,5.80,50700,6.10,6.10,5.70,0,0,0,
2025-11-13,23/10/2025,6,59900,5.90,6.20,5.90,0,0,0,
2025-11-13,22/10/2025,5.80,16600,5.70,5.80,5.70,0,0,0,
2025-11-13,21/10/2025,5.80,22800,5.80,5.90,5.70,0,0,0,
2025-11-13,20/10/2025,5.80,15100,5.90,5.90,5.80,0,0,0,
2025-11-13,17/10/2025,5.90,27400,5.90,5.90,5.80,0,0,0,
2025-11-13,16/10/2025,5.90,38800,6,6,5.80,0,0,0,
2025-11-13,15/10/2025,5.90,16700,5.90,6,5.90,0,0,0,
2025-11-13,14/10/2025,5.90,65200,6,6.10,5.90,0,0,0,
2025-11-13,13/10/2025,6.10,13100,6.10,6.10,6,0,0,0,
2025-11-13,10/10/2025,6.10,38900,6.10,6.20,6.10,0,0,0,
2025-11-13,09/10/2025,6.20,21300,6.20,6.20,6.10,0,0,0,
2025-11-13,08/10/2025,6.30,24000,6.20,6.30,6.20,0,0,0,
2025-11-13,07/10/2025,6.20,10200,6.20,6.20,6.20,0,0,0,
2025-11-13,06/10/2025,6.20,114100,6.30,6.30,6,0,0,0,
2025-11-13,03/10/2025,6.30,21000,6.30,6.30,6.20,0,0,0,
2025-11-13,02/10/2025,6.30,9000,6.40,6.40,6.30,0,0,0,
2025-11-13,01/10/2025,6.30,28200,6.30,6.40,6.30,0,0,0,
2025-11-13,30/09/2025,6.30,23600,6.40,6.40,6.30,0,0,0,
2025-11-13,29/09/2025,6.40,44800,6.40,6.50,6.30,0,0,0,
2025-11-13,26/09/2025,6.50,17100,6.50,6.50,6.40,0,0,0,
2025-11-13,25/09/2025,6.50,49800,6.40,6.50,6.40,0,0,0,
2025-11-13,24/09/2025,6.40,14300,6.50,6.50,6.40,0,0,0,
2025-11-13,23/09/2025,6.40,26200,6.40,6.40,6.30,0,0,0,
2025-11-13,22/09/2025,6.30,24100,6.40,6.40,6.30,0,0,0,
2025-11-13,19/09/2025,6.40,35200,6.40,6.50,6.30,0,0,0,
2025-11-13,18/09/2025,6.40,9800,6.40,6.40,6.30,0,0,0,
2025-11-13,17/09/2025,6.40,54400,6.40,6.50,6.40,0,0,0,
2025-11-13,16/09/2025,6.40,13600,6.40,6.50,6.30,0,0,0,
2025-11-13,15/09/2025,6.40,102800,6.40,6.50,6.30,0,0,0,
2025-11-13,12/09/2025,6.40,15800,6.40,6.50,6.40,0,0,0,
2025-11-13,11/09/2025,6.40,42700,6.40,6.40,6.30,0,0,0,
2025-11-13,10/09/2025,6.40,29500,6.50,6.50,6.30,0,0,0,
2025-11-13,09/09/2025,6.50,66200,6.40,6.50,6.30,0,0,0,
2025-11-13,08/09/2025,6.40,120800,6.50,6.60,6.40,0,0,0,
2025-11-13,05/09/2025,6.50,57500,6.60,6.60,6.50,0,0,0,
2025-11-13,04/09/2025,6.50,229100,6.50,6.70,6.50,0,0,0,
2025-11-13,03/09/2025,6.60,16100,6.50,6.60,6.50,0,0,0,
