date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,32.50,1190700,32.60,32.75,32,0,0,0
2025-11-13,11/11/2025,32.55,2780400,33.90,33.95,32.45,0,1000,-0.0
2025-11-13,10/11/2025,32.20,818200,32.20,32.20,32.20,0,0,0
2025-11-13,07/11/2025,30.10,1190300,30.85,31.50,30.10,0,0,0
2025-11-13,06/11/2025,31,1404100,30.95,32.20,30.70,0,0,0
2025-11-13,05/11/2025,30.70,1589300,30.25,30.95,29.60,0,0,0
2025-11-13,04/11/2025,30.20,1802000,28.90,30.40,28,0,0,0
2025-11-13,03/11/2025,29.40,1076600,30.30,30.55,29.40,0,0,0
2025-11-13,31/10/2025,30.30,867500,31.20,31.30,30.30,0,0,0
2025-11-13,30/10/2025,30.90,606300,31.55,31.70,30.70,0,0,0
2025-11-13,29/10/2025,31.15,1018700,31.20,31.80,31.10,0,0,0
2025-11-13,28/10/2025,30.85,845000,29.90,30.85,29.40,0,0,0
2025-11-13,27/10/2025,29.90,505000,31.80,31.80,29.90,0,100,-0.0
2025-11-13,24/10/2025,30.75,745400,31,31.65,30.50,0,0,0
2025-11-13,23/10/2025,31,861600,30.90,31.75,30.60,0,0,0
2025-11-13,22/10/2025,30.60,686300,30.70,31,29.70,0,0,0
2025-11-13,21/10/2025,30.70,2862200,31.20,31.20,28.70,0,0,0
2025-11-13,20/10/2025,30.70,2893000,32.55,33.30,30.70,0,0,0
2025-11-13,17/10/2025,33,2140100,34.30,34.45,33,0,0,0
2025-11-13,16/10/2025,34.20,1635900,34,35,33.80,0,1000,-0.0
2025-11-13,15/10/2025,33.90,2284500,33.25,34.40,33.20,0,0,0
2025-11-13,14/10/2025,33.20,2862900,34,34.75,33,0,0,0
2025-11-13,13/10/2025,33.30,1965100,33,33.30,32.65,0,0,0
2025-11-13,10/10/2025,33.50,2001600,33.95,34.40,33.40,0,400,-0.0
2025-11-13,09/10/2025,33.50,4248000,31.45,33.50,31.45,0,0,0
2025-11-13,08/10/2025,31.35,923200,31.55,31.80,31,0,0,0
2025-11-13,07/10/2025,31.20,1109300,32.25,32.25,31.20,0,0,0
2025-11-13,06/10/2025,32,1219700,31.25,32,30.80,0,0,0
2025-11-13,03/10/2025,30.75,1240800,30.20,31.40,30.20,0,0,0
2025-11-13,02/10/2025,30.45,1115900,30.20,31.50,30.20,0,0,0
2025-11-13,01/10/2025,30.40,783200,30.25,30.85,29.70,0,0,0
2025-11-13,30/09/2025,30.65,1295800,30.10,30.65,29.05,0,0,0
2025-11-13,29/09/2025,30.30,663500,30.40,31.05,30.10,0,0,0
2025-11-13,26/09/2025,31,926100,31.40,31.50,31,0,0,0
2025-11-13,25/09/2025,31.50,1793200,30.90,32,30.45,0,1400,-0.0
2025-11-13,24/09/2025,30.20,694600,30,30.35,29.60,0,0,0
2025-11-13,23/09/2025,30,510400,29.80,30.40,29.80,0,0,0
2025-11-13,22/09/2025,30,961000,30.80,31,29.75,0,0,0
2025-11-13,19/09/2025,30.95,897400,31.40,31.60,30.95,0,0,0
2025-11-13,18/09/2025,30.90,1022800,30.70,30.95,30.40,0,0,0
2025-11-13,17/09/2025,30.60,1437900,31.60,31.90,30.60,0,300,-0.0
2025-11-13,16/09/2025,31.60,1640200,32.30,32.30,31.40,0,0,0
2025-11-13,15/09/2025,31.95,2276300,30.60,32,30.60,0,100,-0.0
2025-11-13,12/09/2025,30.60,1750200,30,31.10,29.95,0,0,0
2025-11-13,11/09/2025,29.95,2367900,30.20,30.20,27.80,0,0,0
2025-11-13,10/09/2025,29.80,1529300,30.60,30.95,29.50,0,0,0
2025-11-13,09/09/2025,30.35,1970000,30.60,30.60,29,0,0,0
2025-11-13,08/09/2025,30.30,3529200,32.10,32.30,30.30,0,0,0
2025-11-13,05/09/2025,32.55,2992300,34.20,34.50,32.55,0,800,-0.0
2025-11-13,04/09/2025,33.70,2062000,34,34.50,33.50,0,0,0
2025-11-13,03/09/2025,33.60,1850000,32.80,33.80,32.80,0,0,0
2025-11-13,29/08/2025,32.80,2821900,32.70,33.15,32,0,0,0
2025-11-13,28/08/2025,32.70,1438500,33.10,33.80,32.70,0,0,0
2025-11-13,27/08/2025,33.40,2243700,33.80,34.30,32.80,0,0,0
2025-11-13,26/08/2025,32.80,2068900,32.50,32.80,31.80,0,0,0
2025-11-13,25/08/2025,31.95,2388600,34.20,34.30,31.55,0,0,0
2025-11-13,22/08/2025,33.50,5231900,35,35.65,33.50,0,0,0
2025-11-13,21/08/2025,36,4011100,38.30,38.50,36,0,0,0
2025-11-13,20/08/2025,38.45,8544400,41,41,38.45,0,1000,-0.0
2025-11-13,19/08/2025,41.30,4336000,41.30,41.30,40.40,0,10000,-0.4
2025-11-13,18/08/2025,38.60,2412500,37.85,38.60,37.35,0,0,0
2025-11-13,15/08/2025,36.10,4636400,35.45,36.90,34.80,0,0,0
2025-11-13,14/08/2025,34.90,2626700,36.10,36.10,34.70,0,1100,-0.0
2025-11-13,13/08/2025,35.60,4039500,37,37,34.15,0,0,0
2025-11-13,12/08/2025,36.65,3514000,36,38.25,35.80,0,0,0
2025-11-13,11/08/2025,35.80,5035500,33.80,35.80,33.45,0,0,0
2025-11-13,08/08/2025,33.50,3487200,33.60,34.60,32.85,0,0,0
2025-11-13,07/08/2025,33.65,3136600,35.10,35.10,33.30,0,0,0
2025-11-13,06/08/2025,34.15,3286900,34.60,35.15,33.75,0,0,0
2025-11-13,05/08/2025,33.80,4354600,37.50,38.25,33.80,0,0,0
2025-11-13,04/08/2025,36.30,3266500,35.95,36.90,34.50,0,0,0
2025-11-13,01/08/2025,36,6519600,40.15,40.15,35.50,0,0,0
2025-11-13,31/07/2025,37.65,711700,37.65,37.65,37.65,0,0,0
2025-11-13,30/07/2025,35.20,2526700,34.60,35.20,33,0,0,0
2025-11-13,29/07/2025,32.90,4942600,32.90,32.90,32.60,0,2900,-0.1
2025-11-13,28/07/2025,30.75,2620300,30,31,29.90,0,0,0
2025-11-13,25/07/2025,29.50,3802000,29.25,31.05,29.05,0,100,-0.0
2025-11-13,24/07/2025,29.05,1555200,29,29.70,28.20,0,0,0
2025-11-13,23/07/2025,28.95,2308600,29.30,29.30,28.50,0,100,-0.0
2025-11-13,22/07/2025,27.85,2959800,26.25,27.85,26.20,0,200,-0.0
2025-11-13,21/07/2025,26.05,1602300,26,26.85,25.85,0,0,0
2025-11-13,18/07/2025,25.85,1485300,25.60,26.30,25.45,0,0,0
2025-11-13,17/07/2025,25.55,1320900,25.70,26.20,25.40,0,0,0
2025-11-13,16/07/2025,25.50,1122100,25.50,26,25.30,0,0,0
2025-11-13,15/07/2025,25.50,1807800,25.60,26.50,25.50,0,0,0
2025-11-13,14/07/2025,25.45,2210600,24.50,25.60,24.50,0,0,0
2025-11-13,11/07/2025,24.50,1086200,24.75,24.90,24.45,0,0,0
2025-11-13,10/07/2025,24.60,1016400,24.40,25.10,24.40,0,0,0
2025-11-13,09/07/2025,24.50,1331300,24.90,24.90,24.40,0,0,0
2025-11-13,08/07/2025,24.65,1510700,24.65,25.30,24.50,0,0,0
2025-11-13,07/07/2025,24.65,1092500,24.85,25.65,24.50,0,0,0
2025-11-13,04/07/2025,24.80,2163900,24.45,25.60,24.15,0,0,0
2025-11-13,03/07/2025,24.20,1512700,24.30,25,23.80,0,0,0
2025-11-13,02/07/2025,24.25,588400,24.35,24.35,23.95,0,0,0
2025-11-13,01/07/2025,23.95,863700,24.25,24.55,23.70,0,0,0
2025-11-13,30/06/2025,24.10,463100,24,24.30,24,0,0,0
2025-11-13,27/06/2025,23.95,1193000,24.30,24.70,23.90,0,0,0
2025-11-13,26/06/2025,24,609400,23.70,24,23.45,0,0,0
2025-11-13,25/06/2025,23.55,600200,23.80,24.20,23.50,0,0,0
2025-11-13,24/06/2025,23.50,683200,23.75,23.95,23.50,0,0,0
