date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,13.55,14000,13.40,13.55,13.40,0,0,0,
2025-11-13,11/11/2025,13.45,20700,13.45,13.50,13.45,0,4400,-0.1,
2025-11-13,10/11/2025,13.45,11600,13.50,13.50,13.40,100,1600,-0.0,
2025-11-13,07/11/2025,13.50,22000,13.45,13.50,13.30,0,0,0,
2025-11-13,06/11/2025,13.40,135200,13.40,13.45,13.35,1100,0,0.0,
2025-11-13,05/11/2025,13.35,34200,13.40,13.50,13.35,2000,1000,0.0,
2025-11-13,04/11/2025,13.40,29100,13.30,13.40,13.20,0,0,0,
2025-11-13,03/11/2025,13.40,3100,13.40,13.40,13.35,0,0,0,
2025-11-13,31/10/2025,13.40,21800,13.45,13.45,13.25,300,0,0.0,
2025-11-13,30/10/2025,13.45,14800,13.50,13.50,13.25,0,0,0,
2025-11-13,29/10/2025,13.45,60600,13.40,13.45,13.35,0,0,0,
2025-11-13,28/10/2025,13.40,10700,13.30,13.40,13.30,0,0,0,
2025-11-13,27/10/2025,13.35,9100,13.40,13.45,13.35,0,300,-0.0,
2025-11-13,24/10/2025,13.35,4900,13.40,13.40,13.15,100,3000,-0.0,
2025-11-13,23/10/2025,13.40,1400,13.10,13.40,13.10,0,0,0,
2025-11-13,22/10/2025,13.05,24700,13.30,13.45,13.05,0,0,0,
2025-11-13,21/10/2025,13.50,29800,12.75,13.50,12.75,400,100,0.0,
2025-11-13,20/10/2025,13.50,38100,13.70,13.70,13.40,0,0,0,
2025-11-13,17/10/2025,13.70,25500,13.70,13.75,13.45,0,100,-0.0,
2025-11-13,16/10/2025,13.70,49800,13.60,13.75,13.40,300,900,-0.0,
2025-11-13,15/10/2025,13.60,36600,13.60,13.65,13.45,0,700,-0.0,
2025-11-13,14/10/2025,13.65,14400,13.70,13.70,13.50,0,400,-0.0,
2025-11-13,13/10/2025,13.75,35000,13.70,13.80,13.50,1100,0,0.0,
2025-11-13,10/10/2025,13.75,19600,13.70,13.80,13.60,100,0,0.0,
2025-11-13,09/10/2025,13.70,22600,13.65,13.80,13.65,0,0,0,
2025-11-13,08/10/2025,13.80,3800,13.85,13.85,13.60,0,0,0,
2025-11-13,07/10/2025,13.80,5000,13.60,13.80,13.60,0,0,0,
2025-11-13,06/10/2025,13.70,31900,13.75,13.80,13.55,0,4800,-0.1,
2025-11-13,03/10/2025,13.75,9900,13.75,13.75,13.75,0,0,0,
2025-11-13,02/10/2025,13.70,8500,13.70,13.80,13.70,1200,1000,0.0,
2025-11-13,01/10/2025,13.75,19900,13.70,13.80,13.65,100,2000,-0.0,
2025-11-13,30/09/2025,13.70,6500,13.80,13.80,13.70,1000,1200,-0.0,
2025-11-13,29/09/2025,13.75,21700,13.80,13.80,13.65,0,2600,-0.0,
2025-11-13,26/09/2025,13.70,10400,13.70,13.80,13.65,0,400,-0.0,
2025-11-13,25/09/2025,13.70,8200,13.85,13.85,13.65,0,0,0,
