date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.30,300,6.30,6.30,6.30,0,0,0
2025-11-13,11/11/2025,6.30,700,6,6.30,6,0,0,0
2025-11-13,10/11/2025,6.30,300,6.30,6.30,6.30,0,0,0
2025-11-13,07/11/2025,6.30,1600,6.42,6.42,6.30,0,0,0
2025-11-13,06/11/2025,6.01,300,6.01,6.01,6.01,0,0,0
2025-11-13,05/11/2025,6,5100,6,6,6,0,0,0
2025-11-13,04/11/2025,6.29,3100,6.35,6.35,6.29,0,0,0
2025-11-13,03/11/2025,6.29,1400,5.93,6.29,5.93,0,0,0
2025-11-13,31/10/2025,6.30,200,6.30,6.30,6.30,0,0,0
2025-11-13,30/10/2025,6.33,100,6.33,6.33,6.33,0,0,0
2025-11-13,29/10/2025,6.33,1400,6.33,6.33,6.32,0,0,0
2025-11-13,28/10/2025,6.33,100,6.33,6.33,6.33,0,0,0
2025-11-13,27/10/2025,6.32,1200,6.32,6.33,6.32,0,0,0
2025-11-13,24/10/2025,6.30,300,6.42,6.42,6.30,0,0,0
2025-11-13,23/10/2025,6.42,0,6.42,6.42,6.42,0,0,0
2025-11-13,22/10/2025,6.42,200,6.42,6.42,6.42,0,0,0
2025-11-13,21/10/2025,6.42,2600,6.40,6.42,6.40,0,0,0
2025-11-13,20/10/2025,6.42,1100,6.01,6.42,6.01,0,0,0
2025-11-13,17/10/2025,6,3100,6.30,6.30,6,0,0,0
2025-11-13,16/10/2025,6.30,7300,6.38,6.39,6.30,0,0,0
2025-11-13,15/10/2025,6.39,4000,6.39,6.39,6.38,0,0,0
2025-11-13,14/10/2025,6.40,2400,6.36,6.40,6.36,0,0,0
2025-11-13,13/10/2025,6.48,1000,6.35,6.48,6.30,0,0,0
2025-11-13,10/10/2025,6.35,200,6.22,6.35,6.22,0,0,0
2025-11-13,09/10/2025,6.25,2700,6.03,6.30,6.03,0,0,0
2025-11-13,08/10/2025,6.30,400,6.30,6.30,6.30,0,0,0
2025-11-13,07/10/2025,6.30,0,6.30,6.30,6.30,0,0,0
2025-11-13,06/10/2025,6.30,2500,6.33,6.35,6.30,0,0,0
2025-11-13,03/10/2025,6.35,300,6.35,6.35,6.35,0,0,0
2025-11-13,02/10/2025,6.35,2200,6.80,6.80,6.35,0,0,0
2025-11-13,01/10/2025,6.45,500,6.50,6.50,6.44,0,0,0
2025-11-13,30/09/2025,6.50,400,6.50,6.50,6.50,0,0,0
2025-11-13,29/09/2025,6.50,100,6.50,6.50,6.50,0,0,0
2025-11-13,26/09/2025,6.50,3600,6.50,6.50,6.20,0,0,0
2025-11-13,25/09/2025,6.60,500,6.60,6.60,6.60,0,0,0
2025-11-13,24/09/2025,6.60,900,6.50,6.85,6.50,0,0,0
2025-11-13,23/09/2025,6.50,4600,6.50,6.50,6.50,0,0,0
2025-11-13,22/09/2025,6.50,300,6.90,6.90,6.50,0,0,0
2025-11-13,19/09/2025,6.90,100,6.90,6.90,6.90,0,0,0
2025-11-13,18/09/2025,6.90,1700,6.90,6.90,6.90,0,0,0
2025-11-13,17/09/2025,6.90,4800,6.90,6.90,6.80,0,0,0
2025-11-13,16/09/2025,6.90,2100,6.90,6.90,6.90,0,0,0
2025-11-13,15/09/2025,6.90,4900,6.60,6.90,6.50,0,0,0
2025-11-13,12/09/2025,6.90,200,6.90,6.90,6.90,0,0,0
2025-11-13,11/09/2025,6.90,5200,6.20,7,6.20,0,0,0
2025-11-13,10/09/2025,6.55,1800,6.65,6.65,6.55,0,0,0
2025-11-13,09/09/2025,6.60,100,6.60,6.60,6.60,0,0,0
2025-11-13,08/09/2025,6.80,900,6.40,6.80,6.40,0,0,0
2025-11-13,05/09/2025,6.80,0,6.80,6.80,6.80,0,0,0
2025-11-13,04/09/2025,6.80,4900,6.80,6.80,6.80,0,0,0
2025-11-13,03/09/2025,6.80,3100,6.80,6.80,6.80,0,0,0
2025-11-13,29/08/2025,6.70,3500,6.70,6.70,6.60,0,3000,-0.0
2025-11-13,28/08/2025,6.70,200,6.70,6.70,6.70,0,0,0
2025-11-13,27/08/2025,6.70,0,6.70,6.70,6.70,0,0,0
2025-11-13,26/08/2025,6.70,500,6.81,6.81,6.70,0,0,0
2025-11-13,25/08/2025,6.81,500,6.82,6.82,6.81,0,0,0
2025-11-13,22/08/2025,6.81,400,6.97,6.97,6.80,0,0,0
2025-11-13,21/08/2025,6.70,700,6.70,6.70,6.70,0,0,0
2025-11-13,20/08/2025,6.89,2800,6.89,6.89,6.89,0,0,0
2025-11-13,19/08/2025,6.89,2800,6.85,6.89,6.85,0,0,0
2025-11-13,18/08/2025,6.85,600,6.85,6.85,6.85,0,0,0
2025-11-13,15/08/2025,6.85,16100,7,7,6.84,0,0,0
2025-11-13,14/08/2025,7,3300,7.10,7.11,7,0,0,0
2025-11-13,13/08/2025,7.10,6500,7.21,7.21,7.10,0,0,0
2025-11-13,12/08/2025,7.21,9200,6.89,7.70,6.89,0,0,0
2025-11-13,11/08/2025,7.20,3900,7.10,7.35,7.10,0,0,0
2025-11-13,08/08/2025,7.10,1200,7.09,7.35,7.09,0,0,0
2025-11-13,07/08/2025,7.09,2800,6.83,7.40,6.83,0,0,0
2025-11-13,06/08/2025,7.24,2000,7.50,7.50,7.24,0,0,0
2025-11-13,05/08/2025,7.50,10700,7.20,7.70,7.10,0,0,0
2025-11-13,04/08/2025,7.20,7100,7.20,7.20,7.10,0,0,0
2025-11-13,01/08/2025,7.40,36800,7.50,7.50,7.15,0,0,0
2025-11-13,31/07/2025,7.05,3500,7.16,7.16,7,0,0,0
2025-11-13,30/07/2025,7.16,2500,7.16,7.16,7.10,0,0,0
2025-11-13,29/07/2025,7.18,8100,7.25,7.25,7,0,0,0
2025-11-13,28/07/2025,7.25,7400,7.28,7.30,7.18,0,0,0
2025-11-13,25/07/2025,7.20,8900,7.15,7.20,7.15,0,0,0
2025-11-13,24/07/2025,7.25,2400,7.01,7.26,7.01,0,0,0
2025-11-13,23/07/2025,7.03,41400,7.14,7.14,6.96,0,0,0
2025-11-13,22/07/2025,7.16,4100,7.01,7.20,7,0,0,0
2025-11-13,21/07/2025,7,13900,7.16,7.27,7,0,0,0
2025-11-13,18/07/2025,7.16,26200,7.24,7.24,7.02,0,0,0
2025-11-13,17/07/2025,7.24,6800,7.16,7.25,7.15,0,0,0
2025-11-13,16/07/2025,7.20,3900,7.28,7.28,7.18,0,0,0
2025-11-13,15/07/2025,7.28,18300,7,7.29,7,0,0,0
2025-11-13,14/07/2025,7,12100,7.29,7.30,7,0,0,0
2025-11-13,11/07/2025,7.20,32700,7.18,7.20,7.16,0,0,0
2025-11-13,10/07/2025,7.16,400,7.10,7.16,7.10,0,0,0
