date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.30,4000,4.30,4.30,4.30,0,0,0
2025-11-13,11/11/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,10/11/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,07/11/2025,4.30,11000,4.30,4.30,4.30,0,0,0
2025-11-13,06/11/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,05/11/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,04/11/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,03/11/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,31/10/2025,4.30,1100,4.30,4.30,4.30,0,0,0
2025-11-13,30/10/2025,4.40,300,4.40,4.40,4.40,0,0,0
2025-11-13,29/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,28/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,27/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,24/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,23/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,22/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,21/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,20/10/2025,4.20,600,4.20,4.20,4.20,0,0,0
2025-11-13,17/10/2025,4.20,1700,4.20,4.20,4.20,0,0,0
2025-11-13,16/10/2025,4.20,400,4.20,4.20,4.20,0,0,0
2025-11-13,15/10/2025,4.30,900,4.20,4.30,4.20,0,0,0
2025-11-13,14/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,13/10/2025,4.40,0,4.40,4.40,4.40,0,0,0
2025-11-13,10/10/2025,4.40,100,4.40,4.40,4.40,0,0,0
2025-11-13,09/10/2025,4.20,17800,4.20,4.20,4.20,0,0,0
2025-11-13,08/10/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,07/10/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,06/10/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,03/10/2025,4.30,1100,4.30,4.30,4.30,0,0,0
2025-11-13,02/10/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,01/10/2025,4.20,300,4.20,4.20,4.20,0,0,0
2025-11-13,30/09/2025,4.30,19100,4.20,4.30,4.20,0,0,0
2025-11-13,29/09/2025,4.20,18000,4.20,4.20,4.20,0,0,0
2025-11-13,26/09/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,25/09/2025,4.20,8000,4.20,4.20,4.20,0,0,0
2025-11-13,24/09/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,23/09/2025,4.10,1000,4.10,4.10,4.10,0,0,0
2025-11-13,22/09/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,19/09/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,18/09/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,17/09/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,16/09/2025,4.10,5800,4.20,4.20,4.10,0,0,0
2025-11-13,15/09/2025,4.20,300,4.10,4.20,4.10,0,0,0
2025-11-13,12/09/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,11/09/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,10/09/2025,4.10,2000,4.10,4.10,4.10,0,0,0
2025-11-13,09/09/2025,4.10,3100,4.20,4.20,4.10,0,0,0
2025-11-13,08/09/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,05/09/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,04/09/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,03/09/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,29/08/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,28/08/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,27/08/2025,4.20,200,4.20,4.20,4.20,0,0,0
2025-11-13,26/08/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,25/08/2025,4.20,400,4.20,4.20,4.20,0,0,0
2025-11-13,22/08/2025,4.20,100,4.20,4.20,4.20,0,0,0
2025-11-13,21/08/2025,4.10,600,4.20,4.20,4.10,0,0,0
2025-11-13,20/08/2025,4.20,300,4.20,4.20,4.20,0,0,0
2025-11-13,19/08/2025,4.10,3100,4.20,4.20,4.10,0,0,0
2025-11-13,18/08/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,15/08/2025,4.10,2200,4.10,4.10,4.10,0,0,0
2025-11-13,14/08/2025,4.10,4400,4.10,4.30,4.10,0,0,0
2025-11-13,13/08/2025,4.20,0,4.20,4.20,4.20,0,0,0
2025-11-13,12/08/2025,4.20,100,4.20,4.20,4.20,0,0,0
2025-11-13,11/08/2025,4.10,0,4.10,4.10,4.10,0,0,0
2025-11-13,08/08/2025,4.10,2900,4.10,4.10,4.10,0,0,0
2025-11-13,07/08/2025,4.30,800,4.10,4.30,4.10,0,0,0
2025-11-13,06/08/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,05/08/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,04/08/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,01/08/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,31/07/2025,4.60,0,4.60,4.60,4.60,0,0,0
2025-11-13,30/07/2025,4.50,1400,4.90,5.50,4.20,0,0,0
2025-11-13,29/07/2025,4.90,100,4.90,4.90,4.90,0,0,0
2025-11-13,28/07/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,25/07/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,24/07/2025,4.60,1800,4.10,4.60,4.10,0,0,0
2025-11-13,23/07/2025,4.10,400,4.10,4.10,4.10,0,0,0
2025-11-13,22/07/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,21/07/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,18/07/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,17/07/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,16/07/2025,4.30,0,4.30,4.30,4.30,0,0,0
2025-11-13,15/07/2025,4.30,100,4.30,4.30,4.30,0,0,0
2025-11-13,14/07/2025,4.20,0,4.20,4.20,4.20,0,0,0
