date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,26.10,58300,25.80,26.30,25.70,2900,2095,0.0
2025-11-13,11/11/2025,26,95900,25.80,26,25.60,200,18800,-0.5
2025-11-13,10/11/2025,25.80,74600,26.50,26.50,25.80,500,23200,-0.6
2025-11-13,07/11/2025,26.50,171100,26.80,26.90,25.90,5900,12100,-0.2
2025-11-13,06/11/2025,26.90,42700,26.90,26.90,26.60,0,2400,-0.1
2025-11-13,05/11/2025,27,173800,27.80,27.80,26.60,600,25200,-0.7
2025-11-13,04/11/2025,26.80,210600,26.20,28,25.70,1000,35900,-0.9
2025-11-13,03/11/2025,26.50,205400,26.80,26.80,26.20,88400,3100,2.3
2025-11-13,31/10/2025,26.60,137500,26.90,27.30,26.60,12300,34300,-0.6
2025-11-13,30/10/2025,26.90,207300,26.60,27,26.50,32000,11000,0.6
2025-11-13,29/10/2025,26.50,156200,26.10,26.60,26,16300,4700,0.3
2025-11-13,28/10/2025,25.90,192900,26,26.10,25.40,23300,8500,0.4
2025-11-13,27/10/2025,26,69500,26.30,26.50,26,3100,13600,-0.3
2025-11-13,24/10/2025,26.20,131700,26.20,26.60,26,9100,5800,0.1
2025-11-13,23/10/2025,26.10,156900,25.80,26.90,25.80,1300,7400,-0.2
2025-11-13,22/10/2025,25.80,168800,25.80,26.20,25.40,6500,8100,-0.0
2025-11-13,21/10/2025,25.70,545900,25,25.90,25,138800,22000,3.0
2025-11-13,20/10/2025,24.90,500800,29.70,29.70,24.90,62500,59700,-0.0
2025-11-13,17/10/2025,27.40,192900,27.20,27.50,27.10,0,16200,-0.4
2025-11-13,16/10/2025,27.20,271800,27,27.30,26.70,23900,27700,-0.1
2025-11-13,15/10/2025,26.90,342400,27.30,27.50,26.90,0,31800,-0.9
2025-11-13,14/10/2025,27.30,866200,28.20,28.40,27.20,2200,59700,-1.6
2025-11-13,13/10/2025,28.20,474300,29.20,29.20,28.20,3200,33600,-0.9
2025-11-13,10/10/2025,29.20,262300,29,29.50,28.80,8300,13900,-0.2
2025-11-13,09/10/2025,29,212800,29.30,29.30,28.70,0,0,0
2025-11-13,08/10/2025,28.90,245800,29.30,29.50,28.60,1600,85900,-2.4
2025-11-13,07/10/2025,28.80,249000,29.10,29.50,28.70,2100,3800,-0.0
2025-11-13,06/10/2025,29,151500,28.30,29.10,28.20,5900,10300,-0.1
2025-11-13,03/10/2025,28.20,303100,28.70,28.70,28.10,3400,42100,-1.1
2025-11-13,02/10/2025,28.70,293600,29.40,29.40,28.50,31400,34900,-0.1
2025-11-13,01/10/2025,29.40,171400,29.60,29.60,29,53500,11600,1.2
2025-11-13,30/09/2025,29.40,514200,29.40,29.60,28.20,234600,52700,5.3
2025-11-13,29/09/2025,29.40,485500,29.30,30.40,29.30,118400,20000,2.9
2025-11-13,26/09/2025,29.20,663800,29.90,30,29,15400,19000,-0.1
2025-11-13,25/09/2025,29.80,674300,29,29.90,28.90,47000,50100,-0.1
2025-11-13,24/09/2025,29,206800,27.80,29,26.90,12100,18400,-0.2
2025-11-13,23/09/2025,28.60,266500,28.80,29.30,28.20,11000,33000,-0.6
2025-11-13,22/09/2025,28.70,431500,29.80,30.40,28.70,36300,56400,-0.6
2025-11-13,19/09/2025,29.80,688500,28.70,30,28.70,62300,28700,1.0
2025-11-13,18/09/2025,28.50,232000,28.60,28.80,28.30,31100,10500,0.6
2025-11-13,17/09/2025,28.60,446700,28.90,29.10,28.40,73400,30600,1.2
2025-11-13,16/09/2025,28.90,602300,29.70,30,28.80,110600,16100,2.8
2025-11-13,15/09/2025,29.80,790300,29,29.80,28.80,112900,61400,1.5
2025-11-13,12/09/2025,28.70,1053300,27,28.90,27,141400,48700,2.6
2025-11-13,11/09/2025,27,246100,26.90,27.10,26.40,8100,27400,-0.5
2025-11-13,10/09/2025,26.90,195100,27,27.40,26.70,11700,3900,0.2
2025-11-13,09/09/2025,26.80,269100,26.60,26.90,26.50,4500,10600,-0.2
