date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,6.20,96800,5.84,6.20,5.84,0,0,0
2025-11-13,11/11/2025,5.84,37400,5.80,5.96,5.72,0,0,0
2025-11-13,10/11/2025,5.74,67800,5.82,5.90,5.74,0,0,0
2025-11-13,07/11/2025,5.82,25800,5.90,5.98,5.81,0,2700,-0.0
2025-11-13,06/11/2025,5.95,55600,6,6,5.70,0,2200,-0.0
2025-11-13,05/11/2025,5.99,102100,6,6.10,5.85,0,4600,-0.0
2025-11-13,04/11/2025,6,313600,5.76,6.16,5.73,3900,0,0.0
2025-11-13,03/11/2025,5.76,45000,5.80,5.82,5.76,1800,0,0.0
2025-11-13,31/10/2025,5.80,119900,5.82,5.98,5.78,4600,0,0.0
2025-11-13,30/10/2025,5.77,63300,5.88,5.88,5.69,0,4100,-0.0
2025-11-13,29/10/2025,5.80,50500,5.75,5.90,5.70,0,500,-0.0
2025-11-13,28/10/2025,5.72,71100,5.80,5.80,5.60,0,1200,-0.0
2025-11-13,27/10/2025,5.70,110200,5.81,5.85,5.60,0,2500,-0.0
2025-11-13,24/10/2025,5.81,61300,5.82,5.82,5.75,4600,900,0.0
2025-11-13,23/10/2025,5.82,44600,5.80,5.83,5.76,0,0,0
2025-11-13,22/10/2025,5.80,59000,5.80,5.80,5.51,0,100,-0.0
2025-11-13,21/10/2025,5.80,72800,5.61,5.80,5.55,2600,0,0.0
2025-11-13,20/10/2025,5.61,78400,5.85,5.85,5.61,0,3100,-0.0
2025-11-13,17/10/2025,5.85,65200,5.91,5.91,5.70,300,1700,-0.0
2025-11-13,16/10/2025,5.91,56300,5.90,5.95,5.80,0,2700,-0.0
2025-11-13,15/10/2025,5.90,36000,5.80,5.90,5.70,0,2100,-0.0
2025-11-13,14/10/2025,5.80,41200,5.90,6,5.75,0,700,-0.0
2025-11-13,13/10/2025,5.84,28500,5.80,5.88,5.75,0,0,0
2025-11-13,10/10/2025,5.81,53100,6.02,6.02,5.81,1400,3000,-0.0
2025-11-13,09/10/2025,6,123400,5.95,6.20,5.75,0,0,0
2025-11-13,08/10/2025,5.94,133900,6,6,5.75,0,100,-0.0
2025-11-13,07/10/2025,6,143300,5.91,6.05,5.85,0,0,0
2025-11-13,06/10/2025,5.89,147200,5.60,5.93,5.55,0,0,0
2025-11-13,03/10/2025,5.55,82300,5.50,5.65,5.40,0,0,0
2025-11-13,02/10/2025,5.57,94900,5.59,5.61,5.48,3100,0,0.0
2025-11-13,01/10/2025,5.59,52600,5.40,5.60,5.40,3000,0,0.0
2025-11-13,30/09/2025,5.49,17700,5.50,5.50,5.38,0,0,0
2025-11-13,29/09/2025,5.50,41000,5.50,5.55,5.36,5300,400,0.0
2025-11-13,26/09/2025,5.58,45200,5.55,5.68,5.30,0,0,0
2025-11-13,25/09/2025,5.59,26100,5.72,5.72,5.56,0,2800,-0.0
2025-11-13,24/09/2025,5.60,40900,5.68,5.68,5.45,0,0,0
2025-11-13,23/09/2025,5.54,28200,5.53,5.70,5.45,0,0,0
2025-11-13,22/09/2025,5.53,84100,5.37,5.69,5.37,3500,0,0.0
2025-11-13,19/09/2025,5.67,49400,5.90,5.90,5.37,0,16700,-0.1
2025-11-13,18/09/2025,5.65,27400,5.52,5.67,5.52,0,0,0
2025-11-13,17/09/2025,5.60,50800,5.64,5.87,5.60,0,0,0
2025-11-13,16/09/2025,5.74,48400,5.85,5.85,5.69,600,0,0.0
2025-11-13,15/09/2025,5.88,115400,6,6.10,5.70,5800,0,0.0
2025-11-13,12/09/2025,5.90,116200,5.97,5.97,5.70,4300,0,0.0
2025-11-13,11/09/2025,5.78,140700,5.71,5.80,5.60,2000,8500,-0.0
2025-11-13,10/09/2025,5.77,105300,5.63,5.98,5.63,3000,6100,-0.0
2025-11-13,09/09/2025,5.80,167800,6.09,6.09,5.63,1000,0,0.0
2025-11-13,08/09/2025,5.80,473800,5.91,6.24,5.61,0,0,0
2025-11-13,05/09/2025,5.85,440400,6.40,6.40,5.85,9600,0,0.1
2025-11-13,04/09/2025,6.27,971900,6,6.28,6,0,0,0
2025-11-13,03/09/2025,5.87,445100,5.86,5.87,5.58,0,0,0
2025-11-13,29/08/2025,5.49,567800,5.12,5.49,5.12,0,0,0
2025-11-13,28/08/2025,5.14,17500,5.13,5.15,5.09,0,0,0
2025-11-13,27/08/2025,5.14,70700,5.01,5.16,5.01,0,0,0
2025-11-13,26/08/2025,5.14,14900,5.15,5.15,5.03,0,0,0
2025-11-13,25/08/2025,5.15,5100,5.24,5.24,5,0,0,0
2025-11-13,22/08/2025,5.15,93100,5.18,5.18,4.75,0,300,-0.0
2025-11-13,21/08/2025,5.10,39100,5.19,5.19,5,0,3500,-0.0
2025-11-13,20/08/2025,5.11,59800,5.18,5.18,5,0,1500,-0.0
2025-11-13,19/08/2025,5.18,61800,5.20,5.28,5.16,0,700,-0.0
2025-11-13,18/08/2025,5.17,19100,5.20,5.27,5.17,0,1200,-0.0
2025-11-13,15/08/2025,5.20,65100,5.30,5.30,5.18,0,15500,-0.1
2025-11-13,14/08/2025,5.27,56000,5.29,5.29,5.18,500,1200,-0.0
2025-11-13,13/08/2025,5.29,186400,5.20,5.30,5.15,0,200,-0.0
2025-11-13,12/08/2025,5.20,74800,5.25,5.29,5.10,200,900,-0.0
2025-11-13,11/08/2025,5.29,77700,5.35,5.35,5.20,7000,3000,0.0
2025-11-13,08/08/2025,5.29,55300,5.23,5.29,5.20,100,4600,-0.0
2025-11-13,07/08/2025,5.29,69400,5.40,5.40,5.19,0,0,0
2025-11-13,06/08/2025,5.29,56100,5.35,5.39,5.29,0,0,0
2025-11-13,05/08/2025,5.29,75700,5.34,5.34,5.21,0,0,0
2025-11-13,04/08/2025,5.30,139600,5.20,5.30,5.20,3600,0,0.0
2025-11-13,01/08/2025,5.20,132200,5.20,5.24,5.10,0,0,0
2025-11-13,31/07/2025,5.20,119500,5.24,5.25,5.05,0,0,0
2025-11-13,30/07/2025,5.20,170400,4.70,5.29,4.70,800,1400,-0.0
2025-11-13,29/07/2025,5,168000,5.39,5.39,5,900,0,0.0
2025-11-13,28/07/2025,5.20,126500,5.15,5.39,5.15,3400,0,0.0
2025-11-13,25/07/2025,5.25,78300,5.19,5.38,5.15,0,2100,-0.0
2025-11-13,24/07/2025,5.18,62700,5.20,5.40,5.16,0,0,0
2025-11-13,23/07/2025,5.20,168700,5.15,5.49,5.07,0,0,0
2025-11-13,22/07/2025,5.15,48800,5.10,5.30,5.10,2100,400,0.0
2025-11-13,21/07/2025,5.23,73400,5.49,5.49,5.20,0,200,-0.0
2025-11-13,18/07/2025,5.35,63200,5.39,5.50,5.31,0,1400,-0.0
2025-11-13,17/07/2025,5.38,91400,5.30,5.65,5.13,400,800,-0.0
2025-11-13,16/07/2025,5.38,152700,5.21,5.39,5.05,200,100,0.0
2025-11-13,15/07/2025,5.22,89900,5.33,5.39,5.22,0,0,0
2025-11-13,14/07/2025,5.39,136600,5.46,5.70,5.25,2200,8400,-0.0
2025-11-13,11/07/2025,5.45,645900,5.15,5.45,4.81,78100,10500,0
2025-11-13,10/07/2025,5.15,220900,5.15,5.15,5.15,0,0,0
2025-11-13,09/07/2025,4.82,15800,4.82,4.82,4.82,0,0,0
2025-11-13,08/07/2025,4.51,205100,4.24,4.51,4.22,2600,0,0.0
2025-11-13,07/07/2025,4.22,36900,4.21,4.22,4.14,400,0,0.0
2025-11-13,04/07/2025,4.20,26500,4.14,4.29,4.14,0,0,0
2025-11-13,03/07/2025,4.19,34600,4.18,4.20,4.17,0,0,0
2025-11-13,02/07/2025,4.18,23800,4.18,4.20,4.14,0,0,0
2025-11-13,01/07/2025,4.14,26300,4.16,4.21,4.14,0,0,0
2025-11-13,30/06/2025,4.21,95000,4.10,4.25,4.10,500,3900,-0.0
2025-11-13,27/06/2025,4.10,19200,4.19,4.20,4.10,0,0,0
2025-11-13,26/06/2025,4.19,66900,4.16,4.20,4.10,0,0,0
2025-11-13,25/06/2025,4.19,46100,4.16,4.20,4.08,0,0,0
2025-11-13,24/06/2025,4.19,20000,4.17,4.25,4.17,0,0,0
