date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,19.60,0,19.60,19.60,19.60,0,0,0
2025-11-13,11/11/2025,19.60,600,19.60,19.60,19.60,0,0,0
2025-11-13,10/11/2025,21.70,100,21.70,21.70,21.70,0,0,0
2025-11-13,07/11/2025,19.80,0,19.80,19.80,19.80,0,0,0
2025-11-13,06/11/2025,19.80,200,19.80,19.80,19.80,0,0,0
2025-11-13,05/11/2025,19.60,1400,18.80,19.60,18.50,0,0,0
2025-11-13,04/11/2025,18.90,500,18.20,19.80,18.20,0,0,0
2025-11-13,03/11/2025,19.30,1100,18.70,19.30,18.70,0,0,0
2025-11-13,31/10/2025,19.40,3200,19.90,19.90,18.60,0,0,0
2025-11-13,30/10/2025,20.50,0,20.50,20.50,20.50,0,0,0
2025-11-13,29/10/2025,20.50,300,18.70,20.50,18.70,0,0,0
2025-11-13,28/10/2025,18.70,100,18.70,18.70,18.70,0,0,0
2025-11-13,27/10/2025,18.90,6100,18.90,18.90,18.30,0,0,0
2025-11-13,24/10/2025,19.90,400,18.90,19.90,18.30,0,0,0
2025-11-13,23/10/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,22/10/2025,19.90,100,19.90,19.90,19.90,100,0,0.0
2025-11-13,21/10/2025,19.90,300,19.90,19.90,19.90,300,0,0.0
2025-11-13,20/10/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,17/10/2025,19.90,400,22.30,22.30,19.90,0,0,0
2025-11-13,16/10/2025,21.40,100,21.40,21.40,21.40,0,0,0
2025-11-13,15/10/2025,19.80,100,19.80,19.80,19.80,0,0,0
2025-11-13,14/10/2025,19.30,400,21.30,22.70,19.30,0,0,0
2025-11-13,13/10/2025,20.70,300,20.90,20.90,20.70,200,0,0.0
2025-11-13,10/10/2025,19.90,0,19.90,19.90,19.90,0,0,0
2025-11-13,09/10/2025,19.90,200,19.90,19.90,19.90,0,0,0
2025-11-13,08/10/2025,19.70,200,19.70,19.70,19.70,0,0,0
2025-11-13,07/10/2025,19.70,500,19.70,19.70,19.70,0,0,0
2025-11-13,06/10/2025,19.80,600,19.80,19.80,19.30,0,0,0
2025-11-13,03/10/2025,19.80,500,19,19.90,19,0,200,-0.0
2025-11-13,02/10/2025,18.90,300,18.70,18.90,18.70,0,0,0
2025-11-13,01/10/2025,20,400,19.90,20,19.90,0,0,0
2025-11-13,30/09/2025,20.30,0,20.30,20.30,20.30,0,0,0
2025-11-13,29/09/2025,20.30,100,20.30,20.30,20.30,0,0,0
2025-11-13,26/09/2025,20.50,700,19.80,20.50,19.80,0,0,0
2025-11-13,25/09/2025,20.20,500,19,20.30,19,0,0,0
2025-11-13,24/09/2025,19.90,200,19.90,19.90,19.90,0,0,0
2025-11-13,23/09/2025,19.90,800,20.50,20.50,18.40,0,0,0
2025-11-13,22/09/2025,19.90,1000,19.50,19.90,19.50,0,0,0
2025-11-13,19/09/2025,19.40,600,20.30,21,19.40,0,0,0
2025-11-13,18/09/2025,20.30,300,20,20.30,19.80,0,0,0
2025-11-13,17/09/2025,20,100,20,20,20,0,100,-0.0
2025-11-13,16/09/2025,20,100,20,20,20,0,0,0
2025-11-13,15/09/2025,20,1600,19.50,20,19.40,0,0,0
2025-11-13,12/09/2025,20.80,100,20.80,20.80,20.80,0,0,0
2025-11-13,11/09/2025,19.90,200,19.90,19.90,19.90,0,0,0
2025-11-13,10/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,09/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,08/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,05/09/2025,21.60,400,20,21.80,20,0,0,0
2025-11-13,04/09/2025,19.90,400,19.80,19.90,19.80,0,0,0
2025-11-13,03/09/2025,19.20,1300,21.50,21.50,19.20,100,0,0.0
2025-11-13,29/08/2025,21,500,19.70,21,19.70,0,0,0
2025-11-13,28/08/2025,21.10,600,19.50,21.10,19.50,0,0,0
2025-11-13,27/08/2025,21.10,200,19.10,21.10,19.10,0,0,0
2025-11-13,26/08/2025,20.20,0,20.20,20.20,20.20,0,0,0
2025-11-13,25/08/2025,20.20,0,20.20,20.20,20.20,0,0,0
2025-11-13,22/08/2025,20.20,1600,20.30,21.40,20.20,0,0,0
2025-11-13,21/08/2025,21.20,1400,21,21.30,20.30,0,0,0
2025-11-13,20/08/2025,22.10,600,19.90,22.10,19.90,0,0,0
2025-11-13,19/08/2025,20.10,1500,20,20.10,20,0,0,0
2025-11-13,18/08/2025,20.90,0,20.90,20.90,20.90,0,0,0
2025-11-13,15/08/2025,20.90,300,20.90,20.90,19.60,0,0,0
2025-11-13,14/08/2025,21.40,5100,19.10,22,18.70,0,0,0
2025-11-13,13/08/2025,20,1100,21.20,21.20,18.90,0,0,0
2025-11-13,12/08/2025,19.70,600,19.20,20.20,19.20,0,0,0
2025-11-13,11/08/2025,20.20,300,19.40,20.20,19.40,0,0,0
2025-11-13,08/08/2025,20.30,1700,19.30,20.30,19.30,0,0,0
2025-11-13,07/08/2025,20.40,2200,20.70,20.70,19.60,0,0,0
2025-11-13,06/08/2025,20.70,100,20.70,20.70,20.70,0,0,0
2025-11-13,05/08/2025,20.60,8300,20.80,20.80,19.40,0,0,0
2025-11-13,04/08/2025,20.70,500,20.90,20.90,20.70,0,0,0
2025-11-13,01/08/2025,20.70,1000,19.80,20.70,19.80,0,0,0
2025-11-13,31/07/2025,20.80,1500,20.90,20.90,20.60,1000,0,0.0
2025-11-13,30/07/2025,20.60,200,20.70,20.70,20.60,0,0,0
2025-11-13,29/07/2025,20.90,2500,20.40,21,20.40,900,0,0.0
2025-11-13,28/07/2025,21.50,600,20.50,21.70,20.50,0,0,0
2025-11-13,25/07/2025,20.40,2300,20.20,21.90,20.10,0,0,0
2025-11-13,24/07/2025,22.10,100,22.10,22.10,22.10,0,0,0
2025-11-13,23/07/2025,20.70,2300,21.40,21.40,20.70,1000,0,0.0
2025-11-13,22/07/2025,21,1500,21,21,21,0,1100,-0.0
2025-11-13,21/07/2025,22.90,1100,21,22.90,20.40,0,0,0
2025-11-13,18/07/2025,21.50,2700,21,21.80,19.80,0,500,-0.0
2025-11-13,17/07/2025,21,1100,21.80,21.80,21,0,600,-0.0
2025-11-13,16/07/2025,22.20,100,22.20,22.20,22.20,0,0,0
2025-11-13,15/07/2025,21.10,0,21.10,21.10,21.10,0,0,0
2025-11-13,14/07/2025,21.10,100,21.10,21.10,21.10,0,0,0
2025-11-13,11/07/2025,20.40,300,20.30,20.40,20.30,0,0,0
2025-11-13,10/07/2025,22.50,100,22.50,22.50,22.50,0,0,0
2025-11-13,09/07/2025,20.50,200,20.50,20.50,20.50,0,0,0
2025-11-13,08/07/2025,22.20,0,22.20,22.20,22.20,0,0,0
2025-11-13,07/07/2025,22.20,1300,21,23.10,20.10,0,100,-0.0
2025-11-13,04/07/2025,21,2000,20.30,21,19.50,0,0,0
2025-11-13,03/07/2025,21,200,20.90,21,20.90,0,0,0
2025-11-13,02/07/2025,20.90,800,19.80,19.80,19.60,0,0,0
2025-11-13,01/07/2025,20.80,800,19.60,21,19.60,0,0,0
2025-11-13,30/06/2025,20.90,200,20.80,20.80,20.80,0,100,-0.0
2025-11-13,27/06/2025,20.80,200,20.70,20.70,20.70,0,0,0
2025-11-13,26/06/2025,20.70,5200,20.80,20.80,20.60,3900,0,0.1
2025-11-13,25/06/2025,20.70,800,20.60,21,20.60,0,0,0
2025-11-13,24/06/2025,20.60,200,19,20.60,19,0,0,0
