date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,22.50,20300,22.30,22.50,20.40,0,0,0,
2025-11-13,11/11/2025,22.50,10100,21.80,23,21.80,0,0,0,
2025-11-13,10/11/2025,21.70,14700,22,22.20,21.70,0,0,0,
2025-11-13,07/11/2025,22,11200,22.10,22.10,22,0,0,0,
2025-11-13,06/11/2025,22.40,22300,21.70,23,21.70,3300,0,0.1,
2025-11-13,05/11/2025,22.70,25500,22,22.70,21.80,200,0,0.0,
2025-11-13,04/11/2025,22.50,14500,23.20,23.20,22,0,200,-0.0,
2025-11-13,03/11/2025,23.20,103200,21.40,23.40,21.10,1800,400,0.0,
2025-11-13,31/10/2025,21.40,35300,21.20,21.50,21.20,0,200,-0.0,
2025-11-13,30/10/2025,21.20,39600,20.80,21.20,20.80,0,0,0,
2025-11-13,29/10/2025,20.80,104100,20.30,21.50,20.30,200,100,0.0,
2025-11-13,28/10/2025,20.30,34800,20.20,20.30,19.80,0,200,-0.0,
2025-11-13,27/10/2025,20.20,104300,20,21.10,19.80,500,0,0.0,
2025-11-13,24/10/2025,19.80,12000,19.70,19.80,19.70,0,0,0,
2025-11-13,23/10/2025,20,20100,19.80,20,19.80,0,0,0,
2025-11-13,22/10/2025,19.60,31600,19.80,19.80,19.60,0,0,0,
2025-11-13,21/10/2025,19.70,6400,19.70,19.80,19.70,0,0,0,
2025-11-13,20/10/2025,19.70,27000,19.70,19.90,19.70,0,100,-0.0,
2025-11-13,17/10/2025,19.70,5200,19.70,19.70,19.70,0,0,0,
2025-11-13,16/10/2025,19.70,31200,19.70,19.70,19.70,0,0,0,
2025-11-13,15/10/2025,19.60,8000,19.80,19.80,19.60,0,0,0,
2025-11-13,14/10/2025,19.80,5400,19.90,19.90,19.80,0,0,0,
2025-11-13,13/10/2025,19.90,23000,19.90,19.90,19.70,0,0,0,
2025-11-13,10/10/2025,19.90,43600,19.90,19.90,19.90,0,0,0,
2025-11-13,09/10/2025,19.80,10000,19.90,20.10,19.80,0,0,0,
2025-11-13,08/10/2025,20.30,0,20.30,20.30,20.30,0,0,0,
2025-11-13,07/10/2025,20.30,11500,20.20,20.30,20.10,300,300,-0,
2025-11-13,06/10/2025,20.20,5700,20.60,20.60,20.10,0,0,0,
2025-11-13,03/10/2025,20.20,100,20.20,20.20,20.20,0,0,0,
2025-11-13,02/10/2025,20,1000,20,20,20,0,0,0,
2025-11-13,01/10/2025,20,3600,20.60,22.50,19.90,0,0,0,
2025-11-13,30/09/2025,20.50,6000,20,20.50,20,0,0,0,
2025-11-13,29/09/2025,19.90,1000,20,20,19.90,0,0,0,
2025-11-13,26/09/2025,20.60,200,20.60,20.60,20.60,0,0,0,
2025-11-13,25/09/2025,20.60,1000,20.40,20.60,20.40,0,0,0,
2025-11-13,24/09/2025,20.40,2500,20,20.40,20,500,0,0.0,
2025-11-13,23/09/2025,20,7400,20,20.20,20,0,100,-0.0,
2025-11-13,22/09/2025,20.50,700,20.50,20.50,20.50,0,0,0,
2025-11-13,19/09/2025,20.60,0,20.60,20.60,20.60,0,0,0,
2025-11-13,18/09/2025,20.60,1000,20,20.60,19.70,0,0,0,
2025-11-13,17/09/2025,20.60,0,20.60,20.60,20.60,0,0,0,
2025-11-13,16/09/2025,20.60,4200,19.90,21.80,19.90,0,0,0,
2025-11-13,15/09/2025,19.90,4300,19.90,19.90,19.90,0,0,0,
2025-11-13,12/09/2025,19.90,11400,20.60,21.70,19.80,0,8700,-0.2,
2025-11-13,11/09/2025,19.80,2900,19.80,19.80,19.70,0,1900,-0.0,
2025-11-13,10/09/2025,19.90,1400,19.90,19.90,19.70,0,100,-0.0,
2025-11-13,09/09/2025,19.90,7300,19.80,19.90,19.80,0,6000,-0.1,
