date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,51.30,69600,50.30,51.40,50.30,7900,3800,0.2,
2025-11-13,11/11/2025,50.40,9400,50.10,50.50,50,0,2900,-0.1,
2025-11-13,10/11/2025,50.10,46200,50.10,50.80,49.70,21200,2300,0.9,
2025-11-13,07/11/2025,50.10,120100,50.60,51.40,50,18900,10200,0.4,
2025-11-13,06/11/2025,51.40,46200,51.30,51.60,51.10,0,4000,-0.2,
2025-11-13,05/11/2025,51.80,50000,51.50,52,51.30,1500,8100,-0.3,
2025-11-13,04/11/2025,52,135500,51.30,52,50.40,22100,7900,0.7,
2025-11-13,03/11/2025,51.90,81300,52.90,53,51.90,0,9500,-0.5,
2025-11-13,31/10/2025,52.30,210500,52.30,53.20,51.60,43700,3900,2.1,
2025-11-13,30/10/2025,52.30,66500,51.90,52.30,51.20,8600,6800,0.1,
2025-11-13,29/10/2025,52.20,153200,51.70,52.50,51.50,35100,2200,1.7,
2025-11-13,28/10/2025,51.70,36400,51.80,51.80,51.10,1100,7800,-0.3,
2025-11-13,27/10/2025,51.80,201000,51.50,53.40,51.50,40300,11400,1.5,
2025-11-13,24/10/2025,51.20,46100,51.20,51.50,50.90,2100,5300,-0.2,
2025-11-13,23/10/2025,51.60,108300,50.40,52.20,49.50,14200,4100,0.5,
2025-11-13,22/10/2025,50.80,40700,49.65,50.80,49.45,12700,6500,0.3,
2025-11-13,21/10/2025,49.65,198400,49,49.70,48.50,37200,17600,1.0,
2025-11-13,20/10/2025,48.45,102200,51,52.50,48,7600,12200,-0.2,
2025-11-13,17/10/2025,51,127100,51.40,51.40,50.10,37500,8700,1.5,
2025-11-13,16/10/2025,51.30,303800,48.95,51.50,48.95,212000,4600,10.5,
2025-11-13,15/10/2025,49.10,186200,49.40,49.40,48.60,82000,0,4.0,
2025-11-13,14/10/2025,48.60,202200,48.80,49.90,48.50,13000,4400,0.4,
2025-11-13,13/10/2025,47.95,125200,47.25,48.40,47.05,7900,800,0.3,
2025-11-13,10/10/2025,47.25,72700,47.80,47.80,47.20,0,1600,-0.1,
2025-11-13,09/10/2025,47.25,73600,47,47.65,47,0,0,0,
2025-11-13,08/10/2025,47.35,35900,47.80,48,47.30,0,9400,-0.4,
2025-11-13,07/10/2025,47.20,56300,47.40,47.50,46.80,100,10900,-0.5,
2025-11-13,06/10/2025,47.20,93800,47,47.25,46.65,7700,2800,0.2,
2025-11-13,03/10/2025,46.85,172800,47,47.10,46.30,10000,28800,-0.9,
2025-11-13,02/10/2025,47,54600,48,48,47,1500,7200,-0.3,
2025-11-13,01/10/2025,47.50,29600,47.80,48.30,47.50,100,5800,-0.3,
2025-11-13,30/09/2025,47.80,205600,48,48.15,46.60,5700,10100,-0.2,
2025-11-13,29/09/2025,47.80,294300,48.90,48.95,47.30,8100,31500,-1.1,
2025-11-13,26/09/2025,49.35,99300,50.30,50.30,49.35,0,28800,-1.4,
2025-11-13,25/09/2025,50.30,92200,50.10,50.40,49.90,10700,5300,0.3,
2025-11-13,24/09/2025,50,70900,49.90,50.10,49.70,400,10900,-0.5,
2025-11-13,23/09/2025,49.70,114600,50.30,50.30,49.65,0,41700,-2.1,
2025-11-13,22/09/2025,50,301600,51.10,51.20,49.55,0,62700,-3.1,
2025-11-13,19/09/2025,51.50,92200,52,52,51.40,400,13400,-0.7,
2025-11-13,18/09/2025,51.80,128100,52.20,52.30,51.80,1600,27200,-1.3,
2025-11-13,17/09/2025,52.20,161200,52.20,52.50,52,19100,5300,0.7,
2025-11-13,16/09/2025,52.20,211800,52.80,52.80,52,29200,20500,0.5,
2025-11-13,15/09/2025,52.70,368600,51.50,53.10,51.20,91900,15300,4.0,
2025-11-13,12/09/2025,51.50,202700,51.30,51.60,50.90,43200,15000,1.4,
2025-11-13,11/09/2025,51,124000,51.40,51.60,50.80,3800,11900,-0.4,
2025-11-13,10/09/2025,51.40,158100,51.40,51.90,51,2500,23100,-1.1,
2025-11-13,09/09/2025,51.40,209600,52.30,52.30,51,1200,40200,-2.0,
2025-11-13,08/09/2025,51.90,352200,50.90,52.50,50.90,43400,5500,2.0,
2025-11-13,05/09/2025,50.80,250100,51,52,50.80,47800,4500,2.2,
2025-11-13,04/09/2025,51,284600,50.90,51.40,50.50,69500,1000,3.5,
