date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,86.40,88700,85,90.20,84,0,28600,-2.4,
2025-11-13,11/11/2025,84.90,62400,78,85,78,2900,400,0.2,
2025-11-13,10/11/2025,78,101200,78.80,80,75,5100,44000,-3.0,
2025-11-13,07/11/2025,79,29300,78.80,79,77,200,2700,-0.2,
2025-11-13,06/11/2025,79.40,20700,76.20,80.90,76.20,200,1700,-0.1,
2025-11-13,05/11/2025,78.80,43100,80.80,80.80,78.70,1400,21300,-1.6,
2025-11-13,04/11/2025,80.80,50100,81.10,81.20,79,2400,9900,-0.6,
2025-11-13,03/11/2025,81,408900,75,81.20,74.80,0,112400,-9.1,
2025-11-13,31/10/2025,73.90,147300,72.30,73.90,71.70,200,101500,-7.3,
2025-11-13,30/10/2025,72.30,42200,72.40,73,71.20,2000,15600,-1.0,
2025-11-13,29/10/2025,71.40,46600,71.20,72.10,70.60,400,12400,-0.9,
2025-11-13,28/10/2025,72.50,48500,71.10,72.50,71.10,0,2400,-0.2,
2025-11-13,27/10/2025,73,17600,73.40,74.50,70.30,100,0,0.0,
2025-11-13,24/10/2025,73.50,41800,75,75,72.20,100,100,0,
2025-11-13,23/10/2025,73.20,149800,70,73.50,70,2500,21400,-1.4,
2025-11-13,22/10/2025,68.20,9100,71.90,71.90,66.40,0,0,0,
2025-11-13,21/10/2025,65.60,23100,66,66,65.50,2600,300,0.2,
2025-11-13,20/10/2025,66,21500,67,67.50,66,200,200,0,
2025-11-13,17/10/2025,67.80,8000,68.30,68.30,67.50,0,1700,-0.1,
2025-11-13,16/10/2025,68.30,16900,67.70,68.30,67.40,1400,700,0.0,
2025-11-13,15/10/2025,68.50,2900,67,68.50,67,300,0,0.0,
2025-11-13,14/10/2025,68.20,15200,68.10,69.60,68.10,0,100,-0.0,
2025-11-13,13/10/2025,68.10,10400,69.50,69.50,68.10,600,0,0.0,
2025-11-13,10/10/2025,69.50,41000,70.60,70.60,69.20,200,0,0.0,
2025-11-13,09/10/2025,69.20,31000,68.80,69.20,68,0,0,0,
2025-11-13,08/10/2025,68.90,10900,68,69,68,400,0,0.0,
2025-11-13,07/10/2025,68.80,8800,68.60,68.80,68.20,100,0,0.0,
2025-11-13,06/10/2025,69,60300,67.90,69.90,66.50,1500,4900,-0.2,
2025-11-13,03/10/2025,67.90,33300,68,69,67.60,0,100,-0.0,
2025-11-13,02/10/2025,67.80,41600,69,72,67.80,1500,0,0.1,
