date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.40,317200,13.05,13.40,13.05,24200,32500,-0.1
2025-11-13,11/11/2025,13.05,200400,13.10,13.10,12.85,100,23800,-0.3
2025-11-13,10/11/2025,12.85,492600,13.40,13.40,12.75,23600,57000,-0.4
2025-11-13,07/11/2025,13.20,377200,13.45,13.55,13.15,13000,92300,-1.1
2025-11-13,06/11/2025,13.40,460000,13.90,13.90,13.40,18000,66300,-0.7
2025-11-13,05/11/2025,13.70,910700,14.15,14.15,13.40,88700,32300,0.7
2025-11-13,04/11/2025,14.15,865400,13.65,14.40,13.45,41300,20000,0.3
2025-11-13,03/11/2025,14.15,1477500,13.40,14.15,13.40,170400,16600,2.1
2025-11-13,31/10/2025,13.25,341400,13.50,13.50,13.10,32300,12300,0.3
2025-11-13,30/10/2025,13.20,270800,13.60,13.60,13.20,16900,16200,0.0
2025-11-13,29/10/2025,13.50,341400,13.10,13.50,13.10,0,31400,-0.4
2025-11-13,28/10/2025,13.10,599700,13.15,13.20,12.25,41800,44700,-0.0
2025-11-13,27/10/2025,13.15,631500,13.30,13.45,13.15,254300,30500,3.0
2025-11-13,24/10/2025,13.25,422600,13.30,13.40,13.10,28600,70300,-0.6
2025-11-13,23/10/2025,13.35,428500,13.35,13.70,13.35,57500,75900,-0.3
2025-11-13,22/10/2025,13.40,472300,13.40,13.45,12.85,24800,139000,-1.5
2025-11-13,21/10/2025,13.35,1784000,13.60,13.65,12.80,50300,267900,-2.9
2025-11-13,20/10/2025,13.75,1435100,14.50,14.65,13.75,10700,76800,-0.9
2025-11-13,17/10/2025,14.75,1374500,14.85,15.10,14.65,245900,105300,2.1
2025-11-13,16/10/2025,14.80,1659900,14.30,14.80,14.20,264600,43800,3.2
2025-11-13,15/10/2025,14.20,538400,14.25,14.30,14,19700,11300,0.1
2025-11-13,14/10/2025,14.10,1114500,14.35,14.55,14.10,30200,88200,-0.8
2025-11-13,13/10/2025,14.30,972100,14.05,14.50,13.85,172300,144400,0.3
2025-11-13,10/10/2025,14.10,592000,14.20,14.30,14.10,9300,19200,-0.1
2025-11-13,09/10/2025,14.10,1108400,14.30,14.35,13.90,0,0,0
2025-11-13,08/10/2025,14.20,1063500,14.50,14.50,13.90,223500,110100,1.6
2025-11-13,07/10/2025,14.25,517100,14.60,14.60,14.25,7400,34500,-0.4
2025-11-13,06/10/2025,14.40,629100,14,14.60,14,51200,109800,-0.8
2025-11-13,03/10/2025,14,1244300,13.90,14,13.60,112500,209300,-1.3
2025-11-13,02/10/2025,14,1035500,14.65,14.65,13.95,15600,136500,-1.7
2025-11-13,01/10/2025,14.65,894700,14.15,14.65,14,25800,295800,-3.9
2025-11-13,30/09/2025,14.40,2550700,14.90,15.20,14.05,128600,281800,-2.2
2025-11-13,29/09/2025,15.10,1411900,15.55,15.80,15.05,0,169800,-2.6
2025-11-13,26/09/2025,15.40,3722400,15,15.70,14.70,631800,148600,7.5
2025-11-13,25/09/2025,14.85,1274700,14.75,15.30,14.65,123800,288900,-2.5
2025-11-13,24/09/2025,14.65,844700,14.25,14.95,14.25,106800,99100,0.1
2025-11-13,23/09/2025,14.30,1715500,15,15,14.30,29600,184300,-2.3
2025-11-13,22/09/2025,15.05,1535400,15.50,15.50,14.85,103900,237200,-2.0
2025-11-13,19/09/2025,15.10,4741700,14.20,15.10,14.20,592700,91300,7.4
2025-11-13,18/09/2025,14.15,418600,14,14.35,13.90,0,84200,-1.2
2025-11-13,17/09/2025,14,1738300,14,14.70,13.80,135200,144200,-0.2
2025-11-13,16/09/2025,13.80,610000,14.30,14.30,13.80,0,172700,-2.4
2025-11-13,15/09/2025,14.05,407000,14,14.10,13.85,800,47400,-0.7
