date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,25.60,100,25.60,25.60,25.60,0,0,0
2025-11-13,11/11/2025,25.60,100,25.60,25.60,25.60,0,0,0
2025-11-13,10/11/2025,25.50,100,25.50,25.50,25.50,0,0,0
2025-11-13,07/11/2025,25.50,1600,25,25.50,25,0,0,0
2025-11-13,06/11/2025,25,600,25,25,25,0,0,0
2025-11-13,05/11/2025,25.10,0,25.10,25.10,25.10,0,0,0
2025-11-13,04/11/2025,25,400,25.40,25.40,25,0,0,0
2025-11-13,03/11/2025,25.70,3000,25.70,25.70,25.70,0,0,0
2025-11-13,31/10/2025,25.70,1900,25.40,25.70,25.40,0,0,0
2025-11-13,30/10/2025,25.10,3200,25.10,25.50,25.10,0,0,0
2025-11-13,29/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,28/10/2025,25.50,500,25.50,25.50,25.50,0,0,0
2025-11-13,27/10/2025,25.10,1100,25.50,25.50,25.10,0,0,0
2025-11-13,24/10/2025,25.70,100,25.70,25.70,25.70,0,0,0
2025-11-13,23/10/2025,25.10,0,25.10,25.10,25.10,0,0,0
2025-11-13,22/10/2025,25.10,0,25.10,25.10,25.10,0,0,0
2025-11-13,21/10/2025,25,700,25.30,25.30,25,0,0,0
2025-11-13,20/10/2025,25.90,500,25.80,25.90,25.80,0,0,0
2025-11-13,17/10/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,16/10/2025,25.30,0,25.30,25.30,25.30,0,0,0
2025-11-13,15/10/2025,25.40,5100,25.80,25.80,25.30,0,0,0
2025-11-13,14/10/2025,26,200,26,26,26,0,0,0
2025-11-13,13/10/2025,26,0,26,26,26,0,0,0
2025-11-13,10/10/2025,26,400,25.90,26,25.90,0,0,0
2025-11-13,09/10/2025,25.90,300,25.30,25.90,25.30,0,0,0
2025-11-13,08/10/2025,25.30,2700,25.50,25.50,25.10,0,0,0
2025-11-13,07/10/2025,25.70,0,25.70,25.70,25.70,0,0,0
2025-11-13,06/10/2025,25.70,800,25.70,25.70,25.70,0,0,0
2025-11-13,03/10/2025,25.80,100,25.80,25.80,25.80,0,0,0
2025-11-13,02/10/2025,26,500,25.90,26,25.90,0,0,0
2025-11-13,01/10/2025,26,300,26,26,26,0,0,0
2025-11-13,30/09/2025,26,2200,25.90,26,25.90,0,0,0
2025-11-13,29/09/2025,25.20,500,25.20,25.20,25.20,0,0,0
2025-11-13,26/09/2025,25.10,5000,25.60,25.60,25.10,0,0,0
2025-11-13,25/09/2025,26.50,0,26.50,26.50,26.50,0,0,0
2025-11-13,24/09/2025,26.50,300,26.50,26.50,26.50,0,0,0
2025-11-13,23/09/2025,26.50,1600,26.30,26.50,26.30,0,0,0
2025-11-13,22/09/2025,26.20,1200,26,26.20,26,0,0,0
2025-11-13,19/09/2025,26.40,0,26.40,26.40,26.40,0,0,0
2025-11-13,18/09/2025,26.40,100,26.40,26.40,26.40,0,0,0
2025-11-13,17/09/2025,26,500,27,27,26,0,0,0
2025-11-13,16/09/2025,27,500,27,27,27,0,500,-0.0
2025-11-13,15/09/2025,26.20,200,26,26.20,26,0,0,0
2025-11-13,12/09/2025,25.90,8100,25.90,25.90,25.40,0,0,0
2025-11-13,11/09/2025,25.80,8400,26.20,26.20,25,0,0,0
2025-11-13,10/09/2025,26,300,25.40,26,25.40,0,0,0
2025-11-13,09/09/2025,25.60,300,25.40,25.60,25.40,0,0,0
2025-11-13,08/09/2025,25.50,1200,25.10,25.50,25.10,0,0,0
2025-11-13,05/09/2025,25,11100,25,25.10,25,0,0,0
2025-11-13,04/09/2025,25,39100,25.10,25.10,25,0,0,0
2025-11-13,03/09/2025,25.10,0,25.10,25.10,25.10,0,0,0
2025-11-13,29/08/2025,25.50,8600,25.60,25.60,25,0,0,0
2025-11-13,28/08/2025,26.90,4800,25.40,26.90,25.10,0,0,0
2025-11-13,27/08/2025,25.30,10100,25.70,25.70,25.30,0,0,0
2025-11-13,26/08/2025,25.70,0,25.70,25.70,25.70,0,0,0
2025-11-13,25/08/2025,25.70,10800,26,26,25.50,0,0,0
2025-11-13,22/08/2025,26,3400,26.80,26.80,26,0,0,0
2025-11-13,21/08/2025,26.80,0,26.80,26.80,26.80,0,0,0
2025-11-13,20/08/2025,26.80,200,26.80,26.80,26.80,0,0,0
2025-11-13,19/08/2025,26.80,14600,26.80,26.80,26.80,0,0,0
2025-11-13,18/08/2025,26.60,100,26.60,26.60,26.60,0,0,0
2025-11-13,15/08/2025,26.40,0,26.40,26.40,26.40,0,0,0
2025-11-13,14/08/2025,27,2100,26.50,27,26.10,0,0,0
2025-11-13,13/08/2025,26.40,0,26.40,26.40,26.40,0,0,0
2025-11-13,12/08/2025,26.40,600,26.40,26.40,26.40,0,0,0
2025-11-13,11/08/2025,26,4700,27.60,27.60,26,0,0,0
2025-11-13,08/08/2025,28,0,28,28,28,0,0,0
2025-11-13,07/08/2025,28,0,28,28,28,0,0,0
2025-11-13,06/08/2025,28,0,28,28,28,0,0,0
2025-11-13,05/08/2025,28,100,28,28,28,0,0,0
2025-11-13,04/08/2025,28,0,28,28,28,0,0,0
2025-11-13,01/08/2025,28,0,28,28,28,0,0,0
2025-11-13,31/07/2025,28,0,28,28,28,0,0,0
2025-11-13,30/07/2025,28,100,28,28,28,0,0,0
2025-11-13,29/07/2025,27,100,27,27,27,0,0,0
2025-11-13,28/07/2025,30.10,0,30.10,30.10,30.10,0,0,0
2025-11-13,25/07/2025,30.10,0,30.10,30.10,30.10,0,0,0
2025-11-13,24/07/2025,30.10,200,30.10,30.10,30.10,0,0,0
2025-11-13,23/07/2025,30.40,0,30.40,30.40,30.40,0,0,0
2025-11-13,22/07/2025,30.40,0,30.40,30.40,30.40,0,0,0
2025-11-13,21/07/2025,30.50,1900,30.10,30.50,30.10,0,0,0
2025-11-13,18/07/2025,30.50,1500,30.10,30.50,30.10,0,0,0
2025-11-13,17/07/2025,30.40,0,30.40,30.40,30.40,0,0,0
2025-11-13,16/07/2025,30.50,1500,30.10,30.50,30.10,0,0,0
2025-11-13,15/07/2025,30.50,2200,29.50,30.50,29.50,0,0,0
2025-11-13,14/07/2025,29,1200,30,30,29,0,0,0
2025-11-13,11/07/2025,26.70,0,26.70,26.70,26.70,0,0,0
2025-11-13,10/07/2025,27,300,26.60,27,26.60,0,0,0
2025-11-13,09/07/2025,27,300,27,27,27,0,0,0
2025-11-13,08/07/2025,26.90,0,26.90,26.90,26.90,0,0,0
2025-11-13,07/07/2025,26.80,500,27,27,26.80,300,0,0.0
2025-11-13,04/07/2025,27,0,27,27,27,0,0,0
2025-11-13,03/07/2025,27,0,27,27,27,0,0,0
2025-11-13,02/07/2025,27,100,27,27,27,0,100,-0.0
2025-11-13,01/07/2025,26.80,0,26.80,26.80,26.80,0,0,0
2025-11-13,30/06/2025,26.80,200,26.80,26.80,26.80,200,0,0.0
2025-11-13,27/06/2025,26.80,0,26.80,26.80,26.80,0,0,0
2025-11-13,26/06/2025,26.80,0,26.80,26.80,26.80,0,0,0
2025-11-13,25/06/2025,26.80,0,26.80,26.80,26.80,0,0,0
2025-11-13,24/06/2025,26.80,0,26.80,26.80,26.80,0,0,0
