date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,24.20,0,24.20,24.20,24.20,0,0,0,
2025-11-13,11/11/2025,24.20,0,24.20,24.20,24.20,0,0,0,
2025-11-13,10/11/2025,24.20,0,24.20,24.20,24.20,0,0,0,
2025-11-13,07/11/2025,24.20,0,24.20,24.20,24.20,0,0,0,
2025-11-13,06/11/2025,24.20,100,24.20,24.20,24.20,0,0,0,
2025-11-13,05/11/2025,22,1100,21.50,22,21.50,0,0,0,
2025-11-13,04/11/2025,20,1400,22,22,20,0,0,0,
2025-11-13,03/11/2025,22,0,22,22,22,0,0,0,
2025-11-13,31/10/2025,22,0,22,22,22,0,0,0,
2025-11-13,30/10/2025,22,0,22,22,22,0,0,0,
2025-11-13,29/10/2025,22,2800,22.30,22.30,21,0,0,0,
2025-11-13,28/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,27/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,24/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,23/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,22/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,21/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,20/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,17/10/2025,22.30,0,22.30,22.30,22.30,0,0,0,
2025-11-13,16/10/2025,22.30,200,22,22.30,22,0,0,0,
2025-11-13,15/10/2025,21.30,26600,18.20,21.30,18.20,0,0,0,
2025-11-13,14/10/2025,19.50,16700,19.50,19.50,19.50,0,0,0,
2025-11-13,13/10/2025,20.50,1600,20.50,20.50,20.50,0,0,0,
2025-11-13,10/10/2025,22.50,0,22.50,22.50,22.50,0,0,0,
2025-11-13,09/10/2025,22.50,0,22.50,22.50,22.50,0,0,0,
2025-11-13,08/10/2025,22.50,0,22.50,22.50,22.50,0,0,0,
2025-11-13,07/10/2025,22.50,0,22.50,22.50,22.50,0,0,0,
2025-11-13,06/10/2025,22.50,0,22.50,22.50,22.50,0,0,0,
2025-11-13,03/10/2025,22.50,100,22.50,22.50,22.50,0,0,0,
2025-11-13,02/10/2025,20.50,62100,18.50,20.50,18,0,0,0,
2025-11-13,01/10/2025,20,800,20.50,20.50,20,0,0,0,
