date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,27.70,1200,37.20,37.20,27.70,0,0,0
2025-11-13,11/11/2025,32.50,0,32.50,32.50,32.50,0,0,0
2025-11-13,10/11/2025,32.50,0,32.50,32.50,32.50,0,0,0
2025-11-13,07/11/2025,32.50,100,32.50,32.50,32.50,0,0,0
2025-11-13,06/11/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,05/11/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,04/11/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,03/11/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,31/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,30/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,29/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,28/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,27/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,24/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,23/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,22/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,21/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,20/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,17/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,16/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,15/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,14/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,13/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,10/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,09/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,08/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,07/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,06/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,03/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,02/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,01/10/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,30/09/2025,25.50,0,25.50,25.50,25.50,0,0,0
2025-11-13,29/09/2025,25.50,100,25.50,25.50,25.50,0,0,0
2025-11-13,26/09/2025,21.90,5000,21.90,24.80,21.90,0,0,0
2025-11-13,25/09/2025,21.80,100,21.80,21.80,21.80,0,0,0
2025-11-13,24/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,23/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,22/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,19/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,18/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,17/09/2025,21.60,0,21.60,21.60,21.60,0,0,0
2025-11-13,16/09/2025,22,1800,21.50,22,21.50,0,0,0
2025-11-13,15/09/2025,22,4000,22,22,22,0,0,0
2025-11-13,12/09/2025,21,1600,21,21,21,0,0,0
2025-11-13,11/09/2025,21,0,21,21,21,0,0,0
2025-11-13,10/09/2025,21,0,21,21,21,0,0,0
2025-11-13,09/09/2025,21,400,21,21,21,0,0,0
2025-11-13,08/09/2025,21,4400,21,21,21,0,0,0
2025-11-13,05/09/2025,21.30,4000,20.70,21.30,20.70,0,0,0
2025-11-13,04/09/2025,21.40,13200,20.70,21.40,19.10,0,0,0
2025-11-13,03/09/2025,19,13800,21.10,21.10,19,0,0,0
2025-11-13,29/08/2025,21.10,1300,20.10,21.20,20.10,0,0,0
2025-11-13,28/08/2025,22,15500,20.70,22,20.70,0,0,0
2025-11-13,27/08/2025,19.90,3500,20.20,20.20,19.90,0,0,0
2025-11-13,26/08/2025,20.20,2500,20.20,20.40,20.20,0,0,0
2025-11-13,25/08/2025,20,3000,20,20,20,0,0,0
2025-11-13,22/08/2025,18.30,0,18.30,18.30,18.30,0,0,0
2025-11-13,21/08/2025,18.30,0,18.30,18.30,18.30,0,0,0
2025-11-13,20/08/2025,18.30,300,18.30,18.30,18.30,0,0,0
2025-11-13,19/08/2025,21.80,1500,19.70,21.80,19.70,0,0,0
2025-11-13,18/08/2025,19.70,10400,18,19.70,18,0,0,0
2025-11-13,15/08/2025,18,1500,17,18,17,0,0,0
2025-11-13,14/08/2025,18,600,18,18,18,0,0,0
2025-11-13,13/08/2025,18.10,3600,18.10,18.10,18.10,0,1900,-0.0
2025-11-13,12/08/2025,17.40,0,17.40,17.40,17.40,0,0,0
2025-11-13,11/08/2025,17.30,1500,17.50,17.50,17.30,0,0,0
2025-11-13,08/08/2025,17.10,0,17.10,17.10,17.10,0,0,0
2025-11-13,07/08/2025,17.10,0,17.10,17.10,17.10,0,0,0
2025-11-13,06/08/2025,17.10,100,17.10,17.10,17.10,0,0,0
