date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,32.70,3400,32.70,32.70,32.50,900,0,0.0,
2025-11-13,11/11/2025,32.30,5100,32.20,33,32,600,0,0.0,
2025-11-13,10/11/2025,32.80,4700,33.30,33.30,32.40,400,0,0.0,
2025-11-13,07/11/2025,32.30,9000,33,33.20,32,0,0,0,
2025-11-13,06/11/2025,32.70,2900,32.70,32.70,32.70,0,0,0,
2025-11-13,05/11/2025,32.30,11500,33.40,33.40,32.30,0,2000,-0.1,
2025-11-13,04/11/2025,32.90,16300,33,33,32.30,0,1800,-0.1,
2025-11-13,03/11/2025,32.80,9600,32.80,33.50,32.80,0,0,0,
2025-11-13,31/10/2025,33,14500,33.60,33.80,33,0,11600,-0.4,
2025-11-13,30/10/2025,33.40,3200,33.30,33.40,33.10,0,0,0,
2025-11-13,29/10/2025,33.20,21900,33,33.80,33,3300,16500,-0.4,
2025-11-13,28/10/2025,33.30,35200,33.30,33.30,32.50,0,0,0,
2025-11-13,27/10/2025,33,11600,33.20,33.90,33,0,0,0,
2025-11-13,24/10/2025,32.90,24600,34.50,34.50,32.70,0,0,0,
2025-11-13,23/10/2025,32.50,72100,35.30,35.30,32.50,0,57500,-1.9,
2025-11-13,22/10/2025,35.80,8800,36.10,36.10,35,0,0,0,
2025-11-13,21/10/2025,36,18700,36.10,36.10,35.70,1100,0,0.0,
2025-11-13,20/10/2025,35.80,24900,36.70,36.80,35.80,1900,0,0.1,
2025-11-13,17/10/2025,36.70,7100,36.60,36.70,36.60,100,0,0.0,
2025-11-13,16/10/2025,36.60,9800,36.50,36.60,36.40,6400,0,0.2,
2025-11-13,15/10/2025,36.50,4500,36.70,36.70,36.40,200,0,0.0,
2025-11-13,14/10/2025,36.60,8600,37,37,36.50,100,0,0.0,
2025-11-13,13/10/2025,36.90,14000,36.70,36.90,36.50,0,0,0,
2025-11-13,10/10/2025,37,12800,36.80,37.10,36.60,0,0,0,
2025-11-13,09/10/2025,37.20,3000,36.80,37.50,36.80,0,0,0,
2025-11-13,08/10/2025,36.80,7100,37,37,36.50,0,1700,-0.1,
2025-11-13,07/10/2025,36.50,11800,36.50,37.10,36.40,0,900,-0.0,
2025-11-13,06/10/2025,36.70,12200,36.40,36.70,36.40,0,200,-0.0,
2025-11-13,03/10/2025,36.60,10700,36.60,36.60,36.10,0,0,0,
2025-11-13,02/10/2025,36.80,3700,37,37,36.50,0,0,0,
2025-11-13,01/10/2025,37,4800,36.50,37.30,36.50,2000,0,0.1,
2025-11-13,30/09/2025,36.40,66100,37,37.40,36.40,2500,53500,-1.9,
2025-11-13,29/09/2025,37.40,14300,37.80,38.30,37.40,1500,3000,-0.1,
2025-11-13,26/09/2025,38,4700,38,38.30,37.60,0,0,0,
2025-11-13,25/09/2025,37.70,2900,37.50,37.70,37.50,0,0,0,
2025-11-13,24/09/2025,37.50,4900,37.10,37.80,37.10,0,0,0,
2025-11-13,23/09/2025,37.90,52800,37.30,38.70,36.50,0,50000,-1.9,
2025-11-13,22/09/2025,37.80,4000,38,39,36.90,0,0,0,
2025-11-13,19/09/2025,38.80,12700,38.10,38.80,37.80,1000,0,0.0,
2025-11-13,18/09/2025,38,7800,38.40,38.50,38,600,0,0.0,
2025-11-13,17/09/2025,38.20,8400,38.50,38.50,38.20,1100,0,0.0,
2025-11-13,16/09/2025,38.60,9300,38.50,38.90,38.50,0,0,0,
2025-11-13,15/09/2025,38.70,10900,38.70,38.90,38.40,100,0,0.0,
