date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,13.90,2600,13.65,13.90,13.65,0,0,0
2025-11-13,11/11/2025,13.65,12000,13,13.65,12.60,0,0,0
2025-11-13,10/11/2025,13.50,1300,12.70,13.55,12.70,0,0,0
2025-11-13,07/11/2025,13.55,600,13.10,13.55,13.10,0,0,0
2025-11-13,06/11/2025,13.50,7600,13.40,13.65,13.05,0,0,0
2025-11-13,05/11/2025,13.65,0,13.65,13.65,13.65,0,0,0
2025-11-13,04/11/2025,13.65,10800,13.80,13.80,13.65,0,0,0
2025-11-13,03/11/2025,13.80,7000,13.75,13.85,13.50,0,0,0
2025-11-13,31/10/2025,13.75,7900,13.55,13.80,13.55,0,0,0
2025-11-13,30/10/2025,13.70,1400,13.40,13.80,13.40,0,0,0
2025-11-13,29/10/2025,13.40,5000,13.35,13.40,13.35,0,0,0
2025-11-13,28/10/2025,13.35,4000,13.55,13.55,13.35,0,0,0
2025-11-13,27/10/2025,13.70,2100,13.80,13.85,13.70,0,0,0
2025-11-13,24/10/2025,13.50,8000,13.65,13.65,13.50,0,0,0
2025-11-13,23/10/2025,13.70,200,13.70,13.70,13.70,0,0,0
2025-11-13,22/10/2025,13.70,5500,13.40,13.70,13.30,0,0,0
2025-11-13,21/10/2025,13.25,163400,14.90,14.90,13.05,0,0,0
2025-11-13,20/10/2025,14,15200,14.80,14.80,14,2900,0,0.0
2025-11-13,17/10/2025,15,3800,15,15,15,0,0,0
2025-11-13,16/10/2025,15.35,1800,15,15.35,15,0,0,0
2025-11-13,15/10/2025,15,1400,15,15.35,15,0,0,0
2025-11-13,14/10/2025,15,5000,14.50,15.45,14.50,0,0,0
2025-11-13,13/10/2025,15.35,100,15.35,15.35,15.35,0,0,0
2025-11-13,10/10/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,09/10/2025,15.50,1400,15.15,15.50,15.15,0,0,0
2025-11-13,08/10/2025,15.15,1500,15.10,15.50,15.10,0,0,0
2025-11-13,07/10/2025,15.45,1200,15.50,15.50,15.30,0,0,0
2025-11-13,06/10/2025,15.90,100,15.90,15.90,15.90,0,0,0
2025-11-13,03/10/2025,15.05,4000,15.15,15.30,15.05,0,100,-0.0
2025-11-13,02/10/2025,15.30,7300,15.60,16.30,15.30,0,0,0
2025-11-13,01/10/2025,15.60,0,15.60,15.60,15.60,0,0,0
2025-11-13,30/09/2025,15.60,6300,15.40,15.70,15.30,0,0,0
