date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,29,7700,29,29,28.50,0,0,0
2025-11-13,11/11/2025,29,12300,29,29,29,0,0,0
2025-11-13,10/11/2025,29,5100,29,29,29,0,0,0
2025-11-13,07/11/2025,29,300,29,29,29,0,0,0
2025-11-13,06/11/2025,29,5600,28.90,29,28.90,0,0,0
2025-11-13,05/11/2025,29,10300,28.90,29,28.90,0,0,0
2025-11-13,04/11/2025,28.60,1600,28.60,28.60,28.60,0,0,0
2025-11-13,03/11/2025,28.60,7600,29,29,28.50,0,0,0
2025-11-13,31/10/2025,28.95,17600,28.30,29.05,28,0,0,0
2025-11-13,30/10/2025,29,30800,28.80,29,28.10,0,0,0
2025-11-13,29/10/2025,28.95,8400,29,29,28.80,0,0,0
2025-11-13,28/10/2025,29,4200,28.85,29,28.85,0,0,0
2025-11-13,27/10/2025,28.90,10900,28.80,29,28.60,0,0,0
2025-11-13,24/10/2025,28.80,6000,28.80,28.95,28.80,0,0,0
2025-11-13,23/10/2025,28.80,6900,28.85,28.85,28.75,0,0,0
2025-11-13,22/10/2025,28.85,900,28.90,28.90,28,0,0,0
2025-11-13,21/10/2025,28.20,49400,28.40,28.95,28.20,0,0,0
2025-11-13,20/10/2025,29,9200,28.90,29.10,28.80,0,0,0
2025-11-13,17/10/2025,28.90,13000,29,29,28.90,0,0,0
2025-11-13,16/10/2025,29,8200,29.10,29.10,29,0,0,0
2025-11-13,15/10/2025,29,19700,29.10,29.10,29,0,0,0
2025-11-13,14/10/2025,29.10,11800,29.10,29.25,29,0,0,0
2025-11-13,13/10/2025,29,2100,29.10,29.10,29,0,0,0
2025-11-13,10/10/2025,29,9500,29,29,29,0,0,0
2025-11-13,09/10/2025,28.90,10800,29,29,28.90,0,0,0
2025-11-13,08/10/2025,29,9300,29,29,29,0,0,0
2025-11-13,07/10/2025,29,67000,29,29.30,29,0,0,0
2025-11-13,06/10/2025,29,3000,29.20,29.35,29,0,0,0
2025-11-13,03/10/2025,29.05,7100,28.90,29.10,28.90,0,0,0
2025-11-13,02/10/2025,29,12100,29,29.10,29,0,0,0
2025-11-13,01/10/2025,29,17500,29,29.10,29,0,0,0
2025-11-13,30/09/2025,29,9200,29.10,29.10,29,0,0,0
2025-11-13,29/09/2025,29,17600,29,29,28.50,0,0,0
2025-11-13,26/09/2025,29,9200,28.60,29.10,28.60,0,0,0
2025-11-13,25/09/2025,29.10,6300,29,29.10,28.85,0,0,0
2025-11-13,24/09/2025,29,10700,29,29.10,29,0,0,0
2025-11-13,23/09/2025,29,2100,28.80,29,28.80,0,0,0
2025-11-13,22/09/2025,29,11500,29,29.10,29,0,0,0
2025-11-13,19/09/2025,29,0,29,29,29,0,0,0
2025-11-13,18/09/2025,29,5000,28.95,29,28.90,0,0,0
2025-11-13,17/09/2025,29.05,6900,29,29.05,29,0,0,0
2025-11-13,16/09/2025,29.10,5000,29,29.10,28.50,0,0,0
2025-11-13,15/09/2025,29,4000,29,29.10,29,0,0,0
2025-11-13,12/09/2025,29.10,7800,29,29.10,28.65,0,0,0
2025-11-13,11/09/2025,29,18200,29.10,29.10,29,0,0,0
2025-11-13,10/09/2025,29.20,9400,28.90,29.20,28.90,0,0,0
2025-11-13,09/09/2025,29.10,5900,29,29.10,28.90,0,0,0
2025-11-13,08/09/2025,29.10,11700,28.90,29.10,28.80,0,0,0
2025-11-13,05/09/2025,28.80,2300,29,29,28.80,0,0,0
2025-11-13,04/09/2025,29,169200,28.40,29,28.40,0,0,0
2025-11-13,03/09/2025,29.10,112400,29,29.10,27.20,0,0,0
2025-11-13,29/08/2025,29.10,18700,29.20,29.20,29.10,0,0,0
2025-11-13,28/08/2025,29.20,24500,29.10,29.25,29.10,0,0,0
2025-11-13,27/08/2025,29.25,36800,29.10,29.50,29.10,0,0,0
2025-11-13,26/08/2025,29.10,13700,29.20,29.45,29,0,0,0
2025-11-13,25/08/2025,29.20,50400,29.40,29.50,29.20,0,0,0
2025-11-13,22/08/2025,29.50,7500,29.50,29.50,29.30,0,0,0
2025-11-13,21/08/2025,29.55,76700,29.50,29.55,29.10,0,0,0
2025-11-13,20/08/2025,29.40,2000,29.40,29.40,29.40,0,0,0
2025-11-13,19/08/2025,29.40,35000,29.50,29.60,29.40,0,0,0
2025-11-13,18/08/2025,29.60,43800,29.50,29.60,29.50,0,0,0
2025-11-13,15/08/2025,29.60,9600,29.35,29.65,29.35,0,0,0
2025-11-13,14/08/2025,29.65,189300,29.10,29.65,29.10,0,0,0
2025-11-13,13/08/2025,29.75,8000,29.70,29.75,29.70,0,0,0
2025-11-13,12/08/2025,29.70,4900,29.65,29.70,29.60,0,0,0
2025-11-13,11/08/2025,29.65,1100,29.50,29.65,29.45,0,0,0
2025-11-13,08/08/2025,29.70,21600,29.55,29.70,29.10,0,0,0
2025-11-13,07/08/2025,29.70,5000,29.60,29.70,29.60,0,0,0
2025-11-13,06/08/2025,29.80,7500,29.60,29.80,29.55,0,0,0
2025-11-13,05/08/2025,29.75,33700,29.70,29.80,29.70,0,0,0
2025-11-13,04/08/2025,29.75,17700,29.50,29.75,29.50,0,0,0
2025-11-13,01/08/2025,29.70,18600,29.70,29.95,29.70,0,0,0
2025-11-13,31/07/2025,29.60,6800,29.50,29.60,29.50,0,0,0
2025-11-13,30/07/2025,29.60,19600,29.50,29.60,29.40,0,0,0
2025-11-13,29/07/2025,29.50,21800,29.50,29.60,29.40,0,0,0
2025-11-13,28/07/2025,29.60,11700,29.55,29.65,29.50,0,0,0
2025-11-13,25/07/2025,29.70,4600,29.75,29.75,29.50,0,0,0
2025-11-13,24/07/2025,29.75,19900,29.50,29.75,29.50,0,0,0
2025-11-13,23/07/2025,29.75,5500,29.55,29.80,29.55,0,0,0
2025-11-13,22/07/2025,29.90,111000,29.70,29.90,29.70,0,0,0
2025-11-13,21/07/2025,29.55,10800,29.80,29.80,29.50,0,0,0
2025-11-13,18/07/2025,29.80,21300,29.50,29.80,29.40,0,0,0
2025-11-13,17/07/2025,29.80,6400,29.95,29.95,29.65,0,0,0
2025-11-13,16/07/2025,29.65,1800,29.90,29.90,29.65,0,0,0
2025-11-13,15/07/2025,29.90,7800,29.80,29.90,29.65,0,0,0
2025-11-13,14/07/2025,29.80,12200,29.70,29.80,29.70,0,0,0
2025-11-13,11/07/2025,29.70,700,29.65,29.90,29.65,0,0,0
2025-11-13,10/07/2025,29.65,23500,29.50,29.70,29.50,0,0,0
2025-11-13,09/07/2025,29.60,15200,29.70,29.70,29.55,0,0,0
2025-11-13,08/07/2025,29.70,6500,29.70,29.70,29.60,0,0,0
2025-11-13,07/07/2025,29.70,8500,29.90,29.90,29.70,0,0,0
