date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,14.45,603300,14.45,14.50,13.85,17500,2000,0.2
2025-11-13,11/11/2025,14.40,486400,14.35,14.50,14.10,15000,6500,0.1
2025-11-13,10/11/2025,14.20,855700,13.35,14.20,13.20,32900,6100,0.4
2025-11-13,07/11/2025,13.30,143700,13.25,13.30,13.15,6800,3500,0.0
2025-11-13,06/11/2025,13.30,203100,13.35,13.40,13.20,9800,9100,0.0
2025-11-13,05/11/2025,13.30,438900,13.15,13.35,12.95,7300,0,0.1
2025-11-13,04/11/2025,13.25,375000,13.45,13.50,13.10,7800,5300,0.0
2025-11-13,03/11/2025,13.40,215400,13.30,13.45,13.25,9600,0,0.1
2025-11-13,31/10/2025,13.40,242500,13.45,13.50,13.20,1500,0,0.0
2025-11-13,30/10/2025,13.35,250500,13.20,13.40,13.10,23700,0,0.3
2025-11-13,29/10/2025,13.25,154000,13.30,13.50,13.20,5700,0,0.1
2025-11-13,28/10/2025,13.35,200700,13.50,13.60,13.20,4300,18000,-0.2
2025-11-13,27/10/2025,13.40,309100,12.95,13.45,12.90,9900,0,0.1
2025-11-13,24/10/2025,12.95,247300,12.55,13,12.50,23200,0,0.3
2025-11-13,23/10/2025,12.55,138100,12.55,12.60,12.40,16200,0,0.2
2025-11-13,22/10/2025,12.55,177600,12.35,12.55,12.30,10700,0,0.1
2025-11-13,21/10/2025,12.40,246800,12.15,12.40,12.15,10800,0,0.1
2025-11-13,20/10/2025,12.15,185500,12.20,12.30,12.10,3600,100,0.0
2025-11-13,17/10/2025,12.25,381700,12.10,12.40,12.10,0,0,0
2025-11-13,16/10/2025,12.25,316100,12.20,12.45,12.15,100,1000,-0.0
2025-11-13,15/10/2025,12.20,322900,12.35,12.40,12.15,0,100,-0.0
2025-11-13,14/10/2025,12.35,118700,12.40,12.45,12.30,200,0,0.0
2025-11-13,13/10/2025,12.45,133200,12.40,12.55,12.35,8200,0,0.1
2025-11-13,10/10/2025,12.50,331200,12.50,12.60,12.15,4200,0,0.1
2025-11-13,09/10/2025,12.50,255000,12.50,12.55,12.30,0,0,0
2025-11-13,08/10/2025,12.50,89100,12.55,12.60,12.45,0,0,0
2025-11-13,07/10/2025,12.50,77300,12.60,12.70,12.40,800,0,0.0
2025-11-13,06/10/2025,12.55,90900,12.40,12.60,12.40,0,5700,-0.1
2025-11-13,03/10/2025,12.40,81700,12.40,12.40,12.30,0,10200,-0.1
2025-11-13,02/10/2025,12.40,78300,12.45,12.50,12.35,0,10400,-0.1
2025-11-13,01/10/2025,12.45,92700,12.50,12.55,12.40,0,5700,-0.1
2025-11-13,30/09/2025,12.45,96900,12.45,12.55,12.35,0,6400,-0.1
2025-11-13,29/09/2025,12.45,116500,12.40,12.50,12.30,0,300,-0.0
2025-11-13,26/09/2025,12.35,84000,12.40,12.45,12.25,2300,6100,-0.0
2025-11-13,25/09/2025,12.45,134000,12.30,12.50,12.25,0,700,-0.0
2025-11-13,24/09/2025,12.35,120700,12.35,12.35,12.25,1300,3700,-0.0
2025-11-13,23/09/2025,12.35,125600,12.30,12.45,12.25,1400,6200,-0.1
2025-11-13,22/09/2025,12.30,107200,12.25,12.30,12.15,0,16900,-0.2
2025-11-13,19/09/2025,12.25,108000,12.30,12.35,12.20,0,10900,-0.1
2025-11-13,18/09/2025,12.30,121300,12.40,12.40,12.25,0,10100,-0.1
2025-11-13,17/09/2025,12.35,120800,12.45,12.50,12.20,0,12000,-0.1
2025-11-13,16/09/2025,12.45,95300,12.40,12.50,12.35,0,8000,-0.1
