date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,11.60,107600,11.80,11.80,11.30,700,103100,-1.2
2025-11-13,11/11/2025,11.80,1800,11.60,11.80,11.60,0,1700,-0.0
2025-11-13,10/11/2025,11.80,0,11.80,11.80,11.80,0,0,0
2025-11-13,07/11/2025,11.80,500,11.80,11.80,11.80,0,0,0
2025-11-13,06/11/2025,11.80,2100,11.60,11.80,11.60,0,0,0
2025-11-13,05/11/2025,11.80,4000,11.60,11.80,11.60,0,0,0
2025-11-13,04/11/2025,11.80,4400,11.60,11.90,11.60,800,0,0.0
2025-11-13,03/11/2025,11.80,0,11.80,11.80,11.80,0,0,0
2025-11-13,31/10/2025,11.80,20700,11.80,11.80,11.80,0,0,0
2025-11-13,30/10/2025,11.80,300,11.40,11.80,11.40,0,0,0
2025-11-13,29/10/2025,11.60,1600,11.50,11.90,11.50,0,0,0
2025-11-13,28/10/2025,12,1200,11.40,12.30,11.40,0,100,-0.0
2025-11-13,27/10/2025,11.60,100,11.60,11.60,11.60,0,0,0
2025-11-13,24/10/2025,11.50,900,12,12,11.50,0,0,0
2025-11-13,23/10/2025,12,700,12,12,12,0,0,0
2025-11-13,22/10/2025,11.90,0,11.90,11.90,11.90,0,0,0
2025-11-13,21/10/2025,11.90,22600,11.50,11.90,11.30,3600,0,0.0
2025-11-13,20/10/2025,11.60,3500,11.70,11.70,11.60,1500,0,0.0
2025-11-13,17/10/2025,11.70,2600,12.70,12.70,11.70,100,0,0.0
2025-11-13,16/10/2025,11.70,2100,11.80,12,11.70,0,0,0
2025-11-13,15/10/2025,11.80,29700,12,12,11.80,500,0,0.0
2025-11-13,14/10/2025,12,14500,12.10,12.10,12,500,0,0.0
2025-11-13,13/10/2025,12.20,5300,12,12.20,12,0,3700,-0.0
2025-11-13,10/10/2025,12.10,12500,12.10,12.20,12,1200,0,0.0
2025-11-13,09/10/2025,12.10,9500,12.20,12.20,12.10,0,0,0
2025-11-13,08/10/2025,12.20,14800,12.10,12.20,12.10,100,1400,-0.0
2025-11-13,07/10/2025,12.10,58100,12.10,12.20,12.10,200,0,0.0
2025-11-13,06/10/2025,12.10,17300,12.20,12.20,12.10,0,0,0
2025-11-13,03/10/2025,12.20,11900,12.10,12.20,12.10,0,0,0
2025-11-13,02/10/2025,12.20,7400,12.70,12.70,12.10,0,0,0
2025-11-13,01/10/2025,12.20,22200,12.20,12.20,12.10,1200,1000,0.0
2025-11-13,30/09/2025,12.20,2500,12.20,12.20,12.20,0,0,0
2025-11-13,29/09/2025,12.20,20300,12.20,12.20,12.20,500,0,0.0
2025-11-13,26/09/2025,12.20,14100,12.20,12.20,12.10,1200,0,0.0
2025-11-13,25/09/2025,12.20,3300,12.20,12.20,12.10,0,1000,-0.0
2025-11-13,24/09/2025,12.20,14000,12.10,12.20,12.10,0,800,-0.0
2025-11-13,23/09/2025,12.10,11200,12.20,12.20,12.10,100,0,0.0
2025-11-13,22/09/2025,12.20,240100,12.20,12.20,12.20,0,0,0
2025-11-13,19/09/2025,12.20,17200,12.20,12.20,12.20,100,0,0.0
2025-11-13,18/09/2025,12.20,3200,12.20,12.20,12.10,0,0,0
2025-11-13,17/09/2025,12.20,6700,12.20,12.30,12.20,200,0,0.0
2025-11-13,16/09/2025,12.20,17100,12.30,12.30,12.20,100,0,0.0
2025-11-13,15/09/2025,12.20,9400,12.30,12.30,12.20,300,0,0.0
2025-11-13,12/09/2025,12.30,8200,12.20,12.30,12.20,100,2000,-0.0
2025-11-13,11/09/2025,12.30,9300,12.30,12.30,12.20,0,0,0
2025-11-13,10/09/2025,12.30,0,12.30,12.30,12.30,0,0,0
2025-11-13,09/09/2025,12.30,7100,12.90,12.90,12.30,100,0,0.0
2025-11-13,08/09/2025,12.20,56500,12.20,12.30,12,20000,0,0.2
2025-11-13,05/09/2025,12.40,6400,12.30,12.40,12.30,100,0,0.0
2025-11-13,04/09/2025,12.30,16900,12.20,12.40,12.20,0,0,0
2025-11-13,03/09/2025,12.30,4500,12.30,12.30,12.10,100,0,0.0
2025-11-13,29/08/2025,12.30,2300,12.70,12.70,12.30,0,100,-0.0
2025-11-13,28/08/2025,12.30,1000,12.30,12.30,12.30,0,0,0
2025-11-13,27/08/2025,12.30,17300,12.10,12.40,12.10,0,0,0
2025-11-13,26/08/2025,12.20,15000,12,12.20,12,0,0,0
2025-11-13,25/08/2025,12,12900,12.10,12.10,12,0,0,0
2025-11-13,22/08/2025,12.10,32100,12.10,12.20,12,0,0,0
2025-11-13,21/08/2025,12.10,2300,12.20,12.30,12.10,100,0,0.0
2025-11-13,20/08/2025,12.20,39800,12.20,12.30,12,0,0,0
2025-11-13,19/08/2025,12.20,3300,12.40,12.40,12.20,0,0,0
2025-11-13,18/08/2025,12.30,8500,12.20,12.30,12.20,0,0,0
2025-11-13,15/08/2025,12.30,4000,12.40,12.40,12.30,900,0,0.0
2025-11-13,14/08/2025,12.60,18900,12.40,12.60,12.30,1000,0,0.0
2025-11-13,13/08/2025,12.40,4500,12.60,12.60,12.40,0,0,0
2025-11-13,12/08/2025,12.60,30200,12.60,12.60,12.50,0,0,0
2025-11-13,11/08/2025,12.60,5200,12.80,12.80,12.60,0,0,0
2025-11-13,08/08/2025,12.60,3800,12.80,12.80,12.60,600,600,-0
2025-11-13,07/08/2025,12.60,10900,12.50,12.80,12.30,0,0,0
2025-11-13,06/08/2025,12.40,2800,12.40,12.50,12.20,0,0,0
2025-11-13,05/08/2025,12.40,20200,12.40,12.80,12.40,5500,0,0.1
2025-11-13,04/08/2025,13,26200,12.10,13.30,12.10,0,900,-0.0
2025-11-13,01/08/2025,12.10,40900,11.90,12.10,11.90,100,0,0.0
2025-11-13,31/07/2025,11.90,18100,12.30,12.30,11.80,100,0,0.0
2025-11-13,30/07/2025,11.90,4000,11.90,12,11.90,0,0,0
2025-11-13,29/07/2025,11.80,18500,11.90,11.90,11.80,0,0,0
2025-11-13,28/07/2025,12,35800,11.90,12,11.80,600,0,0.0
2025-11-13,25/07/2025,11.90,14800,11.90,11.90,11.80,0,0,0
2025-11-13,24/07/2025,12,39600,12,12,11.90,100,0,0.0
2025-11-13,23/07/2025,11.90,20800,12,12,11.90,0,0,0
2025-11-13,22/07/2025,11.90,46600,11.90,12.10,11.80,100,0,0.0
2025-11-13,21/07/2025,11.90,5500,11.80,12.20,11.80,100,0,0.0
2025-11-13,18/07/2025,11.90,3900,11.50,11.90,11.50,0,0,0
2025-11-13,17/07/2025,11.80,2700,11.60,11.80,11.50,0,0,0
2025-11-13,16/07/2025,11.60,3500,11.60,11.60,11.60,0,0,0
2025-11-13,15/07/2025,11.60,800,11.60,11.60,11.60,0,0,0
2025-11-13,14/07/2025,11.60,5600,11.50,11.70,11.50,0,0,0
2025-11-13,11/07/2025,11.50,12000,11.60,11.60,11.50,0,0,0
2025-11-13,10/07/2025,11.60,5200,11.60,11.60,11.60,0,0,0
2025-11-13,09/07/2025,11.70,24000,11.50,11.80,11.40,0,0,0
2025-11-13,08/07/2025,11.80,63100,11.80,11.80,11.40,0,0,0
2025-11-13,07/07/2025,11.80,16500,11.80,11.80,11.80,0,0,0
2025-11-13,04/07/2025,11.80,1600,11.70,11.70,11.70,600,0,0.0
2025-11-13,03/07/2025,11.70,1600,11.80,11.80,11.70,1100,0,0.0
2025-11-13,02/07/2025,11.60,7800,11.80,11.80,11.80,0,0,0
2025-11-13,01/07/2025,11.80,20200,11.80,11.90,11.80,0,0,0
2025-11-13,30/06/2025,11.70,5800,11.50,11.70,11.50,0,0,0
2025-11-13,27/06/2025,11.70,10400,11.70,11.70,11.60,0,0,0
2025-11-13,26/06/2025,11.60,6000,11.50,11.60,11.40,0,0,0
2025-11-13,25/06/2025,11.60,200,11.60,11.60,11.60,0,0,0
2025-11-13,24/06/2025,11.70,1400,11.80,11.80,11.70,0,0,0
