date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,15.50,0,15.50,15.50,15.50,0,0,0
2025-11-13,11/11/2025,15.50,300,15.50,15.50,15.50,0,0,0
2025-11-13,10/11/2025,16.80,600,19.80,19.80,16.50,0,0,0
2025-11-13,07/11/2025,18.10,700,21.90,21.90,18.10,0,0,0
2025-11-13,06/11/2025,20,100,20,20,20,0,0,0
2025-11-13,05/11/2025,18.30,300,18.30,18.30,16,0,0,0
2025-11-13,04/11/2025,16.70,0,16.70,16.70,16.70,0,0,0
2025-11-13,03/11/2025,16.70,300,18.20,18.20,16.70,0,0,0
2025-11-13,31/10/2025,16.60,0,16.60,16.60,16.60,0,0,0
2025-11-13,30/10/2025,16.60,300,16.60,16.60,16.60,0,0,0
2025-11-13,29/10/2025,18.20,300,18.20,18.20,18.20,0,0,0
2025-11-13,28/10/2025,19.90,400,19.90,19.90,18.20,0,0,0
2025-11-13,27/10/2025,18.10,100,18.10,18.10,18.10,0,0,0
2025-11-13,24/10/2025,16.50,100,16.50,16.50,16.50,0,0,0
2025-11-13,23/10/2025,16.50,200,16.50,16.50,16.50,0,0,0
2025-11-13,22/10/2025,18.10,200,18.10,18.10,18.10,0,0,0
2025-11-13,21/10/2025,19.80,400,24.10,24.10,19.80,0,0,0
2025-11-13,20/10/2025,22,1100,22,22,22,0,0,0
2025-11-13,17/10/2025,24.40,900,24.40,28.80,24.40,0,0,0
2025-11-13,16/10/2025,27.10,100,27.10,27.10,27.10,0,0,0
2025-11-13,15/10/2025,24.80,100,24.80,24.80,24.80,0,0,0
2025-11-13,14/10/2025,23,100,23,23,23,0,0,0
2025-11-13,13/10/2025,21.10,1700,21.10,21.10,21.10,0,0,0
2025-11-13,10/10/2025,23.40,2300,23.80,23.80,19.80,0,0,0
2025-11-13,09/10/2025,21.90,100,21.90,21.90,21.90,0,0,0
2025-11-13,08/10/2025,20.10,600,24.40,24.40,20.10,0,0,0
2025-11-13,07/10/2025,22.30,100,22.30,22.30,22.30,0,0,0
2025-11-13,06/10/2025,20.40,500,20.40,20.40,20.40,0,0,0
2025-11-13,03/10/2025,22.60,0,22.60,22.60,22.60,0,0,0
