date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,20,0,20,20,20,0,0,0
2025-11-13,11/11/2025,20,100,20,20,20,0,0,0
2025-11-13,10/11/2025,20,0,20,20,20,0,0,0
2025-11-13,07/11/2025,20,0,20,20,20,0,0,0
2025-11-13,06/11/2025,20,0,20,20,20,0,0,0
2025-11-13,05/11/2025,20,0,20,20,20,0,0,0
2025-11-13,04/11/2025,20,0,20,20,20,0,0,0
2025-11-13,03/11/2025,20,0,20,20,20,0,0,0
2025-11-13,31/10/2025,20,0,20,20,20,0,0,0
2025-11-13,30/10/2025,20,0,20,20,20,0,0,0
2025-11-13,29/10/2025,20,100,20,20,20,0,0,0
2025-11-13,28/10/2025,19.40,100,19.40,19.40,19.40,0,0,0
2025-11-13,27/10/2025,19.40,0,19.40,19.40,19.40,0,0,0
2025-11-13,24/10/2025,19.40,0,19.40,19.40,19.40,0,0,0
2025-11-13,23/10/2025,19.40,100,19.40,19.40,19.40,0,0,0
2025-11-13,22/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,21/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,20/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,17/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,16/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,15/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,14/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,13/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,10/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,09/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,08/10/2025,21.50,0,21.50,21.50,21.50,0,0,0
2025-11-13,07/10/2025,21.50,500,21.50,21.50,21.50,0,0,0
2025-11-13,06/10/2025,23.40,0,23.40,23.40,23.40,0,0,0
2025-11-13,03/10/2025,23.40,0,23.40,23.40,23.40,0,0,0
2025-11-13,02/10/2025,23.40,0,23.40,23.40,23.40,0,0,0
2025-11-13,01/10/2025,23.40,200,23.40,23.40,23.40,0,0,0
2025-11-13,30/09/2025,26,100,26,26,26,0,0,0
2025-11-13,29/09/2025,28.80,3000,28.80,28.80,28.80,0,0,0
2025-11-13,26/09/2025,32,0,32,32,32,0,0,0
2025-11-13,25/09/2025,32,100,32,32,32,0,0,0
2025-11-13,24/09/2025,30.40,1900,28.40,30.40,28.40,0,0,0
2025-11-13,23/09/2025,27.70,7100,27.70,27.70,25,0,0,0
2025-11-13,22/09/2025,25.20,0,25.20,25.20,25.20,0,0,0
2025-11-13,19/09/2025,25.20,1100,27.50,27.50,25.20,0,0,0
2025-11-13,18/09/2025,25,500,22,25,22,0,0,0
2025-11-13,17/09/2025,24,0,24,24,24,0,0,0
2025-11-13,16/09/2025,24,0,24,24,24,0,0,0
2025-11-13,15/09/2025,24,900,24,24,24,0,0,0
2025-11-13,12/09/2025,26.60,0,26.60,26.60,26.60,0,0,0
2025-11-13,11/09/2025,26.60,100,26.60,26.60,26.60,0,0,0
2025-11-13,10/09/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,09/09/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,08/09/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,05/09/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,04/09/2025,29.50,0,29.50,29.50,29.50,0,0,0
2025-11-13,03/09/2025,29.50,1000,29.50,29.50,29.50,0,0,0
2025-11-13,29/08/2025,32.60,1200,29.50,32.60,29.50,0,0,0
2025-11-13,28/08/2025,32.60,0,32.60,32.60,32.60,0,0,0
2025-11-13,27/08/2025,32.60,0,32.60,32.60,32.60,0,0,0
2025-11-13,26/08/2025,32.60,0,32.60,32.60,32.60,0,0,0
2025-11-13,25/08/2025,32.60,2800,29.50,32.60,29.50,0,300,-0.0
2025-11-13,22/08/2025,29.70,20400,27,29.70,26.50,0,0,0
2025-11-13,21/08/2025,27,1000,26.10,27,26.10,0,0,0
2025-11-13,20/08/2025,26.40,200,26.40,26.40,26.40,0,0,0
2025-11-13,19/08/2025,27,0,27,27,27,0,0,0
2025-11-13,18/08/2025,27,0,27,27,27,0,0,0
2025-11-13,15/08/2025,27,0,27,27,27,0,0,0
2025-11-13,14/08/2025,27,100,27,27,27,0,0,0
2025-11-13,13/08/2025,25.30,1700,28.70,28.70,25.20,0,0,0
2025-11-13,12/08/2025,28,0,28,28,28,0,0,0
2025-11-13,11/08/2025,28,200,28,28,28,0,0,0
2025-11-13,08/08/2025,26.90,0,26.90,26.90,26.90,0,0,0
2025-11-13,07/08/2025,26.90,100,26.90,26.90,26.90,0,0,0
2025-11-13,06/08/2025,24.70,500,22.50,24.70,22.50,0,300,-0.0
2025-11-13,05/08/2025,22.50,0,22.50,22.50,22.50,0,0,0
2025-11-13,04/08/2025,22.50,2000,22.50,22.50,22.50,0,0,0
2025-11-13,01/08/2025,22.50,12500,22.50,22.50,20.30,0,0,0
2025-11-13,31/07/2025,22.50,200,22.50,22.50,22.50,0,0,0
2025-11-13,30/07/2025,22.50,4700,22.50,22.50,22,0,2000,-0.0
2025-11-13,29/07/2025,22.50,2000,22.50,22.50,22.50,0,0,0
2025-11-13,28/07/2025,23,3600,23,23,23,0,0,0
2025-11-13,25/07/2025,21,6800,20.60,21,20.60,0,0,0
