date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,4.10,32900,4,4.10,4,0,0,0,
2025-11-13,11/11/2025,4.09,19500,4.10,4.10,3.99,0,0,0,
2025-11-13,10/11/2025,4.10,5800,4.14,4.14,3.88,0,0,0,
2025-11-13,07/11/2025,4.03,2600,4.15,4.15,4,0,0,0,
2025-11-13,06/11/2025,4.06,9500,3.90,4.06,3.90,0,0,0,
2025-11-13,05/11/2025,4.04,32200,4,4.07,4,0,0,0,
2025-11-13,04/11/2025,4,17300,3.87,4.08,3.77,0,0,0,
2025-11-13,03/11/2025,4.05,4500,4.14,4.14,4.05,0,0,0,
2025-11-13,31/10/2025,4.09,4500,4.05,4.09,4.03,0,0,0,
2025-11-13,30/10/2025,4.09,2400,4.02,4.10,4.02,0,0,0,
2025-11-13,29/10/2025,4.10,12800,4.08,4.14,4,0,0,0,
2025-11-13,28/10/2025,4.09,12300,4,4.10,3.96,0,0,0,
2025-11-13,27/10/2025,4.10,8600,4.05,4.12,3.97,0,0,0,
2025-11-13,24/10/2025,4.11,23900,4.02,4.18,4.01,0,0,0,
2025-11-13,23/10/2025,4.09,5100,4.20,4.20,4.01,0,0,0,
2025-11-13,22/10/2025,4.09,8900,4.09,4.20,4,0,0,0,
2025-11-13,21/10/2025,4.09,19300,4.10,4.10,3.91,0,0,0,
2025-11-13,20/10/2025,4.10,2500,4.11,4.21,4.10,0,0,0,
2025-11-13,17/10/2025,4.18,7400,4.24,4.24,4.12,0,700,-0.0,
2025-11-13,16/10/2025,4.16,3400,4.17,4.17,4,0,0,0,
2025-11-13,15/10/2025,4.18,4900,4.29,4.29,4.15,0,0,0,
2025-11-13,14/10/2025,4.18,4000,4.34,4.34,4.10,0,0,0,
2025-11-13,13/10/2025,4.19,3900,4.25,4.25,4.07,0,0,0,
2025-11-13,10/10/2025,4.28,14000,4.36,4.36,4,0,0,0,
