date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,7.20,500,7.30,7.30,7,200,0,0.0,
2025-11-13,11/11/2025,7.10,100,7.10,7.10,7.10,0,0,0,
2025-11-13,10/11/2025,7.20,100,7.20,7.20,7.20,0,0,0,
2025-11-13,07/11/2025,7.20,5100,7.40,7.40,7.20,0,0,0,
2025-11-13,06/11/2025,7.20,2200,6.90,7.30,6.90,0,0,0,
2025-11-13,05/11/2025,7.30,300,7.40,7.40,7.10,0,0,0,
2025-11-13,04/11/2025,7.30,19900,6.90,7.50,6.90,0,0,0,
2025-11-13,03/11/2025,6.90,4600,6.80,7.40,6.80,0,0,0,
2025-11-13,31/10/2025,7.40,0,7.40,7.40,7.40,0,0,0,
2025-11-13,30/10/2025,7.40,400,7.50,7.50,7,0,0,0,
2025-11-13,29/10/2025,7.30,400,7.50,7.50,7.30,0,0,0,
2025-11-13,28/10/2025,7.20,0,7.20,7.20,7.20,0,0,0,
2025-11-13,27/10/2025,7.20,400,6.80,7.20,6.70,0,0,0,
2025-11-13,24/10/2025,7.20,0,7.20,7.20,7.20,0,0,0,
2025-11-13,23/10/2025,7.20,700,7.10,7.20,7.10,0,0,0,
2025-11-13,22/10/2025,7.10,0,7.10,7.10,7.10,0,0,0,
2025-11-13,21/10/2025,7.10,5600,6.70,7.10,6.50,0,0,0,
2025-11-13,20/10/2025,7,1500,7.40,7.40,7,0,0,0,
2025-11-13,17/10/2025,7,2200,7,7,7,0,0,0,
2025-11-13,16/10/2025,7,1000,7,7,7,0,0,0,
2025-11-13,15/10/2025,7.10,100,7.10,7.10,7.10,0,0,0,
2025-11-13,14/10/2025,7.30,100,7.30,7.30,7.30,0,0,0,
2025-11-13,13/10/2025,7.20,900,6.90,7.30,6.90,0,0,0,
2025-11-13,10/10/2025,7.20,1600,7,7.20,7,0,0,0,
2025-11-13,09/10/2025,7.20,2100,7.50,7.50,7,0,0,0,
2025-11-13,08/10/2025,7.20,1100,7.30,7.30,7.10,0,0,0,
2025-11-13,07/10/2025,7.30,3800,7.30,7.40,7.30,0,0,0,
2025-11-13,06/10/2025,7.40,1000,7.50,7.50,7.30,0,0,0,
2025-11-13,03/10/2025,7.10,1000,7.10,7.10,7,0,0,0,
2025-11-13,02/10/2025,7.10,12200,7.10,7.10,7,0,0,0,
2025-11-13,01/10/2025,7,6100,7,7.10,7,0,0,0,
2025-11-13,30/09/2025,7,100,7,7,7,0,0,0,
2025-11-13,29/09/2025,7,100,7,7,7,0,100,-0.0,
2025-11-13,26/09/2025,7,2300,7,7,6.90,0,500,-0.0,
2025-11-13,25/09/2025,7,0,7,7,7,0,0,0,
2025-11-13,24/09/2025,7,2900,6.80,7.10,6.70,200,0,0.0,
2025-11-13,23/09/2025,7,1300,6.90,7,6.80,0,0,0,
2025-11-13,22/09/2025,7,3400,6.80,7,6.80,0,0,0,
2025-11-13,19/09/2025,7,1900,6.90,7.30,6.90,0,0,0,
2025-11-13,18/09/2025,6.90,7900,7.40,7.40,6.80,0,0,0,
2025-11-13,17/09/2025,7.40,600,7.60,7.60,7.10,0,0,0,
2025-11-13,16/09/2025,7.30,3900,7.20,7.40,7.10,0,600,-0.0,
2025-11-13,15/09/2025,7.20,4800,7.80,7.80,7,0,3000,-0.0,
2025-11-13,12/09/2025,7.10,11600,7,7.10,6.90,0,0,0,
2025-11-13,11/09/2025,7,2000,7.20,7.20,7,0,0,0,
2025-11-13,10/09/2025,7.10,2100,7.10,7.10,7.10,0,0,0,
2025-11-13,09/09/2025,7,1100,7,7.10,7,100,0,0.0,
2025-11-13,08/09/2025,7,4200,7.20,7.20,6.90,0,3000,-0.0,
2025-11-13,05/09/2025,7.10,4700,7,7.20,7,3000,0,0.0,
2025-11-13,04/09/2025,7.10,4300,7,7.10,6.90,0,0,0,
2025-11-13,03/09/2025,7.20,200,7.20,7.20,7.20,0,0,0,
2025-11-13,29/08/2025,7,5300,7.10,7.10,6.90,0,0,0,
2025-11-13,28/08/2025,7.10,1400,7,7.20,7,0,0,0,
2025-11-13,27/08/2025,7,3000,7.10,7.10,7,0,0,0,
2025-11-13,26/08/2025,7.10,2800,7.10,7.10,7.10,0,0,0,
2025-11-13,25/08/2025,7.20,800,7.40,7.40,7.20,0,0,0,
2025-11-13,22/08/2025,7.20,6900,7.10,7.20,6.90,0,0,0,
2025-11-13,21/08/2025,7.20,9100,7.40,7.40,7.20,0,0,0,
2025-11-13,20/08/2025,7.30,8200,7.30,7.30,7.20,0,3000,-0.0,
2025-11-13,19/08/2025,7.40,4000,7.30,7.40,7.30,0,0,0,
2025-11-13,18/08/2025,7.20,12000,7.30,7.40,7.20,0,0,0,
2025-11-13,15/08/2025,7.30,12800,7.40,7.50,7.30,0,0,0,
2025-11-13,14/08/2025,7.50,8900,7.50,7.50,7.40,0,0,0,
2025-11-13,13/08/2025,7.50,8900,7.40,7.50,7.40,0,0,0,
2025-11-13,12/08/2025,7.50,4400,7.50,7.50,7.40,0,0,0,
2025-11-13,11/08/2025,7.50,8400,7.50,7.60,7.50,0,0,0,
2025-11-13,08/08/2025,7.50,10700,7.30,7.60,7.10,0,0,0,
2025-11-13,07/08/2025,7.50,3800,7.50,7.50,7.40,0,0,0,
2025-11-13,06/08/2025,7.50,3500,7.40,7.50,7.40,0,0,0,
2025-11-13,05/08/2025,7.40,2100,7.40,7.50,7.40,0,0,0,
2025-11-13,04/08/2025,7.40,800,7.40,7.40,7.40,0,0,0,
2025-11-13,01/08/2025,7.40,1800,7.50,7.50,7.40,0,0,0,
2025-11-13,31/07/2025,7.50,1600,7.30,7.50,7.30,0,0,0,
2025-11-13,30/07/2025,7.40,7400,7.50,7.50,7.40,0,0,0,
2025-11-13,29/07/2025,7.40,4200,7.60,7.60,7.40,200,0,0.0,
2025-11-13,28/07/2025,7.60,9700,7.40,7.60,7.40,1000,0,0.0,
2025-11-13,25/07/2025,7.50,27500,7.40,7.50,7.40,0,0,0,
2025-11-13,24/07/2025,7.40,4500,7.50,7.50,7.40,0,0,0,
2025-11-13,23/07/2025,7.50,6900,7.70,7.70,7.50,0,0,0,
2025-11-13,22/07/2025,7.60,6100,7.70,7.70,7.50,0,0,0,
2025-11-13,21/07/2025,7.60,2200,7.70,7.80,7.60,0,0,0,
2025-11-13,18/07/2025,7.60,900,7.60,7.60,7.60,0,0,0,
2025-11-13,17/07/2025,7.60,3900,7.50,7.60,7.50,0,0,0,
