date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,22.70,15153400,22.30,22.90,22.30,206400,1464200,-28.5
2025-11-13,11/11/2025,22.20,14402700,21.60,22.40,21.40,348000,1226500,-19.5
2025-11-13,10/11/2025,21.40,24707100,21.40,22.30,19.70,1366000,3611100,-48.2
2025-11-13,07/11/2025,21.40,22396400,22.50,22.80,21.30,1124900,3044900,-43.3
2025-11-13,06/11/2025,22.60,19963500,22.50,23.10,22,1206700,658700,12.2
2025-11-13,05/11/2025,22.60,19017700,23,23.20,22.50,234400,313000,-1.8
2025-11-13,04/11/2025,22.80,35928800,20.70,22.80,20.20,7278700,2765200,94.7
2025-11-13,03/11/2025,20.80,42867600,23,23.20,20.80,2654800,1292900,28.2
2025-11-13,31/10/2025,23,15495600,23.10,23.40,22.90,8100,307000,-6.9
2025-11-13,30/10/2025,23.10,20367600,23.90,24.10,22.80,193700,2680300,-58.4
2025-11-13,29/10/2025,24,12267800,24,24.50,23.80,5500,554800,-13.3
2025-11-13,28/10/2025,23.90,16347100,23,23.90,22.80,642500,11800,14.7
2025-11-13,27/10/2025,23,25077500,23.20,24.20,22.80,1367600,2510300,-26.6
2025-11-13,24/10/2025,23.10,34391300,24,24,22.70,1484700,5216800,-87.0
2025-11-13,23/10/2025,24,17022500,25,25.20,24,16600,3309400,-81.4
2025-11-13,22/10/2025,24.90,27540900,25,25.40,23.60,7400,5715400,-138.6
2025-11-13,21/10/2025,24.80,34701100,24.70,25.60,23.60,1339600,95300,30.0
2025-11-13,20/10/2025,24.70,49358400,27.60,28,24.70,1405100,5893300,-126.3
2025-11-13,17/10/2025,27.40,31139000,27.30,28.20,27.10,0,0,0
2025-11-13,16/10/2025,27.30,25918800,27.10,27.80,27,16600,1945100,-52.5
2025-11-13,15/10/2025,27,22879400,26.90,27.40,26.70,50300,859800,-21.9
2025-11-13,14/10/2025,26.90,46769300,27.10,28.10,26.80,379600,2978900,-72.3
2025-11-13,13/10/2025,26.80,27743300,26.50,26.80,25.70,759400,2409700,-43.2
2025-11-13,10/10/2025,26.50,21471300,26.80,27.10,26.30,7000,5394900,-144.5
2025-11-13,09/10/2025,26.70,16476200,26.60,27.20,26.50,0,0,0
2025-11-13,08/10/2025,26.60,37991400,27,28.20,26.10,1501700,980300,13.6
2025-11-13,07/10/2025,26.30,23687900,27,27.40,26.20,1926100,1850000,1.7
2025-11-13,06/10/2025,26.70,33015700,24.30,26.70,24.30,407200,346500,1.6
2025-11-13,03/10/2025,24.30,17500700,25.10,25.10,24.30,68800,1364500,-32.1
2025-11-13,02/10/2025,25,17179900,26.10,26.20,25,24200,965700,-24.1
2025-11-13,01/10/2025,25.80,21434000,25.60,26.60,25.60,255900,3400200,-82.2
2025-11-13,30/09/2025,25.70,20548700,25.40,25.90,24.60,1431600,1502100,-1.5
2025-11-13,29/09/2025,25.30,16792900,25.20,26.50,24.60,1835800,2147600,-7.5
2025-11-13,26/09/2025,24.70,22066700,25.50,25.70,24.50,275200,4306700,-101.4
2025-11-13,25/09/2025,25.50,19046000,25.90,26.30,25.40,439600,4600700,-107.2
2025-11-13,24/09/2025,25.90,17764600,24.70,25.90,24.10,918000,1056300,-3.3
2025-11-13,23/09/2025,24.50,10938700,24.50,25,24.20,569600,300,14.0
2025-11-13,22/09/2025,24.20,24518100,25.10,25.40,24,1576900,1029000,13.2
2025-11-13,19/09/2025,25.10,15065200,25.30,25.70,25.10,938000,4651800,-93.7
2025-11-13,18/09/2025,25.30,18162900,25.40,25.90,25,85300,2612400,-64.1
2025-11-13,17/09/2025,25.60,16791400,26.40,26.50,25.60,138200,768000,-16.3
2025-11-13,16/09/2025,26.40,25734500,26.80,27.40,26.30,162000,3054400,-77.9
2025-11-13,15/09/2025,26.60,19407200,26,27,25.80,92100,2637400,-67.6
2025-11-13,12/09/2025,26,13493500,26,26.50,25.90,398700,1513700,-29.2
2025-11-13,11/09/2025,26,37440300,26.60,26.80,24.60,1944300,3863200,-50.4
2025-11-13,10/09/2025,26.60,19057100,27.10,27.40,26.20,1681200,2071900,-10.3
2025-11-13,09/09/2025,26.80,27910600,25.10,26.80,24.80,2860800,1095000,45.2
2025-11-13,08/09/2025,25.30,57663000,27,27.50,25.10,4255500,5686800,-39.1
2025-11-13,05/09/2025,27,33622800,29.20,29.70,27,99600,3153900,-88.4
2025-11-13,04/09/2025,29.10,20442600,28.60,29.40,28.50,1100800,2431900,-38.7
2025-11-13,03/09/2025,28.60,35051100,29.70,30,28,574100,3009700,-70.1
2025-11-13,29/08/2025,29.20,44137500,27.30,29.50,27.30,3730900,1046800,78.0
2025-11-13,28/08/2025,27.30,36086300,26.50,27.40,25.80,3122698,140587,0
2025-11-13,27/08/2025,26.40,39019500,26.30,27.50,26.30,4052100,2207300,49.4
2025-11-13,26/08/2025,26.30,35521400,23.60,26.40,22.20,999700,1151000,-5.4
2025-11-13,25/08/2025,24,35734700,25.10,25.80,23,2726500,1361900,32.5
2025-11-13,22/08/2025,25.10,46412100,26.60,26.60,24.50,2748600,3498400,-20.6
2025-11-13,21/08/2025,26.60,32501600,26.30,27.30,25.90,3123200,41300,81.8
2025-11-13,20/08/2025,26.60,61348000,26,27,23.50,10322300,924400,240.5
2025-11-13,19/08/2025,26,44978200,25.40,27.10,25,5725300,2437300,84.8
2025-11-13,18/08/2025,25.30,34903900,25.50,25.80,24.60,101500,1697800,-40.2
2025-11-13,15/08/2025,25.30,43536500,25.70,26.30,24.70,655400,988000,-8.6
2025-11-13,14/08/2025,25.60,34428600,25,26.70,24.80,789700,2064800,-33.3
2025-11-13,13/08/2025,24.90,60722300,24,25.20,23.80,2647100,69700,62.1
2025-11-13,12/08/2025,23.90,20558900,24,24.70,23.60,6300,220600,-5.1
2025-11-13,11/08/2025,24.40,47430700,23.40,24.50,23,2571700,670500,45.1
2025-11-13,08/08/2025,23.40,52210400,24.10,24.30,23,2083800,3700900,-39.3
2025-11-13,07/08/2025,24.10,30051100,25,25,23.50,2864700,1540700,31.7
2025-11-13,06/08/2025,24.20,44736600,23.30,24.40,23,9275300,437000,210.2
2025-11-13,05/08/2025,23.20,80318600,23.60,25.20,21.40,16357200,4326900,283.2
