date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND)
2025-11-13,12/11/2025,4.70,218200,4.50,4.70,4.10,0,0,0
2025-11-13,11/11/2025,4.10,100,4.10,4.10,4.10,0,0,0
2025-11-13,10/11/2025,4.40,2100,4,4.40,4,0,0,0
2025-11-13,07/11/2025,4,1000,4,4,4,0,0,0
2025-11-13,06/11/2025,4,400,4,4,4,0,0,0
2025-11-13,05/11/2025,3.80,1600,4,4,3.80,0,0,0
2025-11-13,04/11/2025,4.70,210900,4.10,4.80,4,0,0,0
2025-11-13,03/11/2025,4.20,200,4.20,4.20,4.20,0,0,0
2025-11-13,31/10/2025,4.20,500,4.20,4.20,4.20,0,0,0
2025-11-13,30/10/2025,4.20,500,4.20,4.20,4.20,0,0,0
2025-11-13,29/10/2025,4.30,600,4.90,4.90,4.30,0,0,0
2025-11-13,28/10/2025,4.40,152500,4.50,4.50,4.40,0,0,0
2025-11-13,27/10/2025,4.90,1400,4.90,4.90,4,0,0,0
2025-11-13,24/10/2025,4.20,200,4.30,4.30,4.20,0,0,0
2025-11-13,23/10/2025,4.50,1600,4.80,4.80,4.50,0,0,0
2025-11-13,22/10/2025,4.80,100,4.80,4.80,4.80,0,0,0
2025-11-13,21/10/2025,4.90,100,4.90,4.90,4.90,0,0,0
2025-11-13,20/10/2025,4.90,0,4.90,4.90,4.90,0,0,0
2025-11-13,17/10/2025,4.90,1000,4.90,4.90,4.90,0,0,0
2025-11-13,16/10/2025,4.90,0,4.90,4.90,4.90,0,0,0
2025-11-13,15/10/2025,4.90,2000,4.90,4.90,4.90,0,0,0
2025-11-13,14/10/2025,5.60,200,4.80,5.60,4.80,0,0,0
2025-11-13,13/10/2025,5.60,0,5.60,5.60,5.60,0,0,0
2025-11-13,10/10/2025,5.60,100,5.60,5.60,5.60,0,0,0
2025-11-13,09/10/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,08/10/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,07/10/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,06/10/2025,5.50,0,5.50,5.50,5.50,0,0,0
2025-11-13,03/10/2025,5.50,100,5.50,5.50,5.50,0,0,0
2025-11-13,02/10/2025,5.80,0,5.80,5.80,5.80,0,0,0
2025-11-13,01/10/2025,5.80,0,5.80,5.80,5.80,0,0,0
2025-11-13,30/09/2025,5.80,0,5.80,5.80,5.80,0,0,0
2025-11-13,29/09/2025,5.80,0,5.80,5.80,5.80,0,0,0
2025-11-13,26/09/2025,5.80,0,5.80,5.80,5.80,0,0,0
2025-11-13,25/09/2025,5.80,0,5.80,5.80,5.80,0,0,0
