date,NgÃ y,GiÃ¡ khá»p,Khá»i lÆ°á»£ng,Má» cá»­a,Cao nháº¥t,Tháº¥p nháº¥t,NN mua,NN bÃ¡n,GiÃ¡ trá» NN (Tá» VND),nan
2025-11-13,12/11/2025,60.90,11100,60.10,61.50,60,0,400,-0.0,
2025-11-13,11/11/2025,60.50,13700,62.70,62.70,60.20,0,800,-0.0,
2025-11-13,10/11/2025,60.30,137900,61,61,59.80,3100,3800,-0.0,
2025-11-13,07/11/2025,60.50,25200,60.20,62.30,60.10,800,1700,-0.1,
2025-11-13,06/11/2025,60.20,9300,60.20,60.50,60.10,500,900,-0.0,
2025-11-13,05/11/2025,60.30,23700,60.80,63.90,58.90,4000,0,0.2,
2025-11-13,04/11/2025,60.30,41000,62,62,59.50,1300,3900,-0.2,
2025-11-13,03/11/2025,60.80,16200,62.60,62.60,60,1300,2400,-0.1,
2025-11-13,31/10/2025,62.60,23200,62.10,62.60,61.50,0,4500,-0.3,
2025-11-13,30/10/2025,62.70,46000,62.90,62.90,61.20,0,8400,-0.5,
2025-11-13,29/10/2025,62.90,27400,64.50,64.50,62.10,100,3700,-0.2,
2025-11-13,28/10/2025,64.10,54100,62,64.10,60.20,6900,6900,-0.0,
2025-11-13,27/10/2025,61.80,103100,62.40,63.80,61.80,5200,6800,-0.1,
2025-11-13,24/10/2025,64.20,97200,64.90,65.30,61.70,3000,11200,-0.5,
2025-11-13,23/10/2025,65.60,24200,66.80,66.90,65.20,900,3400,-0.2,
2025-11-13,22/10/2025,66.10,38100,67.70,67.70,62.50,1600,6500,-0.3,
2025-11-13,21/10/2025,66.80,96000,67.50,67.50,64.60,17900,11000,0.5,
2025-11-13,20/10/2025,64.60,98900,68,69,64.60,1400,15900,-1.0,
2025-11-13,17/10/2025,69.40,50200,71.30,71.30,68.30,0,14500,-1.0,
2025-11-13,16/10/2025,70.80,188100,66.30,70.80,66.10,15700,4600,0.8,
2025-11-13,15/10/2025,66.20,47500,66.30,66.60,65.20,0,9500,-0.6,
2025-11-13,14/10/2025,66.30,60200,68.90,69,66.30,2500,8000,-0.4,
2025-11-13,13/10/2025,68,33100,66.90,68.50,66.50,8600,3000,0.4,
2025-11-13,10/10/2025,67.40,42300,67.80,68,67.20,4300,4200,0.0,
